token	lemma	semantic_tags
dubes	dubes	G1.1/S2mf S1.1.1/S2mf
dubur	dubur	B1
dubur	dubur	B1 S1.2
duces	duces	S7.1+/S2.1f
duda	duda	S4
duda	duda	S4m
duduk	duduk	H4 A1.5.1 G3 X5.1+ A1.1.1 T1.3
duduk	duduk	M8 C1 P1 G1.1 G2.1 M6 A9+
duduk	duduk	M8 T2++ H4
duduk	duduk	M8 X9.2+ I1.2 H4 E4.2+ X6+
duduk	duduk	S2
duduk	duduk	S9/T2+
duduk	duduk	T1.3
duduk	duduk	T2++
duduk	duduk	T2++ M8 N5.2+
duet	duet	K2
duga	duga	X2.1/A7-
duga	duga	X2.5+
duga	duga	X2.6+ I2.1
dugaan	dugaan	P1 B3 X2.4 A12-
dugaan	dugaan	X2.1
dugaan	dugaan	X2.1 S9%
dugaan	dugaan	X2.1/A7-
dugaan	dugaan	X2.4
dugaan	dugaan	X2.6+
dugaan	dugaan	X2.6+ I2.1
dugaan	dugaan	X4.1 A1.6
duit	duit	A1.1.1
duit	duit	I1
duit	duit	M4 A9-
duka	duka	E4.1-
dukacita	dukacita	E4.1-
dukacita	dukacita	E4.1- A5.1-
dukacita	dukacita	E4.1- N3.2-
dukacita	dukacita	E6- B2-
dukacita	dukacita	E6- E4.1- B2-
dukana	dukana	S3.2+/G2.2-
duktus	duktus	H2
dukuh	dukuh	M7
dukuh	dukuh	Z1m Z1/K4
dukun	dukun	B3/S2mf
dukun	dukun	Q4 X4.2 O1 S9/S2mf
dukungan	dukungan	S8+
dukungan	dukungan	S8+ A1.1.1 K5.1 I1.1 A10+
dukungan	dukungan	S8+ K5.1/I1 M1 M6
dulang	dulang	F1/A1.1.1
dulang	dulang	O2
dulu	dulu	A6.1+
dulu	dulu	N4 T1.1.1 T4++
dulu	dulu	N6- T1.1.1
dulu	dulu	S8+ K5.1/I1 M1 M6 K2
dulu	dulu	T3+
dulunya	dulunya	N6- T1.1.1
dungu	dungu	A6.2- B2-
dungu	dungu	B2-/X1
dungu	dungu	F1 S1.2.6-/S2mf
dungu	dungu	K5.1
dungu	dungu	S1.2.6-
dungu	dungu	S1.2.6- E4.1+
dungu	dungu	S1.2.6- X9.1-
dungu	dungu	S1.2.6-/S2mf
dungu	dungu	S1.2.6-/S2mf X9.1-/S2mf
dungu	dungu	S1.2.6-/S2mfn L2mfn B1@
dungu	dungu	X9.1-
dungu	dungu	X9.1-/S2mf S1.2.6-/S2mf
dungu	dungu	X9.2-
dunia	dunia	G1.1 M7/S7.1+ A4.1/L2
dunia	dunia	M7 B1
dunia	dunia	O3
dunia	dunia	W1 A4.1
dunia	dunia	W1 S5+c A4.1 N5+
dunia	dunia	W3
duniawi	duniawi	I3.2-/S2mf
duniawi	duniawi	O1 B5 O2 X2.2 S1.2
duniawi	duniawi	S9-
duniawi	duniawi	T1.1 T1.3- Q3 B1 S9
duniawi	duniawi	W1
duniawi	duniawi	W1 S5+c A4.1 N5+
duniawi	duniawi	W3
duniawi	duniawi	X2.2/S1.1.1 A1.6 A9+
duniawi	duniawi	X5.2- A6.2+
dupa	dupa	E3- O1.1
duplikasi	duplikasi	A6.1+ A5.4- A1.1.1/N6+ S3.2/B1
duplikat	duplikat	A6.1+ N5+
duri	duri	A1.1.1
duri	duri	B1 H1 Q4.1 N3.1
durjana	durjana	A1.1.2
durjana	durjana	G2.1-/S2mf
durjana	durjana	G2.2-
durjana	durjana	G2.2- A5.1+
durjana	durjana	G2.2-/S2.2m
durjana	durjana	T2+ M6 A2.2
dursila	dursila	G2.2-
dursila	dursila	G2.2- A5.1+
dusta	dusta	A5.2-
dusta	dusta	A5.2- M1 T2++ M6 A3+
dusun	dusun	L3/M7
duta	duta	G1.1
duta	duta	G1.1/S2mf
duta	duta	G1.1/S2mf S1.1.1/S2mf
duta	duta	Q2.1/S2mf G1.1/S2mf
duta	duta	S7.1+/S2mf
duti	duti	S6+ G1.1/I1.3 T1.3/I3.1
duyung	duyung	L2
duyung	duyung	S9f
dwi	dwi	N5+/A2.1
dwibulanan	dwibulanan	N6+
dwifokus	dwifokus	X3.4
dwiganda	dwiganda	N5+/A2.1
dwijantina	dwijantina	S3.2/S2mf
dwikotomi	dwikotomi	A6.1-
dwimingguan	dwimingguan	N6+
dwipartisan	dwipartisan	G1.2/A6.1-
dwipihak	dwipihak	S5+
dwiseksual	dwiseksual	S3.2/S2mf
dwitahunan	dwitahunan	N6+
e-dagang	e-dagang	I2.1/Y2
ebek	ebek	A10-
eceran	eceran	I2.2
eclair	eclair	F1
edan	edan	B2-/X1 S1.2.6- X5.2++ A1.1.1/N5+++
edan	edan	S1.2.6- B2-/X1
edaran	edaran	A9- N5
edaran	edaran	Q2.1
edarkan	edarkan	M2 M1
edema	edema	B2-
edisi	edisi	Q4
editor	editor	Q4/I3.2/S2mf Y2
editorial	editorial	O2 S5+c Q4.2
editorial	editorial	Q4.2
efek	efek	A2.2
efektif	efektif	X9.2+
efisien	efisien	X9.1+/I3.2 N3.8+ A1.5.2+
efisien	efisien	X9.2+
ego	ego	S1.2.3+
ego	ego	S5-
egois	egois	S1.2.2+
egoisme	egoisme	S1.1.2- S1.2.3+
egoistik	egoistik	S1.2.3+
egoistis	egoistis	S1.2.3+
egosentrisme	egosentrisme	S1.1.2- S1.2.3+
ehem	ehem	B5
einsteinium	einsteinium	Z5 F3
ejaan	ejaan	Q3
ejek	ejek	Q2.2/S1.2.4- S7.2-
ejekan	ejekan	A6.1+
ejekan	ejekan	E2-
ejekan	ejekan	Q2.2
ejekan	ejekan	Q2.2/S1.2.4- S7.2-
ejekan	ejekan	S7.2-
ejekan	ejekan	S7.2- S1.2.4-
ejen	ejen	I2.1/S2mf G3/S2mf K4/S2mf
ejen	ejen	I2.2/S2mf
ejen	ejen	Q2.1/S2mf G1.1/S2mf I2.2/S2mf A4.1
ejen	ejen	Q2.2/S2mf
ejen	ejen	T1.1.2/S2mf S8+/S2mf
eka	eka	A4.2+
ekar	ekar	N3.6
ekavokal	ekavokal	A7+
ekawarna	ekawarna	O4.3
ekologi	ekologi	W5
ekologi	ekologi	W5 W3 Y1/W5
ekonomi	ekonomi	I1.3- I2.1
ekonomi	ekonomi	I1.3- N5-
ekonomi	ekonomi	I1c
ekonomi	ekonomi	I2.1 I1.3-
ekor	ekor	A10+ C1 X2.4 Q2.1
ekor	ekor	M1 N4 S7.1- X2.4 X2.5+ A6.1+ A1.1.1 A2.2 K5.1 X3.4
ekor	ekor	M4
ekor	ekor	S7.1+ K5.1 M1 N5 A2.1+ A11.1+ Q1.2 T1.1.3
ekor	ekor	X2.4
ekoran	ekoran	A2.2 N2
ekoran	ekoran	N4
ekoran	ekoran	N4 K2 Y1%
ekosistem	ekosistem	W5 W3 O4.1
eksais	eksais	G1.1/I1c
eksaminator	eksaminator	P1/S2mf X2.4/S2mf
eksekutif	eksekutif	I2.1/S2mf G1.1c S7.1+/S5+c
eksekutif	eksekutif	S7.1+/S2mf
eksentrik	eksentrik	A6.2-
eksentrik	eksentrik	S2mf K4/S2mf S1.2 S2mf/A6.2- Q1.2 A4.1 O4.2+
eksistensi	eksistensi	A3+ Z5
eksistensialis	eksistensialis	X2.1
ekskavasi	ekskavasi	A1.1.1
ekskavasi	ekskavasi	I4 G3
eksklusif	eksklusif	A10- T2-
eksklusif	eksklusif	A13.2
eksklusif	eksklusif	A14/Q4.2
eksklusif	eksklusif	O4.2+ A14
eksogami	eksogami	S4
eksotik	eksotik	A6.2-
eksotik	eksotik	M7/S2mf W1/S2mf
ekspatriat	ekspatriat	M2/G1.2
ekspedisi	ekspedisi	M1
ekspedisi	ekspedisi	M1 T2+
ekspedisi	ekspedisi	M2
eksperimen	eksperimen	X2.4
eksperimen	eksperimen	X2.4 Y1
eksperimental	eksperimental	X2.4 Y1
eksplisit	eksplisit	A4.2+
eksploitasi	eksploitasi	A1.5.1 G2.2-
eksplorasi	eksplorasi	M1 X2.4
ekspo	ekspo	A10+/S1.1.3+ A10+ I1%
eksponen	eksponen	S8+/S2mf X9.1+/S2mf
eksport	eksport	I2.2/M2
eksposisi	eksposisi	A10+ X4.1
eksposisi	eksposisi	A10+/S1.1.3+ A10+ I1%
ekspres	ekspres	Q1.1 B1%
ekspresi	ekspresi	Q2.1
ekspresi	ekspresi	Q3 E1/B1
ekspresif	ekspresif	Q1.1
ekstasi	ekstasi	E4.1++
ekstensif	ekstensif	N5+ N3.6+
ekstra	ekstra	A13.3 N5++
ekstra	ekstra	A6.2- A13.3
ekstra	ekstra	N5++
ekstra	ekstra	O4.2+
ekstradisi	ekstradisi	G2.1/M2
ekstrak	ekstrak	F2 A2.1+
ekstrapolasi	ekstrapolasi	X2.6+
ekstravaganza	ekstravaganza	K1
ekstrem	ekstrem	N5.1+++ N5.2+
ekstremis	ekstremis	G1.2/S2mf
ekstrovert	ekstrovert	S1.2.1+/S2mf
ekuiti	ekuiti	G2.2+ G2.1 I1.1
ekzema	ekzema	B2-
ekzos	ekzos	B2- A1.5.1/N5.1+
ela	ela	N3.3 N3.7
elakkan	elakkan	Q2.2 L3
elang	elang	I2.2
elang	elang	L2mfn
elastik	elastik	O1.1
elastis	elastis	O1.1
elaun	elaun	I1.1 S7.4+ X4.1
elaun	elaun	S8+
elegan	elegan	O4.2+
elegan	elegan	S1.2.4+ O4.2+
elegi	elegi	Q2.2/E2-
elektif	elektif	P1/X7+
elektrik	elektrik	O3
elektrod	elektrod	O3
elektrokardiogram	elektrokardiogram	B3
elektrolisis	elektrolisis	B4 Y1
elektromagnet	elektromagnet	O3
elektron	elektron	Y1
elektronegatif	elektronegatif	C1
elektronegatif	elektronegatif	Z6 S8- A5.1-
elektronik	elektronik	O3
elektronik	elektronik	O3 Y2
elektropositif	elektropositif	A7+
elemen	elemen	A4.1 N5 S5+c O1 O3 O2 W4
elemen	elemen	O2 N5.1-
elemen	elemen	S5-
elips	elips	O4.4
elit	elit	A5.1+++/S5+c S7.1+/S5+c
elit	elit	G1.2/X7+
elitis	elitis	A5.1+++/S2mf
elok	elok	A4.1
elok	elok	A5.1+ G2.2+ O4.2+
elok	elok	A5.1+ N5++ A6.2- A5.2-
elok	elok	B4
elok	elok	G2.1
elok	elok	N3.2/A5.1+ N3.2 A1.2+ M2 B2-
elok	elok	O4.2+
elok	elok	O4.2+ A5.1+
elok	elok	O4.2+ S1.2.1+
elok	elok	S8+
em	em	Z4
emak	emak	S4
emak	emak	S4f
emang	emang	S4m
emansipasi	emansipasi	A1.7-
emas	emas	O1.1 O4.3 I1
embak	embak	A1.4
embargo	embargo	S7.4-
embek	embek	L2/X3.2+ Q2.2/E2-
embok	embok	S4
embun	embun	O1.2/W4
emfisema	emfisema	B2-
emigran	emigran	M1/M7/S2mf
emigrasi	emigrasi	M1
emigrasi	emigrasi	M1/M7
emisi	emisi	A9-
emolumen	emolumen	I1.1
emosi	emosi	E1
emosional	emosional	E1
emotif	emotif	E1
empang	empang	H1/M4
empat	empat	N1 T3 T1.2
empat	empat	N5 H4
empat	empat	S2mf H2
empati	empati	X2.5+/E1 S1.2.1+
empayar	empayar	G1.1 I2.1/S+
empayar	empayar	O4.2+
empedu	empedu	B1 E3-
empelas	empelas	O1.1
emper	emper	H1
emper	emper	H2
emping	emping	W4
empoh	empoh	W4 N5+
empuk	empuk	I2.2 A9-
empuk	empuk	O4.5 X3.2- O4.3 O4.1 S1.2.5- A12+
empulur	empulur	L3 A11.1+++
empunya	empunya	A9+ S9%
empunya	empunya	A9+/S2mf
empunya	empunya	P1/S2.2m
empunya	empunya	S7.1+++/S2.2m
empunya	empunya	X9.1+
emulsi	emulsi	C1
enak	enak	A5.1+ G2.2+ O4.2+
enak	enak	F1
enak	enak	N3.2/A5.1+ N3.2 A1.2+ M2 B2-
enak	enak	O4.1
enak	enak	O4.2+
enak	enak	O4.2+ A5.1+
enak	enak	X3.1+ X7+/S3.2
enakmen	enakmen	A1.1.1 T1.1.2 A8 K4
enam	enam	N1 T3 T1.2
enamel	enamel	O1.1 B1
enap	enap	X3.2- E3+ A1.1.1/N5-
enapan	enapan	O1.2
encer	encer	N5-/A2.1
encer	encer	O1.2
encer	encer	X9.1+ S1.2.6+
encik	encik	S2.2m
encik	encik	S7.1+/S2.2m
encok	encok	B2-
endapan	endapan	L3 X9.2+
endapan	endapan	M2 I1.1
endapan	endapan	N3.8+
endapan	endapan	O1.1
endemik	endemik	B2 A6.2+
endogami	endogami	S4
endul	endul	M1 M2 A2.1+ A2.2
endul	endul	M1 M2 E5- K2
endul	endul	M2
endut	endut	X9.2+/S7.3 X9.2+/G3 S7.1+ E3- A1.1.1 A5.1++ B1
engak	engak	X2.5-
engap-engapan	engap-engapan	B1
enggak	enggak	Z6
enggan	enggan	Q2.2/Z6 S7.4- X7-
enggan	enggan	X5.2-
enggan	enggan	X7-
enggan-enggan	enggan-enggan	A7-
enggeh	enggeh	Z4
engkol	engkol	A1.1.1
engsel	engsel	A2.2
enigma	enigma	Q3 Q2.2/X2.5- A1.1.2 A2.1+ A1.1.1
enigma	enigma	X2.2- X2.5- A6.2-
enjak	enjak	M1 S1.1.3+
enjin	enjin	M3
enjin	enjin	O2 Y2@
enklaf	enklaf	M7
ensefalitis	ensefalitis	B2-
ensiklopedia	ensiklopedia	N5.1+
ensiklopedia	ensiklopedia	Q4.1
entah-entah	entah-entah	A7+
entar	entar	N4
entar	entar	T4-- T1.1.3 N4
enteng	enteng	A12+
entiti	entiti	O2 S5+
entomologi	entomologi	Y1/L2
enzim	enzim	O1
epal	epal	L3 F1
epidemik	epidemik	B2-/S5+ N5+
epidemiologi	epidemiologi	Y1/B2-
epidermis	epidermis	B1
epigram	epigram	E4.1+
epik	epik	Q3 N3.2+
epilepsi	epilepsi	B2-
epilepsi	epilepsi	B2-/S2mf
episod	episod	A3+/A11.1+ A6.2- Q4 B2-
episod	episod	X8+ X5.2+ A15-
episode	episode	Q4.1 T1.3 S9/S5c S5+c
epitaf	epitaf	Q1.2
era	era	T1.3
era	era	X7+/T1 N3.1/T1
erak	erak	B1 B2- X5.2-
erang	erang	O4.1
erang	erang	X3.2 Q2.2
erang-erot	erang-erot	O4.1
erangan	erangan	X3.2 Q2.2
erat	erat	A1.1.1 A10- T2-
erat	erat	A1.7+
erat	erat	F1-
erat	erat	O4.5
erat	erat	S1.2.1+/S2mf
ereksi	ereksi	B1/S3.2 O4.4 H1
ergonomik	ergonomik	Y1/L1 Y1/B3
erosi	erosi	A1.1.2
erosi	erosi	A1.1.2 W3
erotik	erotik	Q4/S3.2
erotik	erotik	S3.2
erotika	erotika	Q4/S3.2
erotisisme	erotisisme	Q4/S3.2
erti	erti	Q1.1 X7+
erti	erti	X2.1 A11.1+ Q3 X7+
erti	erti	X3
esa	esa	Z8
esei	esei	N5.1+ A1.1.1 Q1.2/P1 K2 Q3 C1
esei	esei	X8+
eselon	eselon	A5.1 S7.1++
esen	esen	A11.1+ O1
esensi	esensi	A2.2
eskalator	eskalator	O2
eskapisme	eskapisme	A1.7- X2.2- Y2
eskot	eskot	S3.1
eskot	eskot	S8+/A15+/I3.2/S2mf
eskot	eskot	T3 S3.2
esofagus	esofagus	F1 N5.1+
esok	esok	T1.1.3
espionaj	espionaj	G3 G1.1
esplanad	esplanad	M7
estet	estet	F4/M7
estet	estet	M7/F4 H4 I1.1 M3
estetik	estetik	O4.2+/C1
estetik	estetik	O4.2+/X2.1
estetika	estetika	O4.2+/X2.1
estrogen	estrogen	B1
estrus	estrus	O4.6+
etalase	etalase	A10+
etalase	etalase	A4.1 O2 G2.1 B3 X4.1 Q3
etanol	etanol	F2 O1.2
etika	etika	G2.2
etika	etika	G2.2+
etika	etika	G2.2c
etiket	etiket	S1.2.4
etnik	etnik	C1 S1.1.1 S5+
eufemisme	eufemisme	Q3
euforia	euforia	E4.1+
eutanasia	eutanasia	L1-
evakue	evakue	M2/S2mf
evolusi	evolusi	A2.1+
evolusi	evolusi	A2.1+ A5.1+/A2.1 H1
evolusi	evolusi	N3.2+/A2.1 A5.1+/A2.1 L3 B2-
fabel	fabel	Q3
fabrik	fabrik	B5 S5+ O2
fadihat	fadihat	G2.2-
fadihat	fadihat	G2.2- G2.2
faedah	faedah	A1.5.1 A9+
faedah	faedah	A1.5.1 S7.1+
faedah	faedah	A2.2
faedah	faedah	A9+ I1.1
faedah	faedah	I1
faedah	faedah	S8+
faedah	faedah	S8+ I1.1
faedah	faedah	X5.2+
faham	faham	M1 N4 S7.1- X2.4 X2.5+ A6.1+ A1.1.1 A2.2 K5.1 X3.4
faham	faham	X2.1
faham	faham	X2.1 X2.1/A5 X6+
faham	faham	X2.5+
faham	faham	X2.5+/E1 S8+ A6.1+
faham	faham	X3 X2.5+
faham	faham	X3.2 Y2 X2.5+ S1.2.1+
faham	faham	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2
fahaman	fahaman	X2.1 S9
fahaman	fahaman	X2.1 X2.1/A5 X6+
fahaman	fahaman	X2.5+
faharasat	faharasat	Q4.1 N2 Q1.1 I1.3
fail	fail	O2/Q1.2 Y2
fail	fail	Q1.2 A1.1.1
failasuf	failasuf	X2.1/S2mf
fajar	fajar	T1.2
fajar	fajar	T1.2 T2+
fakir	fakir	I1.1- A5.1- N5- E4.1- X9.1-
faks	faks	Q1.2 Q1.3
faks	faks	Q1.3
faksimile	faksimile	Q1.2 Q1.3
faksimile	faksimile	Q1.3
fakta	fakta	A5.2+ X2.2
faktor	faktor	A1.7+ N3.1 N2
faktor	faktor	B1
faktor	faktor	N2
faktor	faktor	O2 N5.1-
faktual	faktual	A5.2+ X2.2
faktur	faktur	I1.3
fakultatif	fakultatif	P1/X7+
fakulti	fakulti	A7+
fakulti	fakulti	P1
fakulti	fakulti	X9.1 H2 S5+c P1/I3.1/S2mfc
falkon	falkon	L2mfn
falsafah	falsafah	A1.6 E6+ P1
falsafah	falsafah	P1 X2.1
famili	famili	S4c
famili	famili	S4c A4.1c
fana	fana	L1/S2mf
fanatik	fanatik	A1.1.1
fanatik	fanatik	S8+/S2mf
fanatik	fanatik	X5.2+++/S2mf
fanatik	fanatik	X5.2+/S2mf
fanatisisme	fanatisisme	X5.2++
fantasi	fantasi	A5.2-
fantasi	fantasi	A5.2- A3-
fantasi	fantasi	A7-
fantasi	fantasi	K2
fantasi	fantasi	X2.1/A6.2- A5.2-
fantastik	fantastik	A5.1+ N3.2+
fantastik	fantastik	A5.1+ N5++ A6.2- A5.2-
fantastik	fantastik	K1/E4.1+/S2mf
faraj	faraj	B1
fardu	fardu	S6+
farmakologi	farmakologi	Y1
farmaseutikal	farmaseutikal	B3
farmasi	farmasi	B3/H1 B3
farsakh	farsakh	S5+c K5.1/S5+c S7.3+ N3.3%
fasa	fasa	N3.8- X2.5- E5-
fasa	fasa	Q2.1
fasal	fasal	A11.1+
fasal	fasal	A2.1+
fasal	fasal	A2.2
fasal	fasal	G2.1/P1
fasal	fasal	X2.1 Q2.2
fasal	fasal	X4.1
faset	faset	A4.1
faset	faset	A4.1 A8 M6
fasih	fasih	A12+/A2.1 N5-/A2.1
fasih	fasih	Q3/X9.1+
fasih	fasih	S1.2.3+
fasik	fasik	S7.2-
fasilitator	fasilitator	S8+/S2mf
fasiq	fasiq	S7.2-
fasis	fasis	G1.2/S2mf
fasisme	fasisme	G1.2
fatal	fatal	A5.1--- L1-
fatalis	fatalis	S7.1-/E1/S2mf
fatalisme	fatalisme	S7.1-/E1
fatan	fatan	B2-
fatom	fatom	X2.5+
faul	faul	O4.2- K5.1/G2.2-
fauna	fauna	L2
fauna	fauna	L2mfn S5+c O2c
faundri	faundri	I4/H1c
federal	federal	S5+
federalis	federalis	G1.2/S2mf
feloni	feloni	G2.1-
feminin	feminin	S2.1
feminin	feminin	S2.1f
feminisme	feminisme	S2.1/G1.2
femur	femur	B1
fenomena	fenomena	A3 X3.4 A1.1.1
fenomenon	fenomenon	A3 X3.4 A1.1.1
feri	feri	M2
festival	festival	K1/S1.1.3+ S9
fesyen	fesyen	A1.1.1
fesyen	fesyen	O4.3 N5-/A2.1
fesyen	fesyen	Q3
fesyen	fesyen	S1.1.1 X4.2
fesyen	fesyen	Z3
fetisy	fetisy	S9
fetus	fetus	B1
fetus	fetus	B1/S2
feudal	feudal	G1.2
feudalisme	feudalisme	G1.2
fibril	fibril	S5-
fibrosis	fibrosis	B2-
figura	figura	X2.1 X2.5+
figuratif	figuratif	Q3 Q1.1 C1
fikir	fikir	N2 X7+
fikir	fikir	X2.1
fikir	fikir	X2.1 X7+
fikir	fikir	X2.2+ I3.1-/G1.2 I2.2/T2- K5.2 A6.1+
fikir	fikir	X7+
fikir-fikir	fikir-fikir	X2.5-
fikiran	fikiran	E3-
fikiran	fikiran	E6+ E2- S8+ A1.3
fikiran	fikiran	X2 B2/X2 S1.2.6-
fikiran	fikiran	X2.1
fikiran	fikiran	X2.1 X2.1/A5 X6+
fikiran	fikiran	X2.1 X6 G2.1
fikiran	fikiran	X2.1/G2.2
fikiran	fikiran	X2.1/S2mf
fikiran	fikiran	X4.1 X7+
fikologi	fikologi	Y1
fiksyen	fiksyen	A5.2-
filamen	filamen	S5-
filantropi	filantropi	S1.2.2-
filem	filem	Q4.3
filem	filem	Q4.3 N3.6
filet	filet	F1
filler	filler	O1 F1 N5++
filogeni	filogeni	A2.1+
filologi	filologi	Q3
filsuf	filsuf	X2.1/S2mf
finale	finale	K4/T2- T2-
fiord	fiord	W3/M4
firasat	firasat	E2++ S8+
firasat	firasat	E5-
firasat	firasat	X2.6+
firdaus	firdaus	Z2 Z2/S9
firdausi	firdausi	S9
firma	firma	I2.1 A1.1.1 A5.1+++
firma	firma	I2.1/S5+c S5+c G3/S5+c S3.1 K4/S5+c
firma	firma	O4.5
firman	firman	Q2.2
fisiologi	fisiologi	B1
fisiologi	fisiologi	Y1 B1
fisioterapi	fisioterapi	B3
fiskal	fiskal	G2.1/S2mf
fitnah	fitnah	G2.1-/Q2.2
fitnah	fitnah	L1- G2.1-
fitnah	fitnah	O1.1 E2-/Q2.2
fitnah	fitnah	Q1.2/A5.2- Q1.2/A1.1.2 G2.1-
fitnah	fitnah	Q2.1
fitnah	fitnah	Q2.2
fitnah	fitnah	Q2.2/A5.2- Q2.2/A1.1.2 G2.1-
fitnah	fitnah	Q2.2/A5.2- Q2.2/A5.1- G2.2-
fitnah	fitnah	Q2.2/G2.1-
fitnahan	fitnahan	Q2.2
fitnahkan	fitnahkan	Q2.2/A5.2- Q2.2/A5.1- G2.2-
fitri	fitri	A5.4+ O4.1 A14 A4.2+ G2.2+
fius	fius	N5-
fius	fius	O3 A1.1.1
fizik	fizik	B3
fizik	fizik	Y1
fizikal	fizikal	B3
fizikal	fizikal	O1 B5 O2 X2.2 S1.2
flamingo	flamingo	L2mf
flanel	flanel	B5 Q2.2
fleksi	fleksi	Q3
fleksibel	fleksibel	E3+/A1.1.1
fleksibel	fleksibel	O1.1
fleksibel	fleksibel	O4.5 A2.1+
flora	flora	F4 M2
flora	flora	L3
florin	florin	I1
flos	flos	B4
flu	flu	B2
fluorin	fluorin	Z5
flut	flut	K2
fobia	fobia	E5-
fokus	fokus	A11.1+
fokus	fokus	Q2.2 A1.1.2
fokus	fokus	X5.1+ I2.2% M6 N5+ O1.2 W3/I4
fokus	fokus	X5.1+ X3.4 A4.2+
fomen	fomen	S7.1+/I3.1/S2.2m S7.1+/G2.1/S2.2m
fon	fon	Q1.2 S9/H5
fon	fon	Q1.3
fondue	fondue	F1
fonetik	fonetik	Q3
forensik	forensik	G2.1
formal	formal	S1.2.1- G1.1 A6.2+ O4.2
formaldehid	formaldehid	O1
formalin	formalin	O1
formalistik	formalistik	A4.2/N5.2+
formaliti	formaliti	A6.2+ G1.1
formasi	formasi	A2.1+ O4.4 S5+c
format	format	C1 X7+
format	format	Y2
formatif	formatif	A2.2
formatir	formatir	S7.1+/S2mf
formula	formula	S7.1+ Q1.2 X6+
formula	formula	Y1 N2
formulir	formulir	A4.1
formulir	formulir	N6
formulir	formulir	X2.1- A1.9
forsep	forsep	O2/B3
forseps	forseps	O2/B3
forte	forte	X9.1+
forum	forum	S1.1.3+c M7
fosforus	fosforus	S9mn Z1m
fosil	fosil	W3 T3+
foto	foto	C1
foto	foto	Q1.2
fotogenik	fotogenik	O4.2+
fotograf	fotograf	C1
fotografi	fotografi	C1
fotokopi	fotokopi	Q1.2/A5.4-
fotostat	fotostat	Q1.2/A5.4-
foyer	foyer	H2
fragmen	fragmen	A1.1.2 N5.1-
fraktur	fraktur	B2- A1.1.2
franc	franc	I1
francais	francais	I2.2
frasa	frasa	Q3 K2
fraud	fraud	G2.1- G2.2-
fraude	fraude	G2.1- G2.2-
frekuensi	frekuensi	N6
frenologi	frenologi	B3
fresko	fresko	C1
fret	fret	E6-
fros	fros	O4.6- M8 T2- E5-
fros	fros	O4.6-/W4
fulus	fulus	F1 I1.1
fundamental	fundamental	M7 A6.2+
fundamentalisme	fundamentalisme	S9/A11.1+
fungsi	fungsi	A1.1.1
fungsi	fungsi	A1.1.1 B3 G3
fungsi	fungsi	A1.5.2+
fungsi	fungsi	A6.2+ X4.2 K4
fungsi	fungsi	I3.1 K4 S1.1.1 A1.1.1
fungsi	fungsi	S8+ S7.1- I2.2 A9- F1 A1.1.1 I3.1 K5.1 G2.1
fungsional	fungsional	A1.5.2+
fungus	fungus	L3
fusi	fusi	A1.8+ Y1
fusi	fusi	S5+c
futur	futur	T1.1.3
futuris	futuris	T1.1.3
futurisme	futurisme	T1.1.3
futuristik	futuristik	T1.1.3
gabai	gabai	A9+ A1.7+ G2.1 A10+ T2- A1.1.1 X3 T4 M3
gabak	gabak	B2-
gabas	gabas	N3.8+
gabas	gabas	X3.3 O4.5 E3- S1.2.4- O4.2- A4.2- A12- E3-/K5.2
gabenor	gabenor	G2.1/S2mf G1.1/S2mf@
gabenor	gabenor	S7.1+/S2mf G1.1/S2mf O2%
gaberdin	gaberdin	B4
gabir	gabir	A12- O4.2- E1
gabuk	gabuk	A10-
gabung	gabung	S5+
gabungan	gabungan	A1.1.1 M2 Y2
gabungan	gabungan	A1.8+ Y1
gabungan	gabungan	A2.1+ A5.1-/A2.1
gabungan	gabungan	A2.1+ S1.1.3+ K3
gabungan	gabungan	A6.3+ A2.1+ N1 M3fn
gabungan	gabungan	F1
gabungan	gabungan	H1 B2-/X1
gabungan	gabungan	I3.1/S5+c S5+c S4
gabungan	gabungan	M7/M3 M6 A1.7+
gabungan	gabungan	O4.1
gabungan	gabungan	S1.1.3+ S8+ S5+
gabungan	gabungan	S3.2
gabungan	gabungan	S4
gabungan	gabungan	S5+
gabungan	gabungan	S5+ N5+
gabungan	gabungan	S5+c
gabungan	gabungan	Z3c
gabus	gabus	O1.1 O2
gabus	gabus	Z2
gad	gad	A1.1.1/A15+ X3.4/A15+
gada	gada	E3-
gada	gada	K1 E3- S5+
gada-gada	gada-gada	M2 M1
gadaian	gadaian	I1.1/S2mf
gadaian	gadaian	I1.2
gadang	gadang	N3.2+
gadang	gadang	N3.2+ N5+ A11.1+
gadi	gadi	M3
gadik	gadik	A2.1+
gading	gading	O1.1 O4.3
gading	gading	S4/S2.1f
gadis	gadis	B5
gadis	gadis	G2.2+
gadis	gadis	I3.1/B4/S2.1f S2.1f%
gadis	gadis	S2.1f
gadis	gadis	S2.1f L2f@
gadis	gadis	S2.1f W3
gadis	gadis	S3.2/S2mf
gaduh	gaduh	E3-
gaduh	gaduh	Q2.2 S7.3+
gaduh	gaduh	X3.2+
gaduk	gaduk	E4.2+/S1.2 S1.2.3+
gaduk	gaduk	S1.2.3+
gadung	gadung	A5.4-
gadungan	gadungan	A5.4-
gagah	gagah	A13.3
gagah	gagah	A15+ A1.1.2-
gagah	gagah	E3-/S2mf
gagah	gagah	E4.1- X5.2+
