lemma	semantic_tags
keras	O4.2-
keras	O4.2- S1.2.1-
keras	O4.5
keras	Q2.2
keras	S7.1+ S1.2.5+ O4.1 F2+
keras	X3.2+
keras	X8+ T2++
kerasionalan	X2.1 S1.2.6+
kerasukan	O4.2+
kerasulan	Q2.2/T1.1.3/S9 X2.6+
kerat	A1.1.1
kerat	N5.1- O2 Q4 K2 K4 G3@
kerataan	E1/B1 A1.1.1
keratan	A1.1.1
keratan	A1.1.1 A1.7+ E3-@
keratan	A1.1.1 A2.1+
keratan	A1.1.1 B3/X1
keratan	A1.1.1 N5-/A2.1 T2- Q4.3 K5.1 B1
keratan	A1.1.1 O4.6-/A1.1.1
keratan	A10+ B4 S3.1-
keratan	H2 S5+c X2.2
keratan	N5.1- O2 Q4 K2 K4 G3@
keratapan	Q2.2/E2-
keratin	A1.1.1 A2.1+
kerau	O2 K5.1
kerawai	L2mfn
kerawai	L2mfn S2mf@
kerawak	L2
kerawakan	X3.2
kerawanan	E4.1-
kerawanan	E4.1- B2-/X1 I2.1/N5- O4.4 W4
kerawang	A1.1.1 T2+
kerbau	L2mfnc
kerbau	Z2
kercing	A1.1.1 A10- T2-
kerdil	N3.2---
kerdip	B1 O4.3/N6+
kerdip	O4.1
kerdipan	B1 O4.3/N6+
kerdipan	O4.1
kereceng	B1 O4.3/N6+
kereceng	O4.1
kerecokan	A1.1.1/N5+
kerecokan	E3- X2.5- X5.2+
kerecokan	E3- X5.2+
kerecokan	Q2.2/E3-
keredaan	E3+
keredaan	E3+ E4.2+
keredaan	M2 M1 N5-/A2.1 O1.2/M1 B2- T2- A9- A1.8- X9.2-/K5 X3.2
keredaan	N5-/A2.2
keredaan	S7.3-
keredaan	X7+ X5.2+
keredupan	O4.3 E4.1-
keregangan	B4 O4.3 A2.1+ B1
keregangan	E6- O4.1
keregenan	T1.1.1 G1.1
kerehatan	E3+ M6 A3+ A2.2
kerek	M2
kerek	O2
kerekan	O2
kerelaan	A6.1+ Q2.2
kerelaan	X7
kerelatifan	Y1
keremajaan	T3
keremehan	A11.1-
keremehan	A11.1--
keren	I2.1/N5++ O4.1
kerenah	X4.1
kerenah	X7++ O3@
kerencat	H1
kerencat	O2 S8-
kerencat	S8-
kerencat	T2- S8- M8 H4 A1.1.1@
kerencatan	X9.1-
kerendahan	L2/Q2.1
kerendahan	O4.2- G2.2-
kerenggangan	A1.1.2 S1.1.2-
kerenggangan	A1.9
kerenggangan	A6.1-
kerengkam	L3
kerengkiang	F4/H1
kerengsaan	B2-
kerengsaan	E3- B2-
kerenjatan	E5- B2-
kerentanan	S1.2.5-
kerentanan	X2.5+/E1 O4.1 B2-
kerentat	H1
kerentat	O2 S8-
kerentat	S8-
kerentat	T2- S8- M8 H4 A1.1.1@
kerepot	B1 A1.1.1
kereputan	O4.2-/A2.1 B2-
kererambutan	B1
keresahan	E3+ B2-
keresahan	E6-
keresahan	E6- A1.8+ S1.1.3+
keresahan	E6- A9+ G2.1
keresahan	X5.1-
keresahan	X5.2- M1
keret	H2
kereta	K5.1 P1 M2
kereta	M2 M3
kereta	M3
kereta	M3fn
keretakan	A6.1-
kerewelan	E6-
keri	O2/F4
keriaan	Z1f
keriangan	E4.1+
keriangan	E4.1++
keriangan	E4.1+++
keriangan	M4/O2
keriangan	Z1f
keriat	X3.2 Q2.2
keributan	A1.1.1 M1
keributan	E3-
keributan	E3- B2-
keributan	E3- G3
keributan	E3- Q2.2
keributan	E3- X2.5- X5.2+
keributan	N3.8+
keridik	K5.1 L2mfn
kerih	A12-
kerih	Q2.1
kerik	A1.1.1 S7.1-
kerik	B2- A1.1.1 A1.1.2
kerikil	M1 M2 E5- K2
kerikil	O1.1
kerikil	O2
kerincing	O4.4 K2
kerincing	X3.2 A1.1.1
kerinduan	E1/T1.1.1
kerinduan	X7+
kering	A1.1.2 A1.1.1 A1.9 S5- T2- E4.1-/A2.2 A2.1+ T1.3 Q2.1@
kering	A13.3 A4.2+
kering	B1
kering	O1.2-
kering	O4.5
kering	T2-
keringanan	W2 N3.5- O4.2+ A11.1-
keringat	B1
keringkasan	T1.3-
kerinting	A1.7+
kerinting	O4.4
kerip	A1.1.1 S7.1-
kerip	B2-
keris	O4.4
kerisauan	E6-
kerisauan	E6- A1.8+ S1.1.3+
kerisauan	X1 E6-
kerisauan	X5.1-
kerisauan	X5.2- M1
kerisik	O1.1
kerisikoan	A15- A1.4
kerisin	E4.1+
keriting	A1.7+
keriting	O4.4
keriting	O4.4 M2 M1
keriuhan	A1.1.1 M1
keriuhan	A1.1.1/N5+
keriuhan	E3-
keriuhan	E3- B2-
keriuhan	E4.1+
keriuhan	M1 M2
keriuhan	N3.8+
keriuhan	N5+++ X3.2
keriuhan	X3.2
kerja	A1.1.1
kerja	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+
kerja	A1.1.1 B3 G3
kerja	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5
kerja	A1.1.1 Q2.2
kerja	A1.1.1/A12- A11.1+/N5.2+
kerja	A2.2
kerja	H2 S5+c X2.2
kerja	I3.1
kerja	I3.1 A1.1.1 A12-
kerja	I3.1 A1.1.1 G3 H4
kerja	I3.1 A1.1.1 X9.2+ A2.1+ A2.2
kerja	K5.1 A1.5.1
kerja	M6
kerja	N3.8+
kerja	S6+ G1.1/I1.3 T1.3/I3.1
kerja	S8+ S7.1- I2.2 A9- F1 A1.1.1 I3.1 K5.1 G2.1
kerja	T1.1 I3.1
kerja	X7+ G3 S9 S9/H1
kerjakan	A1.1.1 K4 X9.2+
kerjasama	S1.1.3+ S8+
kerjasama	S8+
kerjasama	S8+/S5c
kerjaya	N3.8+
kerlap	O4.3
kerlingan	X3.4
kerlip	O4.3/N6 A10+ N3.8+ G2.1-
kerlipan	O4.3
kerlipan	O4.3 X5.2+
kerlipan	X5.2+ N5-
kernyam	S3.2+/G2.2-
kernyat	X3.2 Q2.2
kernyat-kernyut	X3.2 Q2.2
kernyih	E4.1+
kernyit	B1 E2-
kerobohan	A1.1.2 I1.1---
kerohanian	S9
kerongkong	B1 B5%
kerongkong	F1 N5.1+
kerongkongan	B1 B5%
kerongkongan	F1 N5.1+
keropok	O4.2- O4.1
kerosakan	A1.1.2
kerosakan	A1.1.2 A1.1.1 A1.9 S5- T2- E4.1-/A2.2 A2.1+ T1.3 Q2.1@
kerosakan	A1.1.2 E4.1-
kerosakan	A1.1.2 I1.1---
kerosakan	A5.1-
kerosakan	B2- A1.1.2 E1
kerosakan	B2- A2.1+ M2
kerosakan	B2- E3- O4.2-
kerosakan	E2-
kerosakan	G1.2
kerosakan	G2.2-
kerosakan	G2.2-/S3.2 G2.2-
kerosakan	O4.2-
kerosakan	X9.1- B2- I1.1/B2-
kerosakan	X9.2- A1.1.2 Q2.2 T2- B2-
kerosang	B5
kerotot	O4.1 O4.2-
kerpuk	A1.1.2 A1.1.1 X3.2 Q2.2 C1
kerpuk	A1.1.2 X3.2 X9.2+ B2-/X1 Q2.2/E4.1+
kersang	L3-/F4 N5--- B2-/S4
kersang	O4.5
kersik	A1.1.1 B1
kersik	O1.1
kertak	A1.1.2 A1.1.1 X3.2 Q2.2 C1
kertas	B5 O2 Q1.2 N5
kertas	H5
kertik	A1.1.2 A1.1.1 X3.2 Q2.2 C1
kertik	X3.2 Y2 X2.5+ S1.2.1+
keruan	A4.2+ A7+
keruan	Z4
kerubin	S9
kerucut	O4.4 O2 M3 L3 F1
kerudung	B5
kerudung	B5 O2 G2.1-/S2%m
kerudut	B1 A1.1.1
kerugian	A1.1.2
kerugian	A1.1.2 E4.1-
kerugian	A1.1.2 I1.1---
kerugian	A1.9
kerugian	A1.9 A1.1.1
kerugian	A12-
kerugian	A15- A1.4
kerugian	A15- A1.4 X2.1/A7-
kerugian	A5.1-
kerugian	B2- A1.1.2 E1
kerugian	G2.2-
kerugian	I1.2 A9- S8- L1-
kerugian	S9 A9-
keruh	O4.2- S1.2.4-
keruh	O4.3 F1
keruh	W4 O4.1 A4.2-
keruit	K5.1 E3- A1.1.1/A12-
keruk	A1.1.1
keruk	A1.1.1 S7.1-
keruk	B2-
keruk	B2- A1.1.1 A1.1.2
kerukunan	S1.2.1+ K2 A6.1+
kerukunan	S5+
kerukunan	Z3fn Z2
kerukut	A1.1.1
kerukut	B1 A1.1.1
kerukut	O4.4
kerumitan	A1.7+ X6+ S8+/A1.1.2- A5.1+/A2.1 X5.1+ G2.2-
kerumitan	A12-
kerumitan	A4.2+ A12-
kerumitan	E6-
kerumun	S5+ A9+ A1.1.1
kerumunan	N3.8+
kerumunan	S1.1.1
kerungkuhan	A1.1.2
kerungkuhan	T3++ T3
kerunsingan	E3- E6-
kerunsingan	E6-
kerunsingan	E6- A1.8+ S1.1.3+
kerunsingan	E6- E2+ S8+ B3 X7+
kerunsingan	S8-
keruntuhan	A1.1.2
keruntuhan	A1.1.2 B2- N3.2-/A2.1
keruntuhan	A1.1.2 I1.1---
keruntuhan	A1.1.2 X3.2 M1 N5-/A2.1 Y2 B1@
keruntuhan	M1
keruntuhan	M1 N5-/A2.1 S7.1- L1- A1.8+ G2.2- X9.2- K5.2
keruntuhan	O4.2-/A2.1 B2-
keruntuhan	W3/M4 N5-/A2.1
keruntuhan	X9.2-
kerupawanan	O4.2+ B4
keruping	M1 A4.1 F1 B3
kerusi	M2 N3.2/H1
kerusi	P1/I3.2
kerusi	S7.1+
kerusuhan	A2.2/S2mf
kerusuhan	A6.1- E3-
kerusuhan	B2 A2.1+
kerusuhan	B2- E3- O4.2-
kerusuhan	E3-
kerusuhan	E3- B2-
kerusuhan	E3- X2.5- X5.2+
kerusuhan	W4
kerut	A1.1.1
kerut	A1.1.1 S7.1-
kerut	B1 A1.1.1
kerut	B2-
kerut	O4.4
kerutut	O4.1 O4.2-
kes	A1.1.1 S7.1+
kes	A11.1+
kes	A3+/A11.1+ A6.2- S1.1.1/X7+ K5
kes	A4.1 O2 G2.1 B3 X4.1 Q3
kes	G2.1
kes	S2mf K4/S2mf S1.2 S2mf/A6.2- Q1.2 A4.1 O4.2+
kesabaran	A1.7+ E1-/E3+
kesabaran	A9- Q2.2 S7.1- I3.1
kesabaran	E3+ A1.7+ G2.1
kesabaran	E3+ K5.2%
kesabaran	O4.1
kesabaran	S1.2.5+
kesahan	A5.2+ Q1.1
kesahan	G2.1+
kesahan	G2.2+
kesahihan	A5.2+ Q1.1
kesahihan	A5.4+
kesakitan	B2-
kesakitan	B2- E4.1-
kesakitan	B2- E4.1---
kesakitan	B2- E4.2- X7+
kesakitan	E3+ B2-
kesakitan	E4.1- B2- X3 A5.1-/A2.1 S7.4+
kesakitan	E6-
kesakitan	E6- E4.1- B2-
kesakitan	E6- Q3
kesakitan	O4.6+ E1 A1.5.1
kesakitan	Z1
kesaksamaan	G2.2+
kesaksamaan	G2.2+/E2
kesaksian	A10+ A5.2+ X2.4
kesaksian	G2.1 Q2.2
kesaktian	Y1/T1.1.1 S9/T1.1.1
kesal	E4.1-
kesal	E4.1- S9
kesalahan	A5.3-
kesalahan	A5.3- A5.2-
kesalahan	A5.3- X3.4-
kesalahan	E2-
kesalahan	G1.2
kesalahan	G2.1-
kesalahan	G2.1- G2.2-
kesalahan	G2.1- S1.2.4-
kesalahan	G2.2-
kesalahan	G2.2- G2.1-
kesalahan	Q2.2/G2.2- G2.1
kesalan	G2.2
kesalingan	S8+
kesamaan	A6.1+
kesamaan	A6.1+ Q2.2
kesamaan	E2+ A6.1+
kesamaan	S2 A6.1+ Q1.2
kesamaan	X5.2-/A2.1-
kesamaran	O4.3 A12-
kesamaran	Q3 A7-
kesamarataan	A6.1+
kesamarataan	G2.2+
kesampaian	M1 T2-
kesan	A1.1.1
kesan	A10+ C1 X2.4 Q2.1
kesan	A11.1+
kesan	A2.2
kesan	B2- A1.1.1 A1.1.2
kesan	E2- A1.1.1
kesan	E4.1- B2-/X1 I2.1/N5- O4.4 W4
kesan	O4.1 Q1.2 A5.1
kesan	O4.2- G2.2- O1.1
kesan	Q4.1 O4.4
kesan	S7.1+ S1.2.5+ B3
kesan	X2.4 M2 S7.1-
kesan	X3.3 M6 Q2.2 E1 E2-
kesan	X4.2 O1.2
kesanggupan	N3.2 N3.4 N5.1+ X9.1+ I3.1
kesanggupan	X7+ X5.2+
kesanggupan	X7+ X5.2+ S8+
kesanggupan	X9.1+
kesangsian	A7-
kesangsian	A7- A9+ M7
kesangsian	A7- E6-
kesangsian	E6-
kesangsian	X2.1/A5.1-
kesangsian	X2.1/A5.1- A7 N5---
kesantunan	F1
kesantunan	S1.2.4
kesantunan	S1.2.4+
kesarjanaan	X2.2+
kesasar	E5- S1.2.3-
kesat	E3-/S1.2 S1.2.4-
kesat	G3 A1.1.1
kesat	O4.2-
kesat	X3.3 O4.5 E3- S1.2.4- O4.2- A4.2- A12- E3-/K5.2
kesateria	G3/S2.2m T1.1.1/S2.2m
kesateria	G3/S2mf
kesateria	S7.1+
kesatuan	A7+ S1.2.6+ X2.5+ N5.1+ Q3
kesatuan	G2.2+ N5.1+
kesatuan	S4
kesayangan	E2+
kesayangan	E2++
kesayangan	E2+/S2mf
kesayuan	E4.1-
kesayuan	O4.3 E4.1-
kesebalan	E4.1-
kesedakan	B1
kesedakan	B2-
kesedaran	B1 X1
kesedaran	E4.2-
kesedaran	S7.2+ E2+
kesedaran	X2.2+
kesedaran	X2.2+ X2.5+ S7.4+ G2.1+ S1.1.1
kesedaran	X2.5+ X9.2+
kesedaran	X3
kesederhanaan	A12+ O4.1
kesederhanaan	A12+/A2.1 N5-/A2.1
kesederhanaan	A12- O4.2-
kesederhanaan	A5.1- S1.2.5+ S1.2.1- E4.1- O4.2-
kesederhanaan	A5.2+ O4.1 X2.5+
kesederhanaan	E3-
kesederhanaan	E4.1-
kesederhanaan	G2.2/F2 S1.2
kesederhanaan	N5-/A2.1
kesederhanaan	Q4 X4.2 O1 S9/S2mf
kesederhanaan	S1.2.3-
kesediaan	M6 A9+ S1.2.1+ A12+
kesediaan	X7+ X5.2+
kesediaan	X7+ X5.2+ S8+
kesedihan	A1.1.2 E4.1-
kesedihan	E4.1-
kesedihan	E4.1- B2- X3 A5.1-/A2.1 S7.4+
kesedihan	E4.1- B2-/X1 I2.1/N5- O4.4 W4
kesedihan	E4.1- E3-
kesedihan	E6-
kesedihan	E6- E4.1- B2-
kesedihan	O4.3 E4.1-
kesedihan	S7.1+
kesefahaman	A6.1+ Q2.2
kesefahaman	X2.5+
kesefahaman	X2.5+/E1 S1.2.1+
kesegakan	O4.2+
kesegakan	O4.2+ B4
keseganan	E1
keseganan	E4.1- E5-
keseganan	E5-
keseganan	X2.5-
kesegaran	A1.2+ B2+
kesegaran	S1.2.3+ E6+
kesegaran	T3- O4.2+ B1 W4 S1.2.3+++
kesegaran	T3---
kesegeraan	A11.1+ T1.1.2
kesegeraan	M2
kesegeraan	N3.8+
kesegeraan	X9.1+
keseimbangan	A1.1.1 A2.1+
keseimbangan	A2.2/N3.2 O4.2
keseimbangan	A6.1+
keseimbangan	A6.1-
keseimbangan	E6- O4.1
keseimbangan	M2 X7+
keseimbangan	N6+ A6.1+ A6.2+
keseimbangan	O4.1/B1 A6.1+ A11.1 I1.1
kesejahteraan	A15+
kesejahteraan	B2+ X9.2+
kesejahteraan	I1.1+
kesejajaran	Q1.2 A6.1+
kesejajaran	S1.2.1+ K2 A6.1+
kesejajaran	W3
kesejatian	A5.4+ A5.2+
kesejukan	B2- O4.6-
kesejukan	O4.6-
kesejukan	O4.6- M8 T2- E5-
kesejukan	O4.6- S1.2.1-
keseksualan	L2
kesel	B2- A1.5.1/N5.1+
keselamatan	A1.1.1/A15+ X3.4/A15+
keselamatan	A15+
keselamatan	B2+ X9.2+
keselamatan	E3+
keselamatan	G2.1 A15+ E6+ I1.1
keselamatan	S9 S8+
keselanjaran	T2++
keselarasan	A6.1+
keselarasan	A9- A6.1+
keselarasan	S1.2.1+ K2 A6.1+
keselarasan	S5+
keselarian	Q1.2 A6.1+
keselesaan	A1.2+ A1.5.2 O2
keselesaan	A12+/A2.1 N5-/A2.1
keselesaan	E4.1+ A1.7- S8+ G3 B3 I1.1 I3.1/S2mf C1%
keselesaan	H1 O2 S8+
keselesaan	S8+
keseluruhan	A13.2
keseluruhan	A14
keseluruhan	A6.3+
keseluruhan	G1.2/S2mf O1%
keseluruhan	N2
keseluruhan	N5.1+
keseluruhan	T3---
kesemasaan	T2++ A2.1-
kesembilan	N1
kesembuhan	B2+
kesembuhan	B3 S8+
kesementaraan	A7-
kesemestaan	N5.1+
kesempatan	A1.1.1 T2+
kesempatan	A1.4
kesempatan	A1.4 X9.2+
kesempatan	A2.2
kesempatan	A5.3+/A2.1
kesempatan	A7 N1
kesempatan	A7+
kesempatan	H1 O2 S8+ X9.1+
kesempatan	T1.2 Q3
kesempatan	X2.4
kesempatan	X7+/T1 N3.1/T1
kesempurnaan	A5.1+++
kesemua	A13.2
kesemua	N5.1+
kesemuanya	A13.2
kesenakan	B2-
kesenangan	A12+/A2.1 N5-/A2.1
kesenangan	E4.1+
kesenangan	E4.1+ A1.7- S8+ G3 B3 I1.1 I3.1/S2mf C1%
kesenangan	E4.2+ K1
kesenangan	I1.1+
kesenangan	S8+
kesendirian	S5-
kesenduan	E4.1-
kesengitan	E3-
kesengitan	E4.1-
kesengsaraan	A12-
kesengsaraan	B2- E4.1-
kesengsaraan	E4.1-
kesengsaraan	E6-
kesengsaraan	E6- B2-
kesengsaraan	X2.4
kesengsaraan	X7-
kesenian	C1
kesenian	C1 X9.1+
kesensitifan	X2.5+/E1 O4.1 B2-
kesentosaan	A15+
kesentosaan	E3+
kesenyapan	X3.2-
keseorangan	A6.1- A1.8- S5- A10+
keseorangan	M2/A6.1- E6
keseorangan	S5-
kesepadanan	A1.2+
kesepadanan	A6.1+ Q2.2
kesepadanan	S1.2.1+ K2 A6.1+
kesepadanan	S5+
kesepakatan	A2.2 S1.1.1 S4 S3.2
kesepakatan	A6.1+
kesepakatan	A6.1+ Q2.2
kesepakatan	I2.2 I2.2/I1.3-
kesepian	A1.1.2
kesepian	A1.8- S5- A10+
kesepian	S5-
kesepian	X3.2-
kesepontanan	X7-
keseragaman	A6.1+
keseragaman	N6+ A6.1+ A6.2+
keserakahan	S1.2.2+
keserasian	A6.1+
keserasian	A9- A6.1+
keserasian	S1.2.1+ K2 A6.1+
keserasian	Y1 S3.1
keseringan	N6
keseriusan	A11.1+ A15- E4.1-
keseriusan	A12- O4.2-
keseriusan	N3 A11.1+
keseronokan	E2+ A9+ E4.1+
keseronokan	E3-
keseronokan	E4.1+
keseronokan	E4.1++
keseronokan	E4.1+++
keseronokan	E4.2+ K1
keseronokan	F1
keseronokan	K1
keseronokan	K1 E4.1+
keseronokan	S1.2.3+
keseronokan	X3.1 O4.2+
keseronokan	X5.2+
keseronokan	Z1f
keserumpunan	S5+
keserumpunan	S5+ N5+
keserupaan	A6.1+
keserupaan	A6.1+ Q2.2
kesesakan	B2- N5+
kesesakan	E6-
kesesakan	X5.1+ N5+ I2.2% O1.2
kesesalan	E4.1- S9
kesesatan	A5.3-
kesesatan	X2.1 S9
kesesatan	X2.5-
kesesatan	X9.2- A9- M6/A5.3- L1-
kesesuaian	A1.2+
kesesuaian	A1.2+ B2+
kesesuaian	A6.1+
kesesuaian	A6.1+ Q2.2
kesesuaian	G2.2+
kesesuaian	S1.2.1+ K2 A6.1+
kesesuaian	S1.2.4+
kesesuaian	S5+
kesesuaian	Z3fn Z2
kesetaraan	A6.1+
kesetiaan	E2+ S6+ S9
kesetiaan	O2 S3.2
kesetiaan	S6+
kesetiaan	S6+/S1.2 S6+/S4 A5.3+
kesetiaan	X5.2+ A7+ S6+
kesetiausahaan	I2.1
kesetimbangan	A6.1+
kesetimbangan	E3+
kesetimbangan	O4.1/B1 A6.1+ A11.1 I1.1
kesia-siaan	A1.5.2-
kesia-siaan	S1.2.3+
kesiagaan	X7+ X5.2+ S8+
kesialan	A1.4- A5.1-
kesialan	A12-
kesiapan	G1.1/X7 Y1 N2
kesibukan	A1.1.1
kesibukan	I2.1 A1.1.1 A5.1+++
kesibukan	K2 X3.2
kesibukan	M1
kesibukan	N3.8+
kesibukan	N3.8+ A1.3-
kesibukan	N3.8+ M1/N3.8+ M2/N3.8+
kesihatan	A1.2+ B2+
kesihatan	B2 X9.2
kesihatan	B4 P1
kesilapan	A1.9 A1.8-
kesilapan	A5.1-/A2.1 S9
kesilapan	A5.3-
kesilapan	A5.3- A5.2-
kesilapan	A5.3- X3.4-
kesilapan	E3- X2.4/A10-
kesilapan	G2.1- S1.2.4-
kesilapan	M1 A9- A2.1+ A5.1-/A2.1
kesilapan	M1 M2 S8-
kesilapan	X9.2- A5.3-
kesilauan	O4.3 O4.2- K2
kesimpatan	Q2.2- A1.7+/Q2.1 B1 E4.1+ B3 A1.7+/L2 A10-
kesimpulan	A10+ X2.1 X6+
kesimpulan	A2.2 N2
kesimpulan	K4/T2- T2-
kesimpulan	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2
kesimpulan	M1 N4 S7.1- X2.4 X2.5+ A6.1+ A1.1.1 A2.2 K5.1 X3.4
kesimpulan	Q2.2
kesimpulan	T2-
kesimpulan	X2.5+
kesimpulan	X6+
kesimpulan	X6+ T2-
kesinambungan	N4
kesinambungan	T2++
kesingkatan	Q2.1
kesingkatan	Q3
kesipu-sipuan	E4.1- E5-
kesipu-sipuan	S1.2.3-
kesipuan	E4.1- E5-
kesiuman	X1/B2+
kesombongan	E2-
kesombongan	E4.2+ S1.2.3+
kesombongan	S1.2.3+
kesombongan	S1.2.3+/Q2.2
kesopanan	F4 L2
kesopanan	G2.2+
kesopanan	S1.2.3-
kesopanan	S1.2.4+
kespontanan	X7-
kestabilan	A2.1-
kestabilan	A2.2/N3.2 O4.2
kestabilan	A6.1+
kestabilan	O4.1/B1 A6.1+ A11.1 I1.1
kesterilan	B4 B2-/S4 X5.2-
kesting	K4 A4.1 M2 G1.2 S9 A9- A1.1.1
kesturi	L2
kesturi	O1
kesubjektifan	E1
kesuburan	B1/S4
kesuburan	I1.1+ O4.1 N5+ X5.2+
kesucian	A5.4+ O4.1 A4.2+ G2.2+
kesucian	G2.1+ G2.2+
kesucian	G2.2+
kesucian	O4.2+ G2.2+
kesucian	S7.2+
kesucian	S9
kesudahan	A2.2
kesudahan	N4
kesudahan	T2-
kesudahannya	N4
kesudian	X7+ X5.2+
kesugulan	E4.1-
kesuh-kesih	B1
kesukaan	A1.3+ S7.1+
kesukaan	E2+
kesukaan	E2+ A6.1+
kesukaan	E2++
kesukaan	E2+++
kesukaan	E3-
kesukaan	E4.1+
kesukaan	K1
kesukaan	X7+ X5.2+
kesukaan	Z1f
kesukaran	A1.7+ X6+ S8+/A1.1.2- A5.1+/A2.1 X5.1+ G2.2-
kesukaran	A12-
kesukaran	A12- X4.1 B2-
kesukaran	E6-
kesukaran	S8-
kesulitan	A12-
kesulitan	E6-
kesulitan	H2
kesulitan	N3.8+
kesulitan	S8-
kesultanan	S7.1+/S2.2m
kesuma	G2.2+ S7.1+ O4.2+
kesuma	K5.2
kesumat	E2-
kesumat	E3-
kesumbangan	G2.2-
kesumbangan	S1.2.4-
kesumbangan	X2.2+ X2.5+ S1.2.1+
kesungguhan	A11.1+ A15- E4.1-
kesungguhan	A5.2+
kesungguhan	E2+
kesungguhan	L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1
kesungguhan	T2++ X8+
kesungguhan	X6+
kesungguhan	X6+ A2.2 A7+
kesunyian	A1.8- S5- A10+
kesunyian	E3+
kesunyian	S5-
kesunyian	X3.2-
kesuraman	A10- O4.3
kesuraman	E4.1-
kesuraman	O4.2- A5.1-
kesuraman	O4.3 E4.1-
kesusahan	A12-
kesusahan	E3-
kesusahan	E3- A1.1.2
kesusahan	E4.1- B2- X3 A5.1-/A2.1 S7.4+
kesusahan	E6-
kesusahan	E6- E4.1- B2-
kesusahan	S6+
kesusahan	X2.4
kesusahan	X8+ A12- E3-
kesusahan	X8+ O2
kesusasteraan	Q4.1
kesusasteraan	Q4.1 Q1.2
kesusilaan	G2.2
kesusilaan	G2.2+
kesusilaan	S1.2.4+
kesusu	N3.8+ M1/N3.8+ M2/N3.8+
kesusutan	A5.1-/A2.1
kesusutan	N5-/A2.1
kesyahduan	E3+ E4.2+
kesyahidan	E4.1- B2- X3 A5.1-/A2.1 S7.4+
kesyahidan	S9 E4.1-
kesyukuran	O4.2+/A2.1
kesyukuran	S1.2.4+ E4.2+
ketaatan	E2+ S6+ S9
ketaatan	E6+ S9 X2.1
ketaatan	O2 S3.2
ketaatan	S6+
ketaatan	S6+/S1.2 S6+/S4 A5.3+
ketaatan	S7.1-
ketaatan	S7.1-@
ketaatan	X5.2+ A7+ S6+
ketabahan	B1 A11.1+ S1.2.5+
ketabahan	E3+ K5.2%
ketabahan	E5+/S1.2
ketabahan	S1.2.5+
ketabahan	T2++ X8+
ketagih	F3 X5.2++
ketagihan	B2-
ketagihan	S1.1.1 A6.2+ B5@
ketahanan	A5.1+
ketahanan	B1 O4.1
ketahanan	B2+ A1.8-
ketahanan	I1.1 S7.4+ X4.1
ketahanan	M3c G2.1-/S5+c A10-
ketahanan	O4.1
ketahanan	O4.2+/A2.1
ketahanan	S1.2.5+
ketahanan	S7.4+ O4.1
ketahanan	S8- S1.2.5+
ketahanan	T2++
ketahuan	Q2.2
ketai	A1.1.1
ketajaman	A1.1.1 M1
ketajaman	O4.4 A10+ X9.1+ N3.8+ B2- X3.1 E3- A5.3@
ketajaman	X3 E1
ketajaman	X3.1 E3-
ketajaman	X3.4 X9.1+ X5.1+
ketajaman	X5.1+
ketajaman	X9.1+
ketak	Q1.1 M2 M1
ketak	X3.2 A1.1.1 E3- Q2.2 S3.2@
ketakberubahan	A6.2-
ketakburan	S1.2.3+
ketakdiran	A7+++/S7.1- A3+/S7.1-
ketakjituan	A5.3-
ketakjuban	X2.1
ketakjuban	X2.6-
ketaknormalan	A6.2- B2-
ketakperhatian	X5.1-
ketakpuasan	E4.2-
ketaksaan	A10- A12-
ketaksaan	Q3 A7-
ketaksempurnaan	N5- O4.2-
ketakserupaan	A6.1-
ketakterbatasan	A1.7-
ketakutan	E2-
ketakutan	E5-
ketakutan	E5- E6-
ketakutan	E6-
ketakutan	E6- A9+ G2.1
ketakwaan	G2.2+
ketam	A1.1.1/O4.5 M1
ketam	L2mfn F1
ketam	O2
ketamakan	S1.2.2+
ketampanan	O4.2+
ketampi	L2mfn
ketandusan	B4 B2-/S4 X5.2-
ketangkasan	A2.1+ O4.4
ketangkasan	B1
ketangkasan	B1 M6 A11.1+ E1 X5.2+
ketangkasan	N3.8+
ketangkasan	X9.1+
ketar	M1 E5-
ketara	A10+
ketara	A11.1+
ketara	A11.1+ N5+
ketara	A11.2+
ketara	A5.1++ A11.2+ I1.2 A1.9
ketara	A7+
ketara	A8 A11.2+
ketara	N3.1
ketara	O4.1 E5+
ketara	O4.3
ketara	X3.4 A11.2+
ketara	X3.4+ A11.2+
ketara	Z4 A11.2+
ketat	A1.1.1 A10- T2-
ketat	A1.7+
ketat	A1.7+ A2.1- O4.5
ketat	A1.7+ A4.2+
ketat	A2.1-
ketat	F1-
ketat	F2
ketat	Q2.2
ketawa	E4.1+/X3.2
ketawa	O4.3 X5.2+/A2.1 E4.1+/A2.1 N3.5-/A2.1 A12+/A2.1
keteduhan	E3+ E4.2+
ketegangan	A1.1.1/N5.2+ X8+ B2- A1.1.1
ketegangan	E6-
ketegangan	E6- O4.1
ketegangan	Q2.2 A1.1.2
ketegapan	N3.5/N5.2+
ketegapan	O4.2- B2-
ketegapan	S1.2.5+ O4.1
ketegar	A2.1-
