mwe_template	semantic_tags
colore_noun rosa-violaceo_adj	O4.3
colore_noun rosato_adj	E1/B1
colorito_noun roseo_adj	O4.1 O4.2 B2+ A5.1+/S2mf
coloro_verb che_pron	Z8
colpi_noun di_prep sole_adj	X5.1+ X5.2+ O4.3/B4
colpire_verb con_prep arma_noun da_prep fuoco_noun	G3  M1 E3-
colpire_verb con_prep forza_noun	E3- A1.1.1
colpire_verb con_prep un_art pugno_noun	E3- A1.1.1
colpire_verb di_prep contro_adv	A6.1-
colpo_noun che_pron manda_verb la_art palla_noun in_prep buca_noun	A15- A1.4 K5
colpo_noun da_prep maestro_noun	G1.2 X9.1
colpo_noun del_prep secolo_noun	G2.2- G1.2 G3 A11.1 A11.2
colpo_noun di_prep clacson_noun	X3.2
colpo_noun di_prep clacson_noun	X3.2 E4.1+
colpo_noun di_prep fortuna_noun	 A5.1+ X9.2
colpo_noun di_prep freddo_noun	O4.6- B2-
colpo_noun di_prep frusta_noun	E3- A1.1.1
colpo_noun di_prep incontro_noun	A6.1- I2.2 N2/O2
colpo_noun di_prep mano_noun	A1.1.1 X9.2- B1 I1.2 A1.5.1/N5.1+ E5- A2.1+ S8- E3-
colpo_noun di_prep sinistro_noun	O4.2/S2mf
colpo_noun di_prep spazzola_noun	B4 A1.1.1 B4/O2 S1.1.1
colpo_noun di_prep stato_noun	G1.2
colpo_noun di_prep telefono_noun	X3.2 A1.1.1 E3-@ X5.2+ Q1.3
colpo_noun di_prep vento_noun	A1.1.1 X3.2 X9.2- B2- W4 A1.5.1/N5.1+ E5- A2.1+ S8- E3-
colpo_noun forte_adj	E3- A1.1.1
colpo_noun mancato_adj	X9.2-
colpo_noun rumoroso_adj	E3- A1.1.1 X3.2
colpo_noun secco_adj	A1.1.1 E3-
colpo_noun violento_adj	A1.1.1 E3-
coltivare_verb con_prep cura_noun	E2+
colui_pron che_pron	Z8
combinatore_noun di_prep marcia_noun	S7.1+/S2mf O2
come_conj la_art seta_noun	O1.1 B5 B1/O4.1 G2.1/S2mf% O4.2+
come_conj mai_adv	Z5 A13.3
come_conj prima_adv	N6+ Z4
come_conj sopra_adv	A6.1+
come_prep anticipo_noun	F1/B1 A1.1.1 M6 N4 N5-- E4.1- S7.1- N3.1 Q1.2 Z5
come_prep minimo_noun	A13.5 A13.6
come_prep riparo_noun	A5.1- S8- Z5
comitato_noun di_prep controllo_noun	 G2.1 S7.1
comitato_noun esecutivo_adj	I2.1/S2mf G1.1c S7.1+/S5+c S7.1+
commedia_noun musicale_adj	K2 K4/K2
commerciante_noun di_prep ferramenta_noun	I2.2/S2mf
commercio_noun al_prep dettaglio_noun	I2.2 I2.1 I3.1 I2.2/N5
commercio_noun al_prep minuto_noun	I2.2 I2.1 I3.1 I2.2/N5
commercio_noun di_prep ferramenta_noun	A1.1.1/O2
commercio_noun di_prep tessuti_noun	A1.1.1/B5
commercio_noun illecito_adj	F3/G2.1- G2.1-/I2.2 M3 M4 M1 S1.1.2+
commesso_noun viaggiatore_adj	M1/S2mf I2.2/S2mf S9/S2mf S5+/S2mf
commetter_verb un_art errore_noun	M1 S7.2 A1.1.1
commissario_noun di_prep bordo_noun	S7.1/M4/S2mf
commissione_noun data_verb ad_prep un_art sicario_noun	Q1.2/I2.1 N3.2-/A2.1 Q1.2/I3.1 Q1.2/G2.1
compagnia_noun aerea_adj	M5/S5c
compagnia_noun teatrale_adj	S5+c K4
compagno_noun di_prep letto_noun	S3.2
compiere_verb un_art ammaraggio_noun di_prep fortuna_noun	A9-
compito_noun di_prep esame_noun	 Q1.2 X2.4
compito_noun scritto_verb	Q1.2 X2.2
complesso_noun residenziale_adj	H1
componente_noun di_prep una_art commissione_noun	G1.1/S2mf G2.1/S2mf
composizione_noun tipografica_adj	A10- S8- K4% O2 N5+
composto_noun aromatico_adj	X3.1 X3.5 A5.1+
computer_noun palmare_adj	Y2
computer_noun portatile_adj	Y2
comunanza_noun di_prep interessi_noun	S5+
comune_noun mortale_adj	S1.1.1
comunicazione_noun di_prep servizio_noun	Q1.1 Q1.2
comunicazione_noun interna_adj	Q1.1 Q1.2
con_prep abilità_noun	X9+
con_prep affetto_noun	E2+
con_prep ampia_adj scollatura_noun	O4.1
con_prep arroganza_noun	S1.2.3+ S1.2.1-
con_prep barbigli_noun	O4.1
con_prep cadenza_noun annuale_adj	N6+ Q4.1 L3
con_prep ciò_pron	Z5
con_prep clemenza_noun	S1.2.6+ A5.1+
con_prep cui_pron	Z5
con_prep destrezza_noun	X9.1+ S1.2.5
con_prep difficoltà_noun	A13.7 O4.1 X8+ N5+ A12- S1.2.5+
con_prep discrezione_noun	A1.3+ A10-
con_prep dolcezza_noun	E3+
con_prep fatica_noun	A13.7
con_prep ferite_noun di_prep guerra_noun	G3/A1.1.2
con_prep gli_art occhiali_noun bendati_verb	O2/X3.4- X3.4-
con_prep grande_adj entusiasmo_noun	A13.3
con_prep grazia_noun	O4.1/M1 O4.2+
con_prep il_art consiglio_noun	S8+
con_prep il_art dorso_noun della_prep mano_noun	K5.1 B1
con_prep il_art parere_noun	S8+
con_prep indulgenza_noun	S1.2.6+ A5.1+
con_prep la_art parola_noun facile_adj	Q2.2 Q2.1 Q3 Q2.2/X9.1+ B1
con_prep le_art gambe_noun storte_verb	Q4.1 B1
con_prep le_art mani_noun nel_prep sacco_noun	G3- A10+/B1
con_prep le_art ruche_noun	O4.1 B5 O2/O4.3 O4.4
con_prep l’accompagnamento_verb	M6 Z5
con_prep originalità_noun	A5.4+
con_prep periodicità_noun annuale_adj	N6+ Q4.1 L3
con_prep prudenza_noun	A1.3+
con_prep questo_pron mezzo_noun	Z5
con_prep rammarico_noun	E4.1-
con_prep rincrescimento_noun	E4.1-
con_prep se_pron stesso_adj	A14 S5-
con_prep signorilità_noun	O4.1/M1 O4.2+
con_prep sincerità_noun	A5.2+
con_prep sobrietà_noun	A5.3+
con_prep tatto_noun	S1.2.4 S1.2.6 S7.2
con_prep testa_noun	Q1.2 B1
con_prep una_art macchia_noun bianca_adj sulla_prep fronte_noun	B1 O4.3
con_prep uno_art schianto_noun	A1.1.2 X3.2 N3.3--- E5 F3 X9.2+ B2-/X1 Q2.2/E4.1+ A5.1+
con_prep uno_art schiocco_noun	A1.1.2 X3.2 N3.3--- E5 F3 X9.2+ B2-/X1 Q2.2/E4.1+ A5.1+
conato_noun di_prep vomito_noun	M2 M1 B2-
concedere_verb il_art divorzio_noun	S4 A6.1-
concedere_verb in_prep esclusiva_noun	I2.2 S7.4
concessionario_noun esclusivo_adj	I2.2/S2mf
concessione_noun della_prep libertà_noun religiosa_adj	S7.4+ S9@
conciare_verb male_adv	A1.1.2
concime_noun organico_adj	O4.2- O1.1 F4
concludere_verb in_prep anticipo_noun	A10-/I1.2 T2-/I1.2
concorrere_verb a_prep una_art lotteria_noun	A1.4
condire_verb col_prep curry_noun	A1.1.1/F1 X7
condizione_noun d’inferiorità_noun	B2- S8- S7.1- K5.1
condizione_noun patologica_adj	B4 P1 O4.1 S6+ B2- B2+
condizione_noun sociale_adj	A5.1 S7.1++ N5.2+ S7.1+ S5+
condizione_noun sociale_adj	B4 P1 O4.1 S6+ B2- B2+
condizioni_noun di_prep salute_noun	B4 P1 O4.1 S6+ B2- B2+
condurre_verb al_prep pascolo_noun	A1.1.1/F4 A1.1.2
condurre_verb una_art vita_noun dissipata_verb	N5-/A2.1 G2.2-
conferire_verb dignità_noun	S7.2+
conferire_verb il_art dottorato_noun	A2.1+/G2.1- P1/I3.2
conferire_verb un_art grado_noun accademico_adj	A1.1.1 A1.7+ P1
conformarsi_verb alla_prep religione_noun di_prep stato_noun	A6.1+ S9
conforme_adv alla_prep morale_adj	G2.2+ E1 X4.1
conformemente_adv a_prep	M6 Z5
confusione_noun mentale_adj	X1 B2- X2.6-
congedare_verb per_prep invalidità_noun	B2-
congiungere_verb con_prep un_art arco_noun	O4.4
conoscere_verb l'_art ortografia_noun	Q3
conservare_verb in_prep salamoia_noun	F1
conservare_verb in_prep scatola_noun	A1.1.1 O2 F1 F2%
conservare_verb sottaceto_adv	F1
conservatore_noun moderato_verb	G1.2 O1.2 X5.2-
conservazione_noun in_prep salamoia_noun	F1
conservazione_noun sott’aceto_adj	F1
considerato_verb che_pron	Z5
consiglio_noun dei_prep ministri_noun	G1.1
consonante_noun laterale_adj	Q3 M6
consulente_noun legale_adj	G2.1/S2mf S8+/Q2.2 S8+
consumare_verb come_prep combustibile_adj	O4.6+ A1.5.1
consumare_verb in_prep fretta_noun	A1.1.1 M2
consumarsi_verb sfregando_verb	A1.1.1 M1 A1.1.2
contenere_verb il_art diffondersi_verb	S7.1+ A1.7+
contenuto_verb di_prep una_art bottiglia_noun	A1.1.1 A10- O2
contratto_noun di_prep affitto_noun	I2.2
contratto_noun ipotecario_adj	I1.2/H1
contratto_noun sigillato_verb	A4.2+ Q1.2
contratto_noun solenne_adj	A4.2+ Q1.2
contrazione_noun delle_prep parole_noun	N3.2-/A2.1 Q3%
controllare_verb battendo_verb	X3.2 Q2.2 A8 N3.1%
controllare_verb i_art documenti_noun	A1.1.1/G2.1 Q1.2
controllare_verb percuotendo_verb	X3.2 Q2.2 A8 N3.1%
convento_noun di_prep frati_noun	S9/H1c
convenzioni_noun sociali_adj	A6.2+ S1.1.1 I2.2 G2.2
convertire_verb in_prep denaro_noun liquido_adj	 X9.2+ I1
convertire_verb in_prep legge_noun	G2.1 S7.4+
convertire_verb per_prep distillazione_noun	F2/A1.1.1 A1.1.1/O1.2
convulso_noun di_prep risa_noun	B2 A2.1+
coperta_verb di_prep cespugli_noun	O4.1
coperta_verb di_prep neve_noun	W4
coperte_verb di_prep cespugli_noun	O4.1
coperte_verb di_prep neve_noun	W4
coperti_verb di_prep cespugli_noun	O4.1
coperti_verb di_prep neve_noun	W4
coperto_verb di_prep cespugli_noun	O4.1
coperto_verb di_prep gioielli_noun	O4.1
coperto_verb di_prep neve_noun	W4
coperto_verb di_prep peli_noun	B1
copertura_noun con_prep lastre_noun di_prep ardesia_noun	O2 O1.1
copertura_noun di_prep paglia_noun	H1
copertura_noun di_prep tetti_noun con_prep paglia_noun	H1
copia_noun carbone_noun	O1.1 Q1.2@
copia_noun di_prep riserva_noun	Y2
copia_noun fotostatica_adj	Q1.2/A5.4-
coprire_verb con_prep tappeti_noun	H5
coprire_verb d'_prep erba_noun	A1.1.1/L3
coprire_verb d'_prep ombra_noun	A11.1++
coprire_verb di_prep assi_noun	A1.1.1 H4
coprire_verb di_prep neve_noun	W4
coprire_verb di_prep tavole_noun	A1.1.1 H4
coprirsi_verb di_prep cespugli_noun	A1.1.1/L3
coprirsi_verb di_prep lividi_adj	B2- A1.1.2
coprirsi_verb di_prep vesciche_noun	B2- A1.1.1
corda_noun dell’acrobata_adj	O2 K5.1
cordone_noun elettrico_adj	O3
corno_noun da_prep caccia_noun	K2
corona_noun a_prep spirale_noun	M2 M1 O2
corpo_noun a_prep corpo_noun	E3- M2 X8+ G3 N3.3-
corpo_noun celeste_adj	W3 W1
corpo_noun di_prep ballo_noun	K2 K2/S5+c
corpo_noun insegnante_adj	X9.1 H2 S5+c P1/I3.1/S2mfc
corpo_noun legislativo_adj	G2.1 S3.2 X7+
corpo_noun luminoso_adj	W3 W2
corpo_noun principale_adj	B1 O2 S5+c O4.1 S2mf
corredino_verb da_prep neonato_adj	B5
corrente_noun d'_prep aria_noun	A1.1.1 X3.2 W4 O1.3 B2-
corrente_noun elettrica_adj	O3
correttore_noun di_prep bozze_noun	Q1.2 Q4.2 I3
corridoio_noun aereo_adj	M3/H3
corsa_noun precipitosa_adj	M1 K5
corsa_verb a_prep ostacoli_noun	K5.1 A1.1.1 A12-
corsa_verb di_prep allenamento_noun	K5
corsa_verb di_prep ritorno_noun	M4
corsivo_noun inglese_adj	Q3
corso_noun inevitabile_adj	L1- S7.1-/E1
corteo_noun di_prep studenti_noun	E4.1+ O2 Q4.2
corteo_noun funebre_adj	L1-/S1.1.1
cortile_noun anteriore_adj	H3
cortile_noun esterno_adj	H3
cortile_noun interno_adj	M7 H3
corvo_noun imperiale_adj	L2
corvo_noun maggiore_adj	L2
cosa_noun detestabile_adj	E2-
cosa_noun di_prep minore_adj importanza_noun	S6- A11.1-
cosa_noun di_prep normale_adj amministrazione_noun	A6.2+
cosa_noun di_prep tutti_pron i_art giorni_noun	A6.2+
cosa_noun difficile_adj	I2.1 A1.1.1 A5.1+++ A12-
cosa_noun duttile_adj	A1.1.1 A2.1+ B4 O1.1
cosa_noun eccezionale_adj	E2+ A1.1.1 A5.1++
cosa_noun effimera_adj	O2 E1 O4.5 A1.1.1
cosa_noun malleabile_adj	A1.1.1 B4 A2.1+ O1.1
cosa_noun morta_verb	A1.1.1/L1-
cosa_noun non_adv pertinente_adj	A1.2- A1.5.2-
cosa_noun rara_adj	A6.2- N6-
cosa_noun secondaria_adj	S6- A11.1-
cosa_noun senza_prep importanza_noun	A1.2- A1.5.2- O2/A11.1-
cosa_noun vecchia_adj	O2/T3++ S9
cose_noun difficili_adj	I2.1 A1.1.1 A5.1+++ A12-
cose_noun più_adv disparate_adj	A6.1- A6.3
costa_noun alta_adj e_conj ripida_adj	A15- O4.1 O4.4 W3
costa_verb deviata_verb	w3/o4.1 Q2.1 Z1
costo_noun del_prep trasporto_noun	I1.3/M3 I1.3/M4 I1.3/M5
costretto_verb a_prep letto_noun	B2-
costruita_verb a_prep mano_noun	A1.1.1 C1
costruite_verb a_prep mano_noun	A1.1.1 C1
costruiti_verb a_prep mano_noun	A1.1.1 C1
costruito_verb a_prep mano_noun	A1.1.1 C1
costruzione_noun di_prep nave_noun	M4/I4
costumi_noun da_prep bagno_noun	B5/M4
crescere_verb a_prep dismisura_noun	N3.2+/A2.1
crescere_verb disordinatamente_adj	M1/K1 Q2.1/N5+ N3.2+/A2.1
criterio_noun di_prep valutazione_noun	P1  X2.4
critica_noun caustica_adj	O2
criticare_verb aspramente_adv	A1.1.1 X3.2 G2.1
crivello_noun oscillante_verb	F4 O2
crosta_noun terrestre_adj	 L2 O2 W3
cucchiaino_noun da_prep tè_noun	O2 F2
cucina_noun indiana_adj	F1
cucinare_verb con_prep la_art panna_noun	F1 A9+
cucire_verb a_prep macchina_noun	A1.1.1 B5
cuffia_noun extraorale_adj	B5
cumulo_noun di_prep covoni_noun di_prep grano_noun	F4
cumulo_noun di_prep rovine_noun	O2/L1-
cuocere_verb a_prep fuoco_noun lento_adj	F1
cuocere_verb al_prep microonde_noun	F1/O3 Y1
cuocere_verb in_prep salmì_noun	F1
cuocere_verb nel_prep forno_noun a_prep microonde_noun	F1/O3 Y1
cuocere_verb nel_prep microonde_noun	F1/O3 Y1
cuocere_verb sulla_prep griglia_noun	F1 O4.6+
cuoco_noun di_prep bordo_noun	M4/I3.2/S2mf
curare_verb la_art manutenzione_noun	A9+
curare_verb la_art regia_noun	M6 Q2.2 S7.1+ K4
curatore_noun fallimentare_adj	Q1.3 Q4.3 G2.1-/S2mf I2.1/S2mf S7.1+/S2mf K1/S7.1+/S2mf
curva_noun di_prep livello_noun	O4.4 N2 N3.3 W3/N3.3
cuscinetto_noun carnoso_adj	O2 O4
d'_prep alta_adj classe_noun	A5.1++ S5+
d'_prep altra_adj parte_noun	M6+ Z4
da_prep allora_adv	N4 Z5
da_prep allora_adv in_prep poi_adv	N4
da_prep ambo_adj i_art lati_noun	M8 M6
da_prep biliardo_noun	K5.2
da_prep cabaret_noun	K2
da_prep campione_noun	X9.2+/S7.3/S2mf S8+/S2mf A5.1+
da_prep capo_noun	N6+ Z4
da_prep casa_noun	M6 H2
da_prep cerimonia_noun	B5 F1 O4.1
da_prep cima_noun a_prep fondo_noun	 N5.2+ A13.2 M6 Z5 M7
da_prep ciò_pron	A2.2
da_prep cucina_noun	F1
da_prep cui_pron	M6 Z5
da_prep damerino_noun	S1.2.3+/O4.2
da_prep donna_noun	S2.1 O4.2
da_prep falco_noun	E6+ S1.2.5+
da_prep far_verb restare_verb senza_prep fiato_noun	O4.2+
da_prep maiale_noun	L2mf O4.2-
da_prep malato_adj	B2- O4.2-
da_prep marito_noun	S4
da_prep niente_adv	F1 A5.1-
da_prep noi_pron	Z8
da_prep oggi_adv	A2.2 T2
da_prep ora_adv	A2.2 T2
da_prep pagarsi_verb a_prep parte_noun	N5++
da_prep parte_noun	M6 A1.1.1%
da_prep parte_noun	M6 N3.3+ A1.8- S1.1.3- Z5
da_prep parte_noun di_prep padre_noun	S4
da_prep picnic_noun	F1
da_prep principio_noun	T2- M6 Z5
da_prep qualunque_adj parte_noun	M6
da_prep quando_pron	N4 Z5
da_prep quelle_pron parti_noun	Z5
da_prep riproduzione_noun	E6- L2
da_prep segnalazione_noun	Q1.1 X4.1 A10+
da_prep sera_noun	K1/S1.1.3+ K1/S1.1.3+c B5 S1.1.3+/S2mf S5+c
da_prep signora_noun	S2.1
da_prep sogno_noun	X2 X2.1 X7++ X4.1 X7+ A5.2- A5.1++
da_prep sola_adj	A14 S5- Z8f
da_prep soli_adj	Z8
da_prep solo_adv	A14 S5- Z8m
da_prep sé_noun	Z8f Z8m
da_prep tasca_noun	B5 O2
da_prep taschino_noun	B5 O2
da_prep testa_noun	B1 S7.1+/S2mf P1/S2mf X1 M6 A4.1 S2mf H5/M4% S7.1+ K5.1 N5 A2.1+ A11.1+ Q1.2 T1.1.3
da_prep tiro_noun	O1.2 L2mf K5.2 G3
da_prep tutto_pron	M6 Z5
da_prep ubriaco_noun	F2++
da_prep ultimo_adj	N4 O2 T2++ T1.3
da_prep un_art giorno_noun all'_prep altro_adj	T1.1.2 A6.2+
da_prep un_art lato_noun	N3.3+ A1.8- S1.1.3-
da_prep un_art lato_noun all'_prep altro_adj	N3.3 M6 Z5
da_prep una_art parte_noun all'_prep altra_adj	N3.3 M6 Z5
da_prep vicino_adj	A13.4
da_prep vomito_noun	O4.2- B2- E2-
da_prep zio_noun	S1.2.1+ S4
dagli_prep occhi_noun cisposi_adj	B1 O4.1 O4.2-
dai_prep fianchi_noun larghi_adj	O4.2/S2mf A6.2- A6.2-/S2mf
dal_prep cuore_noun	E1
dal_prep di_prep fuori_adv	M6 S1.1.3- S5- Z5
dal_prep dorso_noun	S8+ M6
dal_prep ginocchio_noun valgo_adj	B1 O4.2-
dal_prep momento_noun che_pron	S8+ M6 Z5
dal_prep tempo_noun in_prep cui_pron	N4 Z5
dal_prep tono_noun	O4.1 O4.3 X3.2
dall'_prep altra_adj parte_noun	A13.1 M6 Z5
dall'_prep altra_adj parte_noun	M6 N4 Z5
dall'_prep altro_adj lato_noun	M6 Z5
dalla_prep mente_noun annebbiata_verb	O4.1 O4.2- X2
dalla_prep pelle_noun scura_adj	O4.3
dalla_prep schiena_noun	S8+ M6
dalla_prep testa_noun	Q1.2 B1
dalla_prep vita_noun breve_adj	T1.3-
dalle_prep parti_noun di_prep	Z5
dallo_prep schienale_noun	S8+ M6
dall’ultima_adj volta_noun che_pron	T1.3 Z5
dama_noun cinese_adj	K5.2 N5---
dama_noun di_prep compagnia_noun	S3.1/S2mf
dama_noun di_prep corte_noun	S2mf
damigella_noun d'_prep onore_noun	S4/S2.1f
danza_noun campestre_adj	K1/M7
dar_verb credito_noun	I1.1 X2.1
dar_verb lavoro_noun	I3.1 A1.5.1
dar_verb noia_noun	E2- E6- A1.1.1
dar_verb sprone_noun	X5.2+ A2.2
dare_verb a_prep malincuore_adv	S1.2.2-
dare_verb accesso_noun	Q2.2 B3 A1.8+ S7.4+/M1
dare_verb ai_prep nervi_noun	A1.1.1 E2-
dare_verb animo_noun	X5.2+ Q4.3
dare_verb aria_noun	B4 Q2.1
dare_verb asilo_noun	A10- G1.1
dare_verb assistenza_noun	A1.1.1 S8+
dare_verb assistenza_noun	S8+
dare_verb brio_noun	A1.1.1/E4.1+
dare_verb chiarimenti_noun	Q2.2/A7+ A2.2
dare_verb colpi_noun d’ascia_verb	A1.1.1
dare_verb come_prep contributo_noun	A9- A2.2 S1.1.3+
dare_verb corpo_noun	A3+ A10+
dare_verb credito_noun	X2.1 A9- E6+ X2.6
dare_verb da_prep bere_verb	F2 A1.1.1
dare_verb di_prep capo_noun	E3-
dare_verb di_prep malavoglia_noun	S1.2.2+
dare_verb di_prep piglio_noun	A1.1.1
dare_verb enfasi_noun	Q3  A11.1+
dare_verb fastidio_noun	A5.1-/A2.1 E6- A1.1.1 E2-
dare_verb forma_noun drammatica_adj	K4 N5.2+/Q2.1
dare_verb frutti_noun	M2 A1.5.2 A1.1.1 F4
dare_verb gas_noun	G3
dare_verb il_art nome_noun	Q2.2 S1.1.1 Q1.3 S9% S9
dare_verb il_art permesso_noun di_prep andarsene_verb	Q2.2 S1.2.4+ S7.4
dare_verb il_art proprio_adj appoggio_noun	E2++ S8+
dare_verb il_art proprio_adj contributo_noun	A9- A2.2 S1.1.3+ S8
dare_verb il_art proprio_adj voto_noun	G1.2/X7
dare_verb il_art ritmo_noun	X7+/T1 N3.1/T1
dare_verb importanza_noun	A11.1+ X5.1+
dare_verb in_prep anticipo_noun	A5.1+/A2.1+ I1.1 T4+ S8+ X2.1
dare_verb in_prep escandescenze_noun	Q2.2/E3-
dare_verb informazioni_noun	X2.2+ X2.4 Q2.1
dare_verb istruzioni_noun	Q2.2 P1
dare_verb l'_art allarme_noun	E5- E6- X2.2+/A15-
dare_verb l'_art annuncio_noun	I2.2/Q2.1 X2.2+ A10+
dare_verb la_art colpa_noun	Q2.2/G2.2- G2.1
dare_verb la_art forma_noun di_prep coppa_noun	O4.4
dare_verb la_art mancia_noun	M2 I1
dare_verb la_art possibilità_noun	S8+
dare_verb la_art procura_noun	S7.1+
dare_verb le_art basi_noun	A1.1.1 X3.2 M2 A1.1.1/O4.5 X8+ K1 Q2.2 P1 A1.7+ A2.2
dare_verb lezioni_noun	P1
dare_verb malvolentieri_adv	S1.2.2+
dare_verb mandato_verb	Q2.2 P1
dare_verb noia_noun	E6- A1.1.1 E2-
dare_verb ordini_noun	M6 Q2.2 S7.1+ K4 P1 X9.1+
dare_verb origini_noun	T2+
dare_verb per_prep lucro_noun	I2.2
dare_verb prova_noun	A10+
dare_verb punti_verb	A1.1.1 A1.7+ K5.1
dare_verb ragguagli_noun	X2.2+ X2.4 Q2.1
dare_verb rifugio_noun	A10- G1.1
dare_verb rilievo_noun	A11.1+
dare_verb risalto_noun	A11.1+
dare_verb risalto_noun	Q3 A11.1+
dare_verb sapore_noun	F1
dare_verb spicco_noun	A11.1+
dare_verb un_art appuntamento_noun	T3 S3.2
dare_verb un_art buffetto_noun	A1.1.1
dare_verb un_art colpetto_noun affettuoso_adj	A1.1.1
dare_verb un_art giudizio_noun	G2.1 X6
dare_verb un_art morso_noun	B1 A12-
dare_verb un_art nome_noun	S9 A2.1
dare_verb un_art pugno_noun	E3- A1.1.1
dare_verb un_art titolo_noun	Q2.2 A1.1.1/Q1.2
dare_verb un_art tono_noun	B4 O4.3 A2.1+ B1
dare_verb un_art voto_noun	A5.1 A4.1
dare_verb una_art cornata_noun	E3-
dare_verb una_art ginocchiata_noun	E3- B2-
dare_verb una_art leggera_adj gomitata_noun	K5.1 A1.1.1
dare_verb una_art parte_noun	S1.1.2+
dare_verb una_art spinta_noun	M2 M1 S7.1+ X8+
dare_verb una_art testata_noun	E3- B2-
dare_verb uno_art schiaffo_noun	G2.1/A1.7+ E3- A1.1.1
dare_verb uno_art strappo_noun	A9+/N3.8+
dare_verb unocchiata_verb	X2.4
dare_verb vita_noun	A1.1.1 O4.5
darsela_verb a_prep gambe_noun	M1
darsela_verb a_prep gambe_noun	M1/N3.8+ A1.9
darsi_verb alla_prep pazza_adj gioia_noun	F2++ F1++ E4.1+
darsi_verb da_prep fare_verb	A1.1.1 M1
darsi_verb da_prep fare_verb	A1.1.1 S7.1+ X5.1+
darsi_verb il_art caso_noun che_pron	A1.4
darsi_verb per_prep vinto_noun	S7.1- A2.1+ A1.1.1 A9- X9.2-
dato_verb che_pron	S8+ M6 Z5
datore_noun di_prep lavoro_noun	I3.1/S2mf
davanti_prep a_prep	M6 Z5
dazi_noun doganali_adj	A6.2+ G2.1/I2.2
dazio_noun di_prep consumo_noun	G1.1/I1c
decidere_verb mediante_prep votazione_noun	G1.2/X7
decidersi_verb a_prep fare_verb	M2 X6
declamare_verb con_prep enfasi_noun	Q2.1
decreto_noun di_prep nomina_noun a_prep ufficiale_noun	A1.1.1 I1.1/I2.2 G1.1 G3/S7.1+ I2.2
deformazione_noun permanente_adj	G2.2-/S2mf A2.1
degli_prep altipiani_noun scozzesi_adj	M7
degna_verb di_prep nota_noun	N5+ A11.1+ S1.2.5+ X5.2+
degne_adj di_prep nota_noun	N5+ A11.1+ S1.2.5+ X5.2+
degni_adj di_prep nota_noun	N5+ A11.1+ S1.2.5+ X5.2+
degno_adj di_prep fede_noun	A5.2+/A8
degno_adj di_prep nota_noun	N5+ A11.1+ S1.2.5+ X5.2+
dei_prep giorni_noun nostri_pron	A6.1+ T1.1.2
dei_prep militari_adj	G3
dei_prep pesi_noun massimi_adj	K5.1/S2mf A11.1+/S2mf X9.2+/S2mf
dei_prep quali_pron	Z8
del_prep Bangladesh_pnoun	Z2
del_prep capitale_noun	I1.1 G1.1 A5.1+ N3.2+ Q1.2 G2.1 M7/G1.1
del_prep cardine_noun	A11.1+ S9/S2.2m
del_prep cazzo_noun	A13.3 Z4 B1
del_prep cinema_noun	Q4.3
del_prep fondo_noun	N4 M6 B1 A5.1---
del_prep gabinetto_noun	H5 G1.1
del_prep governo_noun	G1.1
del_prep mattino_noun	T1.3
del_prep piano_noun inferiore_adj	H2
del_prep presente_adj scritto_noun	Z5
del_prep quale_pron	Z5
del_prep quale_pron	Z8
del_prep resto_noun	Z5
del_prep retroterra_noun	M6 W3
del_prep tutto_adj	A13.2 N5.1+ A1.8+ A4.2- A6.3+ N3.7+ N5+ Q3 B5- W3
del_prep tutto_adj	N5.2+ Z5
delinquente_noun recidivo_adj	G2.1/S2mf N6+
dell'_prep età_noun di_prep	T3 T3++
dell'_prep ultimo_adj momento_noun	T4-
della_prep critica_noun	Q2.2/E2- X2.4 A11.1+ A15-
della_prep marea_noun	W3/M4
della_prep marina_noun militare_adj	G3
della_prep mente_noun	X2 B2/X2 S1.2.6-
della_prep quale_pron	Z8
della_prep stessa_adj condizione_noun	A6.1+ S7.1+ T1.1.2
della_prep stessa_adj importanza_noun	A6.1+/A11.1+ S7.1+ T1.1.2
delle_prep Barbados_noun	Z2
delle_prep asteracee_noun	W1 L3
denaro_noun liquido_adj	A9+/I1 I1
dente_noun canino_adj	B1 B1/L2mf
dente_noun di_prep leone_noun	L3
dente_noun molare_verb	B1
dente_noun sporgente_adj	O2 O4.2 B1
dentro_prep casa_noun	H2 M6
deporre_verb le_art uova_noun	A1.1.1 X9.2- B1 A1.5.1/N5.1+ E5- A2.1+
depositare_verb in_prep banca_noun	I1.1 M2 M7
depositare_verb le_art uova_noun	A1.1.1 X9.2- B1 A1.5.1/N5.1+ E5- A2.1+
deposito_noun alluvionale_adj	 W3/M4
deposizione_noun scritta_adj	I1.3 G1.1 Q1.2
deputato_noun nuovo_adj	G1.1/S2mf
deputato_verb di_prep secondo_adj piano_noun	G1.1/S2mf
desiderare_verb ardentemente_adj	X7+ O4.6+ E1 S1.2.2+
desiderio_noun ardente_adj	S1.2.2+ X7+
destare_verb l’interesse_verb	X5.2+
detenere_verb il_art comando_noun	S7.1+ X9.1+
di_prep adorazione_noun	E2+ S9
di_prep adozione_noun	A9+ S4
di_prep affari_noun	I2.1 A1.1.1 A5.1+++
di_prep alabastro_noun	O1.1 O4.2
di_prep ardesia_noun	O1.1 O2 O4.2
di_prep assioma_noun	A5.2+ N2 X2.1
di_prep autore_noun	Q4.1
di_prep avorio_noun	O1.1 O4.3
