id	Token	POS	Semantic Tags
621	ایوارڈ	JJ	Q2.2
622	بادشاہ	VV0	A9- A5.1+/A9- I1.3+/A9-
623	شاہی	NN1	S7.1+/S2.2m
624	نتائج	NN1	S7.1+/S2mf
625	کارکنوں	NN2	A2.2 X9.2 N2 A5.1 K5 Q1.1/A2.2
626	اپریل	NN2	I3.1/S2mf
627	توقع	NPM1	T1.3
628	رقم	JB	X2.6+
629	کے باوجود	VV0	N5+/A2.1
630	علم	II	Z5
631	جون	NN1	X2.2+ S3.2/B1%
632	منتقل کر دیا گیا	NPM1	T1.3
633	خبریں	JB	M1 E1
634	روشنی	NN1	X2.2+/T3- X2.2+/Q4.2 X2.2+/Q4.3
635	مارچ	VV0	W2 O4.6+
636	نقطہ نظر	NPM1	T1.3
637	رب	VV0	M1 A1.1.1 Q2.2
638	کاٹ	VV0	S7.1+
639	بنیاد	VVN	A1.1.1 N5-/A2.1 T2- M1 Q4.3 K5.1 B1 F3
640	بال	NN1	A2.2 T2+ X4.2
641	ضرورت	NN1	B1
642	مزید	JB	X7+ S6+
643	ادائیگی	VV0	N5+/A2.1
644	سلسلہ	VVN	I1.2 A9- I1.1/I3.1
645	بہتر	NN	N4c Q4.3c
646	پہلے	VV0	A5.1++
647	میدان	RT	N4
648	اجازت	VV0	K5.1 A1.1.1
649	آسان	VVN	S7.4+ S8+ X2.1
650	رکھا	RR	A12+
651	قدرتی	VVN	A9+ N6+ T2++ A1.7+ A2.2 F4 S8+ H4
652	رہتے ہیں	NN1	X9.1+ K2
653	مستقبل	VV0	H4 L1+ A3
654	باقی	NN1	T1.1.3
655	منصوبہ	VV0	E3+ M6 A3+ A2.2
656	زیادہ سے زیادہ	VV0	A10+ X7+ X2.6+ M2 O4.4 X3.2 Q2.2 X2.1
657	پاؤں	JJR	A5.1++ A11.1++ N3.2++ N5++ X5.2++
658	ملو	NNU2	N3.3
659	سادہ	VV0	S3.1 M6 A1.1.1 X9.2+ A6.1+
660	مر گیا	JJ	A12+ A6.2+ O4.1 X9.1-
661	کے لئے	VVN	L1- T2-
662	ہوا	RP	M6
663	شامل	VVN	A2.1+ A3+ X7-
664	مینیجر	JJ	N5+/A2.1 A1.8+
665	کمپیوٹر	NN1	S7.1+/S2mf K1/S7.1+/S2mf K5/S7.1+/S2mf
666	سلامتی	NN1	Y2
667	قریب	NN1	G2.1 A15+ E6+ I1.1
668	ملاقات	VV0	M1/N3.3-
669	شام	VVN	S3.1 M6 A1.1.1 A6.1+
670	ذرائع	NNT1	T1.3
671	گول	NN2	N2
672	کئے	VV0	M1
673	سنتے	VVN	M2 A9+ Q4 S7.4+ B1% B2-%
674	دل	VV0	X3.2 X2.3+ G2.1@
675	آگے	NN1	B1 M6 A11.1+ E1 X5.2+
676	بھیجا	VV0	M2
677	اوپر	VVN	M2 A2.2
678	توجہ	RL	M6 A5.1++
679	کہانی	NN1	X5.1+ S8+
680	ساخت	NN1	Q2.1 X4.1 Q4
681	حرکت	VV0	A1.1.1
682	پر اتفاق کیا	VV0	M2 M1 A2.1+ E1 H4/A2.1
683	اور	JJ	A6.1+ Q2.2
684	خط	CC	Z5
685	انفرادی	VV0	Q1.2
686	طاقت	NN1	S2mf
687	مطالعہ	VV0	S7.1+ A1.1.1 E3-
688	تحریک	NN2	P1 X2.4 H2 Q1.2 C1
689	اکاؤنٹ	NN1	M1 S5+c K2 A2.1+
690	فی	VV0	Q2.2
691	کال	II	Z5
692	بورڈ	VV0	Q2.2 S1.1.1 Q1.3 S9%
693	کامیابی	VV0	A1.1.1 M4 H4
694	فرانسیسی	NN1	X9.2+
695	مندرجہ ذیل	NN1	Z2/S2mf Z2/Q3
696	غور	RA	N4
697	موجودہ	VVN	X2.1 X2.4 X6
698	سب	NN1	W3/M4 W3/M5 O3 E1
699	آگ	PN1	Z8/N5.1+c
700	معاہدے	VV0	I3.1- G3 M2 A2.2 Q2.2
701	براہ مہربانی	NN1	A6.1+ Q2.2
702	لڑکے	VV0	E4.2+ E2+ X7+
703	دارالحکومت	UH	Z4
704	کھڑا	NN1	I1.1 M7/G1.1 Q1.2
705	تجزیہ	VVN	M6 M2 M8 T2++ N3 A3+ X2.1 A7 G1.2 S8+ S7.4+ I2.2 S1.2.5+
706	جو کچھ بھی	NN1	X2.4 Y1
707	آبادی	NN1	X2.1
708	جدید	NN1	S2/N5c
709	نظریہ	NN1	T3---
710	کتابیں	NN1	X4.1
711	بند	NN2	Q4.1 Q1.2 I1/Q1.2 K5.1/I1
712	قانونی	VV0	T2- S8- M8 H4 A1.1.1@
713	اسکاٹ لینڈ	JJ	G2.1 G2.1+
714	مواد	NP1	Z2
715	بیٹا	NN1	O1 B5 O2 X2.2 S1.2
716	موصول	NN1	S4m
717	ماڈل	VVN	A9+ S5+
718	موقع	VV0	A5.4- A10+ C1
719	ماحول	VV0	A1.4
720	آخر کار	NN1	W5 W3 E1 Y2 O4.1
721	کارکردگی	RR	N4
722	سمندر	NN1	K4 X9.2 A1.1.1 A12-
723	ترقی	NNL1	W3/M4
724	حکام	NN1	N3.2+/A2.1 A5.1+/A2.1 L3 B2-
725	فراہم	NN2	G1.1 S7.1+ S7.4+ X2.2+
726	اچھا	JB	A9-
727	جن	JJ	O4.2+ S1.2.1+
728	تیار	PNQO	Z8
729	تعلقات	JB	A1.1.1
730	بات	NN1	S3.1 S3.2 A2.2 S4
731	باری	VV0	Q2.1
732	تعمیر	VV0	M2 M1 O4.4 A1.1.1 A2.1+ O4.2-
733	آخری	VVN	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1
734	مشرق	NN1	K5.1
735	بات	ND1	M6
736	ٹھیک	NN1	Q2.1
737	کام	VV0	G2.1
738	مغرب	JJ	I3.1 A1.1.1 X9.2+ A2.2
739	جماعتوں	ND1	M6
740	سائز	NN2	S1.1.3+ G1.2 S1.1.3+/S2mf S5+
741	ریکارڈ	VV0	N3.2 N3.1
742	سرخ	VV0	Q1.2 K3
743	بند کریں	NN1	O4.3 G1.2/S2mf
744	جائیداد	VV0	A1.1.1 A10- T2-
745	خود	NN1	A9+ H1/H3 O4.1
746	مثال	PPX1	Z8mf
747	خلائی	NN1	A4.1
748	دے	VV0	N6
749	عام	NN1	A9- A1.1.1
750	اور نہ ہی	NN1	A6.2+
751	خریدنے	CC	Z6
752	سنگین	VV0	I2.2
753	فوری طور پر	JJ	A11.1+ A15- E4.1-
754	پیٹر	RR	N3.8+
755	ساتھ	NP1	Z1m
756	منصوبہ	RP	M6
757	رویے	VV0	X7+
758	فرانس	NN1	S1.1.1 A1.1.1
759	حال ہی میں	NP1	Z2 Z1mf
760	اصطلاح	RR	T3---
761	گزشتہ	VV0	Q2.2
762	جوڑے	JJ	N4
763	شامل	VV0	N5+
764	ویسے	JB	A1.8+
765	کپ	RR	Z4 A13.7
766	علاج	VV0	O4.4
767	توانائی	NN1	B3 S1.1.1 A1.1.1 X4.2
768	کل	NN1	X5.2+ Y1
769	شکریہ	VV0	N5
770	ڈائریکٹر	VV0	S1.2.4+
771	اعظم	NN1	S7.1+/S2mf K4/S2mf
772	اہم	VV0	Q2.2 A1.1.1 G3
773	بیٹھا	JJ	A11.1+ N5+
774	آمدنی	VVN	M8 C1 P1 G1.1 G2.1 M6 A9+
775	سب سے اوپر	NN1	I1.1
776	پسند	VV0	A11.1++ N5++ A5.1++ A1.1.1 L1-
777	اخراجات	NN1	X7+ A6.3+
778	ڈیزائن	VVZ	I1.3 I1.2
779	دباؤ	VV0	C1 X7+
780	سکیم	VV0	S7.1+ E6-
781	جولائی	VV0	X7+
782	تبدیلی	NPM1	T1.3
783	فہرست	VV0	A2.1+ I1 B5
784	اچانک	VV0	Q1.2 N4 M4
785	جاری	RR	N3.8+
786	ٹیکنالوجی	VV0	T2++
787	ہال	NN1	Y1
788	لوگ	NN1	H2 H1 S9/H1c
789	خوش	NN2	Z8
790	غور	JJ	E4.1+ E4.2+
791	کامیاب	VV0	X2.1 X2.4 X6
792	دفاع	VVN	S7.1+ A9+
793	مندرجہ ذیل	NN1	S8+ G3 G2.1c Q2.2 K5.1 S7.3+
794	حصوں	RA	N4
795	نقصان	VVZ	A10+ B4 S3.1-
796	صنعتی	NN1	I1.2 A9- S8- L1-
797	سرگرمیوں	JJ	I4
798	بھر میں	NN2	A1.1.1
799	خرچ	RL	N5.1+ M6
800	باہر	VVN	I1.2 A1.5.1 T1.3
801	عام طور پر	RL	M6 S5-
802	کھول دیا	RR	A6.2+ A4.2- A13.2
803	فرش	VVN	A1.1.1 T2+
804	گول	VV0	X9.2- E3-
805	سرگرمی	VV0	M1
806	امید ہے کہ	NN1	A1.1.1
807	ایسوسی ایشن	VV0	X2.6+ E4.1+ X9.2+ A5.1+
808	تقریبا	NN1	S5+c A6.1+/X2.1
809	متحدہ	RR	A13.4
810	کی اجازت دیتے ہیں	VVD	S5+
811	شرح	VVI	S7.4+ S8+ X2.1
812	سورج	NN2	N3.8 N5 I1.3
813	فوج	VV0	K1/W4
814	معذرت	NN1	G3c N5+
815	دیوار	UH	Z4
816	ہوٹل	VV0	H2
817	افواج	NNL1	H4/H1
818	معاہدہ	NN2	G3 G2.1 E3- S7.1+ N3 S5+
819	مردہ	VV0	Q2.2 N3.2-/A2.1 A9+ I2.1
820	پال	RR	A13.3 A4.2+
821	قیام	NP1	Z1m
822	اطلاعات کے مطابق	VV0	M8 T2++ H4
823	گھنٹے	JB	Q2.2
824	فرق	NNT1	T1.3
825	مطلب	NN1	A6.1-
826	موسم گرما میں	VVN	Q1.1 X7+ S6+
827	کاؤنٹی	NNT1	T1.3
828	مخصوص	NNL1	M7
829	تعداد	NN1	A4.2+
830	وسیع	NN2	N5 N1 Q1.3 K2 Q4.2
831	مناسب	RR	N3.7+
832	شوہر	VV0	A9+
833	سب سے	VV0	A1.5.1/A1.3+
834	ادا کیا	VV0	A11.1++ N5++ A5.1++ A1.1.1 L1-
835	تعلقات	VVD	K1 K5.1 K5.2 K2 K3 A1.1.1 K6
836	ڈاکٹر	NN2	A2.2 S1.1.1 S4 S3.2
837	چیئرمین	NNB	B3/S2mf P1/S2mf
838	سیٹ	NN1	S7.1+/S2mf
839	کم	VVN	M2 M6 O4.5 O4.1 W4 A1.1.1 B3 B4 X6+ S6+ K2 Q4.3
840	مصنوعات	VV0	M2 N5-/A2.1 S7.1-/A2.1 A11.1-/A2.1 X3.2-/A2.1
841	رنگ	NN1	O2 A1.1.1 A2.2 N2%
842	خیالات	VV0	O4.3 A2.1+
843	جارج	NN2	X4.1
844	سینٹ	NP1	Z1m
845	دیکھو	NNL1	M3/H3
846	ہتھیار	VV0	A8 X3.4 X2.4 X7+ Z4
847	ظاہر	VVZ	G3
848	جب تک	RR	Z4 A11.2+
849	پیداوار	CS	Z5
850	تبدیل کر دیا گیا	VVI	A2.2 A1.1.1 A10+ K4 K3 Q4.3 F4
851	موسم	VVN	A2.1+ I1 B5
852	ترقی یافتہ	VV0	F1
853	یونٹ	VVN	A2.1+ T2+ A5.1+/A2.1 N3.2+/A2.1 H1 A9+ C1
854	ظاہر	NN1	S5+c O2 H5 H1 N3.1 P1 N1
855	سرمایہ کاری	VV0	A8 A10+ A3+ G2.1 K4 Q4
856	ٹیسٹ	NN1	I1.1
857	بنیادی	VV0	P1 B3 X2.4 A12-
858	لکھنا	JJ	A6.2+ A11.1+ A12+
859	گاؤں	VV0	Q1.2 I2.1
860	وجوہات	NNL1	M7
861	فوجی	NN2	A2.2 X2.1
862	اصل	JJ	G3
863	کامیاب	NN1	A5.4+
864	باغ	JJ	X9.2+
865	آگاہ	VV0	F4
866	اپنے آپ	JJ	X2.2+
867	بالکل	PPX1	Z8
868	مدد	RR	A4.2+ A5.3+
869	فرض	VV0	S8+
870	دکھایا	VV0	X2.1 X7+
871	طرز	VVD	A10+ S1.1.1
872	روزگار	VV0	A1.1.1 Q2.2
873	منظور	NN1	I3.1
874	ظاہر	VVD	M1 A9- M2 K5.1 T1.3 T2- X9.2+ N5.2+ S7.4+ A5.4+/A8
875	صفحہ	VVD	A8 A10+ A3+ G2.1 K4 Q4
876	منعقد	VV0	Q2.2
877	تجویز پیش کی	VV0	M2 A1.1.1 A9+ X2.1 S7.1+/A1.7+
878	جرمنی	JB	Q2.2 Q1.1
879	جاری	NP1	Z2
880	اکتوبر	JB	T2++
881	کی پیشکش	NPM1	T1.3
882	مصنوعات	VVN	A9- Q2.2
883	مقبول	NN2	O2 A1.1.1 A2.2 N2%
884	سائنس	JJ	E2+ S5+
885	کھڑکی	NN1	Y1
886	توقع	NN1	H2 T1.3
887	سے آگے	VV0	X2.6+ B1
888	وسائل	RL	M6 N4
889	قوانین	NN2	A9+ W3
890	پیشہ ورانہ	NN2	G2.1 X4.2 A6.2+ Q3
891	کا اعلان	NN1	I3.2+/S2mf X9.1+/S2mf
892	معیشت	JJ	Q2.2
893	تصویر	NN1	I2.1 I1.3-
894	ٹھیک ہے	VV0	X2.1 C1
895	ضروریات	VV0	A5.1+
896	ڈاکٹر	VVZ	S6+
897	شاید	VV0	B3 A2.1+/G2.1-
898	واقعات	RR	A7
899	براہ راست	NN1	A3+/A11.1+ A6.2- S1.1.1/X7+ K5
900	مشورہ	VV0	M6 Q2.2 S7.1+ K4
901	چلانے	NN1	Q2.2/S8+
902	فروخت	NN1	M1/N3.8+ K5.1 G1.2 G2.1- X3.3 S7.1+ A1.1.1 T2++ M3.3 A6.3+ K4
903	خطرہ	NN2	I2.2 I2.2/I1.3-
904	ستمبر	VV0	A15- A1.4
905	سیاہ	NPM1	T1.3
906	واقعہ	NN1	W2-
907	ہزار	NN1	A3+/A11.1+ A6.2- S1.1.1/X7+ K5
908	ملوث	NNO	N1 I1
909	لکھا	JJ	A1.8+ A12- X5.2+
910	پارک	VVN	Q1.2 I2.1
911	واپس	VV0	M2
912	یقینی	VVD	M1 A9- N6
913	امریکہ	VV0	A7+
914	مچھلی	NP2	Z2
915	خواہش	VV0	K5.1/L2 F4/M4 X2.4
916	موقع	VV0	X7+
917	کمیشن	NN1	A1.4
918	تیل	VV0	I2.2 G3/S7.1+
919	آواز	VV0	A1.1.1
920	تیار	VV0	X3.2 Q2.2 A8 N3.1%
921	دکان	VV0	A1.1.1
922	جیمز	VV0	I2.2 G2.1@
923	فوری طور پر	NP1	Z1m
924	قابل	RR	N3.8+ T1.1.2/A11.1+ N4
925	کالج	NN1	I1.3 N5 A1.5.2+ S1.1.4+
926	پریس	NNL1	P1/H1c
927	جنوری	VV0	A1.1.1 X8+ S7.1+ E6-
928	گر	NPM1	T1.3
929	خون	VVD	M1 N5-/A2.1 S7.1- L1- A1.8+ G2.2- X9.2- K5.2
930	سامان	NN1	B1
931	کھیل	NN2	O2
932	لے	VVG	K1 K5.1 K5.2 K2 K3 A1.1.1 K6
933	کم	VV0	M2 A9+ Q4 S7.4+ B1% B2-%
934	فلم	RRR	A13.6
935	قیمتوں	VV0	Q4.3
936	مفید	NN2	I1.3
937	کانفرنس	JJ	A1.5.2+
938	آپریشن	NN1	S1.1.3+
939	مندرجہ ذیل	NN1	A1.1.1 B3 G3
940	حد	VVZ	M1 N4 S7.1- X2.4 X2.5+ A6.1+ A1.1.1 A2.2 K5.1
941	ڈیزائن کیا	NN1	N5 N3.6
942	درخواست	JJ	C1 X7+
943	اسٹیشن	NN1	Q1.2 A1.5.1 Y2 X5.1+ A1.1.1
944	ٹیلی ویژن	VV0	G3/H4
945	رسائی	NN1	Q4.3
946	رچرڈ	VV0	M1 A9+ A1.1.1
947	جواب	NP1	Z1m
948	ڈگری	NN1	Q2.1 S1.1.2+
949	اکثریت	NN1	A13.1 N3.1 N3.2 N5 P1
950	مؤثر	NN	N5+++c
951	قائم	JJ	X9.2+
952	لکھا	JJ	T3+
953	علاقے	VVD	Q1.2 I2.1
954	سبز	NN1	M7 B1
955	یارک	VV0	W5
956	آہ	NP1	Z2 Z1mf
957	مغربی	UH	Z4
958	روایتی	NN1	Q4.3 Q4.1
959	آسانی سے	JJ	S1.1.1 A6.2+ T3++
960	سردی	RR	A12+
961	دکھاتا	NN1	B2- O4.6-
962	پیشکش	VVZ	A10+ S1.1.1
963	اگرچہ	VV0	A9- Q2.2
964	بیان	RR	Z5
965	شائع	VV0	Q2.1
966	اشکال	JB	Q4
967	جرمن	VVZ	T2+ A2.1+ A1.8+ A3+ A1.1.1
968	نیچے	NN1	Z2/S2mf Z2/Q3
969	قبول	VV0	F1/B1 A1.1.1
970	میل	VV0	A9+ X2.5+ S1.2.1+ S7.4+
971	آزاد	NNU2	N3.3 N3.3+ N3.7 N5+ A13.2
972	انتخابات	NN1	S5-
973	حمایت	NN1	G1.2/X7+
974	اہمیت	VV0	S8+ A1.1.1 K5.1 I1.1 A10+
975	خاتون	NN1	A11.1+
976	سائٹ	NN1	S2.1f S7.1+/S2.1f
977	ملازمتیں	VV0	M6
978	ضروریات	NN2	I3.1 A1.1.1
979	کی منصوبہ بندی	VVZ	S6+
980	زمین	VVZ	X7+
981	پہلے	VV0	O3
982	عنوان	RRR	N4 T1.1.1 T4++
983	پارلیمنٹ	VV0	Q2.2
984	معیارات	NN11	G1.1
985	چھوڑ	NN2	A5.1 G2.2 Q1.1 O2@
986	دلچسپ	VVG	M1 M2 A1.1.1 A1.9 A9- T2-
987	منصوبہ بندی	JJ	X5.2+
988	کافی	NN1	X7+
989	لڑکیوں	JJ	N5+
990	ملوث	NN2	S2.1f L2f@
991	آئر لینڈ	JJ	A1.8+ A12- X5.2+
992	اضافہ	NP1	Z2 Z1mf
993	نوع	VV0	N5+/A2.1
994	روک	NN	A4.1c L2c
995	تشویش	JJ	T2- S8- M8 H4 A1.1.1@
996	عوامی	VV0	E6- A1.8+ S1.1.3+
997	ذرائع	RR	A10+
998	اٹھایا	NN2	N2
999	کے ذریعے	VVD	M2 N5+/A2.1 A5.1+/A2.1 X3.2++ A9+ A1.1.1 A2.2 S1.1.1 F4
1000	شیشہ	RP	M6
1001	جسمانی	NN1	O1.1 O2
1002	سوچا	NN1	B3
1003	مائیکل	VVN	X2.1
1004	آنکھ	NP1	Z1m
1005	چھوڑ	VV0	X3.4
1006	بھاری	VVN	M1 M2 A1.1.1 A1.9 A9- N5.2+ T2-
1007	چلتا رہا	RR	N3.5+ N5+
1008	بیٹی	VVD	M1 L2 X9.2+/A12+
1009	موجودہ	NN1	S4f
1010	مقابلہ	JB	A3+
1011	بات	NN1	K1 S7.3+
1012	ذمہ دار	VV0	Q2.1
1013	دریا	JJ	A2.2 S6+ S7.1 S1.2.6+ X6+
1014	پیروی	NNL1	W3/M4 N5+
1015	سافٹ ویئر	VVI	M1 N4 S7.1- X2.4 X2.5+ A6.1+ A1.1.1 A2.2 K5.1 X3.4
1016	مکمل	NN1	Y2
1017	اوپر	VV0	T2- Q1.2
1018	نومبر	RL	M6 A5.1++
1019	دسمبر	NPM1	T1.3
1020	مقصد	NPM1	T1.3
1021	منہ	VV0	X7+
1022	طبی	VV0	Q2.1
1023	ذمہ داری	NN1	B3
1024	اتوار	NN1	S6+ S7.1+ X6+
1025	ویلز	NPD1	T1.3
1026	رہنما	NP1	Z2 Z1mf
1027	کل	NN1	S7.1+/S2mf A5.1+++/S2mf Q4.2 G2.1/S2mf
1028	ٹکڑا	RT	T1.1.3
1029	تیس	NN1	N5.1- O2 Q4 K2 K4 G3@
1030	رکھ	MC	N1 T3
1031	افسر	VVD	M2 M1 L2 T2+ A1.1.1
1032	کام	NN1	G3/S7.1+/S2mf G1.1/S2mf S7.1+/S2mf G2.1/S2mf
1033	نیلے	NN1	A1.1.1
1034	جواب	VV0	I1.2
1035	کھڑے	VV0	Q2.2 S1.1.1
1036	سوچ	VV0	M6 M2 M8 M1 T2++ N3 A3+ X2.1 A7 G1.2 S8+ S7.4+ I2.2 S1.2.5+
1037	اضافی	NN1	X2.1
1038	انتہائی	RR	N5++
1039	مقامات	RR	A13.3
1040	بازو	VVZ	M2 X2.2+ I3.1 Q2.2
1041	آخر کار	VV0	G3
1042	مہم	RR	N4
1043	صلاحیت	VV0	X7+/Q2.2 I2.2/Q2.2 G1.2/Q2.2 G3
1044	اپیل	NN1	X9.1+
1045	پوری	VVI	O4.2+ Q2.2 G2.1 E2+
1046	چارلس	NN1	N5.1+
1047	مہارت	NP1	Z1m
1048	حزب اختلاف	NN2	X9.1+
1049	رہ	NN1	S8-/E2- S7.3+ A6.1-
1050	نمونہ	JB	T2++ M8 N5.2+
1051	طریقہ	VV0	O4.3
1052	گرم	NN1	X4.2
1053	قیادت	JJ	O4.6+ X9.1+ O4.2+ X5.2+ G2.1- A12- S7.3+ E6- A7+++
1054	ذریعہ	VV0	S7.1+ A2.2 M2 A1.1.1
1055	خریدا	VV0	A9+
1056	بچے	VVN	I2.2
1057	کمی	VV0	T3--
1058	ایک بار	VV0	A9-
1059	بل	RR	N6- T1.1.1
1060	ڈویژن	VV0	I1.3
1061	رہ	NN1	A6.1- N2 G2.1/S5+c G3/S5+c G1.2 K5.2/S5+c
1062	سطح	VV0	T2++ M8 N5.2+
1063	بڑی عمر کے	VV0	A10+
1064	الزام	JJR	T3++
1065	مصیبت	VV0	I1.3 O3 G2.1 M1 G3%
1066	مکمل طور پر	VV0	E6-
1067	سامان	RR	A13.2 N5.1+
1068	منتقل	NN1	O2
1069	مشورہ	VVG	M2 M1 A2.1+ E1 H4/A2.1
1070	بیماری	VV0	Q2.2 Q1.1
1071	افسران	NN1	B2-
1072	ماضی	NN2	G3/S7.1+/S2mf G1.1/S2mf S7.1+/S2mf G2.1/S2mf
1073	امن	RL	M6
1074	مرد	NN1	E3+
1075	تھوڑا سا	NN1	S2.2m
1076	مطالبہ	RR	A13.6
1077	ناکام	VV0	Q2.2 S6+ X7+
1078	کوشش	JB	X9.2- A5.1-/A2.1
1079	کرسمس	VV0	X8+
1080	مارا	NN1	S9/T1.3
1081	پوسٹ	VVN	E3- A1.1.1 A2.1+ A11.2+ A10+ M1 G3
1082	پالیسیاں	VV0	Q1.2 M2 I3.1
1083	بمشکل	NN2	X7+ Q1.2
1084	پہنچے	RR	A13.7
1085	مقابلے	VVD	M1 T2-
1086	نیچے	JB	A6 A5.1 Q3
1087	دوسری صورت میں	RL	M6
1088	کھڑکیوں	RR	A6.1-
1089	مغرب	NN2	H2 T1.3 Y2
1090	معاہدے	NP1	Z2 Z1mf
1091	براہ راست	VV0	A1.1.1 I2.2 I2.1 A9- K5.2 F3/I2.2
1092	دلچسپی	RR	M6 N3.8+ S1.1.1
1093	فروخت	JJ	X5.2+ S1.1.3+
1094	کی طرح	NN1	I2.2 I2.2/I1.3-
1095	مضبوط	VV0	E2+
1096	حیثیت	VV0	O4.5
1097	ہوا	NN1	S7.1 A4.1 A11.1
1098	خانہ	VV0	A2.1+ A3+ X7-
1099	استاد	VV0	K5.1 A1.1.1 E3-
1100	ریڈیو	NN1	P1/I3.2/S2mf
1101	فراہمی	VV0	Q1.3
1102	قسم	VV0	A9-
1103	دکھائیں	NN1	A6.3+ A4.1 K4
1104	بھاگ	VV0	A10+ S1.1.1
1105	شعبہ	VVD	M1/N3.8+ G1.2 G2.1- X3.3 S7.1+ A1.1.1 T2++ M3 S4 A6.3+ K4
1106	واپسی	NN1	A4.1 S5+ M7 N2@
1107	ضروری	VV0	M1 A9- N6
1108	سمت	NN1	S6+ A4.2+
1109	خوبصورت	NN1	M6 Q2.2 Q2.2 S7.1+ X4.2 K4
1110	سول	JJ	O4.2+
1111	بنیاد	JJ	G1.1 S1.2.4+ G2.1 H1%
1112	انتظار	VV0	T2+ M6 A2.2
1113	پکڑے	NN1	T1.3 A3+ A11.1+ S1.1.1%
1114	بیٹھ	VVN	A9+ A1.7+ G2.1 A10+ T2- A1.1.1 X3 T4 M3
1115	ترقی	VV0	M8 C1 P1 G1.1 G2.1 M6 A9+
1116	کردار	VV0	A2.1+ T2+ A5.1+/A2.1 N3.2+/A2.1 H1 A9+ C1
1117	حفاظت	NN1	S2mf K4/S2mf S1.2 S2mf/A6.2- Q1.2 A4.1 O4.2+
1118	رکھ دیا	NN1	A15+
1119	ماضی	JJ	M2
1120	مکمل طور پر	RL	M6
1121	چائے	RR	A13.2
1122	متعارف کرایا	NN1	F2 F1
1123	ہلاک	JJ	S1.1.1 T2+
1124	محبت	JJ	L1-
1125	ماں	VV0	E2+
1126	سیاق و سباق	NN1	S4f
1127	بنیادی	NN1	O4.1/A3+ A2.2 Q3
1128	جانوروں	NN1	G1.2 P1 B2-
1129	ثقافت	NN2	L2mfn S5+c O2c
1130	آکسفورڈ	VV0	L1
1131	بھائی	NP1	Z2 Z1mf Z3/P1
1132	واضح	NN1	S4m S2.2m S9/S2.2m
1133	وزن	JJ	A11.2+
1134	بحث	VV0	N3.5+ A11.1
1135	پیدا	NN1	Q2.2
1136	مستقبل	VVN	A1.1.1 A2.2 E1
1137	دیگر	NN1	T1.1.3
1138	شروع	NN1	A6.1-/Z8
1139	 ریاست	VV0	T2+ E5- E3-
1140	کوئی نہیں	NP2	Z2
1141	فروخت	PN	Z6/Z8c
1142	مشین	VVN	I2.2
1143	دوپہر	VV0	A1.1.1
1144	جانتا ہے	NNT1	T1.3
1145	ماحولیاتی	VVZ	X2.2+ S3.2/B1%
1146	منصفانہ	JJ	W5 W3
1147	ولیم	VV0	A1.1.1
1148	فروری	NP1	Z1m
1149	انتظار	NPM1	T1.3
1150	لیگ	VV0	T1.3 A3+ A11.1+ S1.1.1%
1151	مثبت	NN1	S5+c K5.1/S5+c S7.3+ N3.3%
1152	تنظیم	NN1	A7+
1153	جیت	NN1	S5+c S7.1+
1154	حالت	VV0	X9.2+/S7.3 X9.2+/G3 A9+
1155	خاندانوں	VV0	B4 P1
1156	دلیل	NN2	S4 A4.1
1157	جنس	NN1	Q2.2/E3- A2.2
1158	ہفتہ	VV0	L2
1159	سیکھنے	NPD1	T1.3
1160	اوپر	VV0	X2.3+ P1
1161	عام طور پر	VV0	N5+/A2.1
1162	دعوی	RR	A6.2+
1163	حقیقت	JJ%	Q2.2 A9+
1164	سینئر	NN1	A5.2+
1165	باورچی خانے	NN1	S7.1++/S2mf T3++/S2mf
1166	کام	NN1	F1/H2
1167	شامل	VVZ	I3.1 A1.1.1 X9.2+ A2.2
1168	رہتے تھے	VV0	N5+/A2.1 N2 A1.8+
1169	لائبریری	VVD	H4 L1+ A3
1170	منٹ	NN1	Q4.1/H1c
1171	خیال	VV0	Q1.2
1172	کافی	VVN	X2.1 S9%
1173	نقل و حمل	RR	N5+ N6+
1174	حصہ	VV0	M2
1175	اصول	VV0	S1.1.2+
1176	تخلیق	NN1	X4.1 G2.2+
1177	اتفاق	VV0	A1.1.1 A2.2 E1
1178	پیدا ہوا	VV0	A6.1+ Q2.2
1179	نقد	VVN	B1
1180	ایکسچینج	VV0	I1
1181	قاعدہ	VV0	A9/S1.1.2+ A2.1+
1182	بجٹ	VV0	S7.1+ Q1.2 X6+
1183	باری	VV0	I1
1184	جوہری	VV0	M2 M1 O4.4 A1.1.1 A2.1+ O4.2-
1185	بیٹھے	JJ	Y1 B1 S5+%
1186	ورژن	VVG	M8 C1 P1 G1.1 G2.1 M6 A9+
1187	انگریزی	NN1	A4.1 Q2.1
1188	بہترین	NP1	Z1mf
1189	فرض	RRT	A5.1+++ A13.2 G2.2+++ O4.2+++
1190	سالانہ	NN1	S6+ G1.1/I1.3 T1.3/I3.1
1191	توازن	NN1	Q4.1 L3
1192	سامنے	VV0	O4.1/B1 A6.1+ A11.1 I1.1
1193	بھیج	VV0	M6 S7.1+ Q4.3
1194	لڑکوں	VV0	M2 A2.2
1195	موجودگی	NN2	S2.2m
1196	تحفظ	NN1	M6 A3+ S1.1.3+ S1.2 S9
1197	کتے	NN1	S8+/A15+ A10-
1198	مضامین	VV0	E6-
