Language,Word,Expert1_Tags,Expert2_Tags,Expert3_Tags,Expert4_Tags,gold standard tags
ur,قیمت ,"I1.3, I1","I1.3, I1, A11.1","A11.1, I1.3, I1","A11.1, I1, I1.3","[A11.1, I1.3, I1]"
ur,لالچ ,S1.2.2,S1.2.2,S1.2.2,S1.2.2,[S1.2.2]
ur,لباس,B5,B5,B5,B5,[B5]
ur,لمبا,"N3.7, O4.1","N3.7, O4.1","N3.7, O4.1","N3.7, O4.1","[N3.7, O4.1]"
ur,لہر,"W3, M4, Y1","W3, M4, Y1","W3, Y1, M4","W3, M4, Y1","[W3, M4, Y1]"
ur,ماجرا,"G2.1, G1.1, Q3","G2.1, G1.1, G2, X4.1, Q3","G2, Q3, G1.1, X4.1, G2.1","G2, G1.1, G2.1, X4.1","[G2, G1.1, G2.1, X4.1, Q3]"
ur,مادی-بنانا,A3,A3,A3,A3,[A3]
ur,مارنا,"E3, A1.1.2, G2.1","E3, G2.1, A1.1.2","E3, A1.1.2, G2.1","E3, G2.1, A1.1.2","[E3, A1.1.2, G2.1]"
ur,متلی,B2,B2,B2,B2,[B2]
ur,مثبت,A5.1,A5.1,A5.1,A5.1,[A5.1]
ur,محفوظ,A15,A15,A15,A15,[A15]
ur,محفوظ-رکھنا,"G2.1, A1.1.1, A15, W5","G2.1, W5, A15, A1.1.1","G2.1, A15, A1.1.1, W5","G2.1, A1.1.1, A15, W5","[G2.1, W5, A1.1.1, A15]"
ur,مختلف,A6.3,A6.3,A6.3,A6.3,[A6.3]
ur,مخلصانہ,"X2.1, G2.2, S1.2, S9","X2.1, S9, S1.2, G2.2","X2.1, S1.2, S9, G2.2","X2.1, S1.2, S9, G2.2","[X2.1, S9, S1.2, G2.2]"
ur,مدرسہ,"P1, X2.2, X2.3, H1, M7","P1, X2.2, X2.3, H1, M7","P1, X2.3, M7, X2.2, H1","P1, X2.3, H1, M7, X2.2","[P1, X2.2, X2.3, H1, M7]"
ur,مرحوم,"L1, S2","L1, B2, S2","L1, S2, B2","L1, B2, S2","[L1, B2, S2]"
ur,مزاحیہ,"E4.1, K1, A6.2","E4.1, E4.2, A6.2, K1","E4.1, E4.2, A6.2, K1","E4.1, E4.2, A6.2, K1","[E4.1, A6.2, K1, E4.2]"
ur,مزدور,"I3, S2","I3, I3.1, S2","I3, S2, I3.1","I3, I3.1, S2","[I3, I3.1, S2]"
ur,مستقل,"T1, A2, S6, M8, E1","T1, A2, S6, E1, M8","T1, M8, A2, E1","T1, M8, A2, E1, S6","[T1, A2, S6, M8, E1]"
ur,مسخ-کرنا,"A1.1.2, A2.1","A1.1.2, A2.1","A1.1.2, A2.1","A1.1.2, A2.1","[A1.1.2, A2.1]"
ur,مسکرانا,E4.1,E4.1,E4.1,E4.1,[E4.1]
ur,مشغلہ,"K1, K5","K1, K5, K5.1, K5.2","K1, K5.1, K5.2, K5","K1, K5.2, K5, K5.1","[K1, K5, K5.1, K5.2]"
ur,مشکل,A12,A12,A12,A12,[A12]
ur,مصروف,"A1.1.1, A1.6","A1.1.1, A1.6","A1.1.1, A1.6","A1.1.1, A1.6","[A1.1.1, A1.6]"
ur,معذرت,"E1, E4","E1, E4","E1, E4","E1, E4","[E1, E4]"
ur,معیار,N3.1,"N3.1, N3","N3.1, N3","N3.1, N3","[N3.1, N3]"
ur,مغرور,S1.2.3,S1.2.3,S1.2.3,S1.2.3,"[S2, E5, G2, G3, S1.2]"
ur,مقام,"T1.1, T1.3, H2","T1.3, T1.1, H2","T1.3, T1.1, H2","T1.3, T1.1, H2","[T1.3, T1.1, H2]"
ur,مقرر,"X6, X7","X6, X7","X6, X7","X6, X7","[X6, X7]"
ur,ملک,"W3, M7","W3, M7","W3, M7","W3, M7","[W3, M7]"
ur,ممتاز,"A5.1, N5.1, X9.1, X9","A5.1, N5.1, X9, X9.1","A5.1, X9, X9.1, N5.1","A5.1, X9.1, X9, N5.1","[A5.1, N5.1, X9, X9.1]"
ur,ممتحن,"X2.4, S2","X2.4, S2","X2.4, S2","X2.4, S2","[X2.4, S2]"
ur,ممنوعہ,"A15, G2.1","A15, G2.1","A15, G2.1","A15, G2.1","[A15, G2.1]"
ur,منظم-کرنا,"G1.1, X7, S7.1, A1.1.1","G1.1, A1.1.1, S7.1, X7","G1.1, S7.1, X7, A1.1.1","G1.1, S7.1, X7, A1.1.1","[G1.1, A1.1.1, S7.1, X7]"
ur,منظوری,"S7.4, E1, A1.2, A1.1.1","S7.4, A1.2, E1, A1.1.1","S7.4, E1, A1.1.1, A1.2","S7.4, A1.2, A1.1.1, E1","[S7.4, A1.2, E1, A1.1.1]"
ur,موزوں,"A1.2, A6.1","A1.2, A6.1","A1.2, A6.1","A1.2, A6.1, A1.1.1","[A1.2, A6.1]"
ur,مٹانا,"T2, Z6, Z84, A1.2, E3, G3","T2, A1.2, Z6, G1.2, E3, G3","T2, E3, Z6, G3, A1.2","T2, A1.2, G1.2, E3, Z6, G3","[T2, A1.2, Z6, G1.2, E3, G3]"
ur,مکروہ,"A5.1, O4.2","O4.2, A5.1","O4.2, A5.1","O4.2, A5.1","[O4.2, A5.1]"
ur,میز,"H5, O4.4","H5, O4.4","H5, O4.4","H5, O4.4","[H5, O4.4]"
ur,میزائل,"G3, Y1","G3, Y1","G3, Y1","G3, Y1","[G3, Y1]"
ur,میٹھا,X3,"X3, F1","X3, F1","X3.1, X3, F1",[X3]
ur,نائب,"S8, A1.5.2","S8, A1.5.2","A1.5.2, S8, A1.1.1","S8, A1.5.2","[S8, A1.5.2]"
ur,نافرمانی,"S8, G3","S8, G3","G3, S8, A1.1.1, S1.1.3","S8, G3","[S8, G3]"
ur,نام,"Z1, S2, Q2.2","Q2.2, S2","Q2.2, S2, Z1, S1.1.4, X4.1","Q2.2, S2","[Q2.2, S2]"
ur,ناممکن,"A12, A6.2, A1","A12, A6.2, A1","A12, A6.2, A1, T1.1.3","A12, A6.2, A1","[A12, A1, A6.2]"
ur,نامناسب-رویہ,"S1.2.4, G2.1","G2.1, S1.2.4","G2.1, X4.1, G2.2","G2.1, S1.2.4","[G2.1, S1.2.4]"
ur,نایاب,"N6, A6.2","N6, A6.2","A6.2, X9.1","N6, A6.2","[N6, A6.2]"
ur,نتھنے,B1,B1,"B1, O2",B1,[B1]
ur,نجات,"A15, X9.2","A15, X9.2","X9.2, A15, X9.1","A15, X9.2","[A15, X9.2]"
ur,نرم,"X3.3, O4.1","O4.5, X3.3, O4.1","O4.5, X3.3, O4.1","O4.5, X3.3, O4.1","[O4.5, X3.3, O4.1]"
ur,نصب-کرنا,"A1.1.1, S1.1.1, H1","A1.1.1, S1.1.1, H1","S1.1.1, A1.1.1, G3","A1.1.1, H1, S1.1.1","[A1.1.1, S1.1.1, H1]"
ur,نظام,"X4.2, X7, G1.1, G1, B1","X4.2, X7, B1, G1, G1.1","X4.2, G1, B1, G1.1","X4.2, B1, G1, X7, G1.1","[X4.2, X7, B1, G1, G1.1]"
ur,نظر,"X3.4, O4.1, A8","O4.1, X3.4, A8","X3.4, A8, O4.1, B1","O4.1, X3.4, A8","[O4.1, A8, X3.4]"
ur,نغمہ,K2,K2,"K2, K1, K3",K2,[K2]
ur,نفاست,"A1.1.1, A5, S1.1","A1.1.1, S1.1, A5","S1.1, A1.1.1, A5, B4","S1.1, A1.1.1, A5","[A1.1.1, A5, S1.1]"
ur,نقصان-پہنچانا,"A1.1.2, E3","A1.1.2, E3","E3, A1.1.2, G2.1, G2.2","A1.1.2, E3","[A1.1.2, E3]"
ur,نقل,"O4.1, A6.1, G2.1","O4.1, A6.1, G2.1","G2.1, O4.1, A6.1, G2.2","A6.1, O4.1, G2.1","[O4.1, A6.1, G2.1]"
ur,نگران,"A4.1, S7.1, I2.1, S2, S7, G1.1","A4.1, S7.1, S7, S2, S2.2, A4, I2.1, G1.1","G1.1, A4.1, S7.1, S2, I2.1, A4, S7","A4.1, S7.1, I2.1, G1.1, S2, S7, S2.1, A1.2","[A4.1, S7.1, S7, S2, S2.1, S2.2, A4, I2.1, G1.1]"
ur,نیند,"B1, A1.1.1","B1, A1.1.1","B1, A1.1.1","B1, A1.1.1","[B1, A1.1.1]"
ur,ورما,"O2, H5","O2, H5",O2,"O2, H5","[O2, H5]"
ur,وظائف,"I3.1, I1, A9, S1.1.4","I1, A9, I3.1, S1.1.4","I1, S1.1.4, A9","I1, A9, I3.1, S1.1.4","[I1, I3.1, A9, S1.1.4]"
ur,وقت,"T1, T1.1, T1.2, T1.3, T1.1.2","T1, T1.2, T1.1, T1.3, T1.1.2","T1, T1.1, T1.3","T1, T1.1, T1.3, T1.1.2, T1.2","[T1, T1.1, T1.2, T1.3, T1.1.2]"
ur,ٹرک,M3,M3,"M3, O2, O4.4",M3,[M3]
ur,ٹھنڈا,"O4.6, W4, X3.3","O4.6, X3.3, W4","O4.6, X3.3, W4","O4.6, W4, X3.3","[O4.6, O4.1, O4, E1, S1.2.4]"
ur,ٹیٹو,"C1, O4.3","C1, O4.3",C1,"C1, O4.3","[C1, O4.3]"
ur,ٹیڑھا,"O4.4, A2.1","O4.4, A2.1","A2.1, O4.4, O2","O4.4, A2.1","[O4.4, A2.1]"
ur,پام,"B1, L3, F1","B1, L3, F1","F1, L3","B1, L3, F1","[B1, L3, F1]"
ur,پتھر,"O1.1, O2","O1.1, O2","O1.1, O2","O1.1, O2","[O1.1, O2]"
ur,پردہ,"H5, A10, O2","H5, A10, O2","H5, A10","H5, O2, A10","[H5, A10, O2]"
ur,پریشانی,E6,E6,"E6, X4.1",E6,[E6]
ur,پست-ترین,"M6, A6","M6, A6","M6, X9.2, A1.1.2","M6, A6","[M6, A6]"
ur,پل,"H1, A2.2, W3, O2, M7","H1, O2, M7, A2.2, W3","O2, M7, W3, H1","H1, O2, W3, A2.2, M7","[H1, W3, A2.2, O2, M7]"
ur,پن,"H5, O2","H5, O2",O2,"H5, O2","[H5, O2]"
ur,پنڈلی-کا-اگلا-حصہ,"B1, F1","B1, F1","B1, F1, O2","B1, F1","[B1, F1]"
ur,پودا,"O2, L3, F1","O2, L3, F1","L3, O2, F1, W5","O2, L3, F1","[O2, L3, F1]"
ur,پوری-طرح,"N5.1, A13.2","N5.1, A13.2","A13.2, N5.1","N5.1, A13.2","[N5.1, A13.2]"
ur,پيٹھ,"B1, M6","B1, M6","M6, B1, O2","B1, M6","[B1, M6]"
ur,پکارنا,"X3.2, Q1, Q2.2, A1.1.1, X5, S1.1.1","X3.2, X5, Q1, Q2.2, A1.1.1, S1.1.1","X5, Q1, Q2.2, A1.1.1, X3.2","X3.2, A1.1.1, Q1, Q2.2, X5, S1.1.1","[X3.2, Q1, X5, A1.1.1, Q2.2, S1.1.1]"
ur,پکڑاگيا,"A10, O4, G2.1, A9, A1.1.1","A10, G2.1, A1.1.1, A9, A1.7, O4","A10, O4, G2.1, A1.1.1","A10, G2.1, A1.7, A1.1.1, O4, A9","[A10, A1.7, O4, A9, G2.1, A1.1.1]"
ur,پھونک,"A1.1.1, O1.3, A1, B1","A1.1.1, A1, O1.3, O3, B1","A1, A1.1.1, B1, O1.3","A1.1.1, O1.3, O3, B1, A1","[A1.1.1, A1, B1, O3, O1.3]"
ur,پیالہ,"O2, F2","O2, F2","O2, F2","O2, F2","[O2, F2]"
ur,چال,"A10, G2.2","A10, G2.2","G2.2, A10","A10, G2.2","[A10, G2.2]"
ur,چرایا-ہوا,"G2.1, G2.2, A9","G2.1, A9, G2.2","G2.1, G2.2","G2.1, G2.2, A9","[G2.1, A9, G2.2]"
ur,چمک-,"O4.3, W2, T1.2","O4.3, W2","O4.3, W2","O4.3, T1.2, W2","[O4.3, W2, T1.2]"
ur,چوتھا,N1,N1,"N1, N2",N1,[N1]
ur,چھانٹنا,X7,X7,"X7, X8",X7,[X7]
ur,چھلانگ-لگائی,"N3.3, K5.1, M1, N3.8","N3.3, N3.8, K5.1, M1","M1, N3.3","N3.3, K5.1, N3.8, M1","[N3.3, N3.8, K5.1, M1]"
ur,چیخنا,"Q2.2, Q1, G1.2, S1.2.5, E3, X5","Q2.2, Q1, X5, S1.2.5, G1.2, E3","E3, X5, Q2.2, Q1","Q2.2, Q1, G1.2, X5, E3, S1.2.5","[Q2.2, Q1, X5, S1.2.5, E3, G1.2]"
ur,ڈبونا,"A1.5, F1",A1.5,"A1.1.1, A1.1.2, L1",A1.5,"[A1.5, F1]"
ur,ڈبکی,"A1.1.1, K5.1","A1.1.1, K5.1","A1.1.1, E1","A1.1.1, K5.1","[A1.1.1, K5.1]"
ur,ڈوبنا,"M1, M4, K5.1, A1.1.1","M1, M4, A1.1.1, K5.1","A1.1.1, M4","M1, K5.1, A1.1.1, M4","[M1, M4, A1.1.1, K5.1]"
ur,ڈھیلا,"O2, O1.1","O2, O1.1",O2,"O2, O1.1","[O2, O1.1]"
ur,کاغذ,"O1.1, Q4.2, Q1.2, P1","Q4.2, P1, O1.1, Q1.2","Q1.2, P1, Q4.2, O1.1","Q4.2, P1, Q1.2, O1.1","[Q4.2, O1.1, Q1.2, P1]"
ur,کام,"I2, I3.1, A1.6, A1.1.1","I2, A1.6, I3.1, A1.1.1","I3.1, A1.6, I2, A1.1.1","I2, A1.6, A1.1.1, I3.1","[I2, I3.1, A1.1.1, A1.6]"
ur,کاٹا,"A1.1.1, A1.1.2, A2, B1","A1.1.2, B1, A1.1.1, A2","A1.1.1, B1, A1.1.2","A1.1.2, A2, A1.1.1, B1","[A1.1.2, A1.1.1, A2, B1]"
ur,کتاب,"Q1.2, Q4.1, P1","Q1.2, Q4.1, P1","P1, Q1.2, Q4.1","Q1.2, P1, Q4.1","[Q1.2, Q4.1, P1]"
ur,کرسمس,"S9, Z3, T1","S9, Z3, T1","S9, T1, Z3","S9, T1, Z3","[S9, Z3, T1]"
ur,کرہ,"O4.1, O4.4, O4","O4.1, O4.4, O4","O4.4, O4.1","O4.1, O4.4, O4","[O4.1, O4.4, O4]"
ur,کسان,"F4, S2.2","F4, S2.2","F4, S2.2","F4, S2.2","[F4, S2.2]"
ur,کشتی,M4,M4,M4,M4,[M4]
ur,کل,"N5.1, N5","N5.1, N5","N5.1, N5","N5.1, N5","[N5.1, N5]"
ur,کھیت,"F4, M7","F4, M7","F4, M7","F4, M7","[F4, M7]"
ur,کیچڑ ,"O1.1, O4.5","O1.1, O4.5","O1.1, O4.5","O1.1, O4.5","[O1.1, O4.5]"
ur,کیڑا,L2,L2,L2,L2,[L2]
ur,گاڑی,"O2, B5, M3, Y1, O4.1","M3, O2, O4.1, Y1, O4.4","M3, B5, Y1, O4.1, O2, O4.4","M3, B5, Y1, O2, O4.4, O4.1","[M3, B5, O2, O4.1, O4.4]"
ur,گرم,"O4.6, W4","O4.6, W4","O4.6, W4","O4.6, W4","[O4.6, W4]"
ur,گندم,"F1, L3","F1, L3","F1, L3","F1, L3","[F1, L3]"
ur,گندگی,B4,B4,B4,B4,[B4]
ur,گندی,"A5.1, B4, O4.2","O4.2, B4, A5.1","O4.2, B4, A5.1","O4.2, A5.1, B4","[O4.2, B4, A5.1]"
ur,گننا,"N1, N5, A1.1.1","N1, N5, A1.1.1","N1, A1.1.1, N5","N1, N5, A1.1.1","[N1, N5, A1.1.1]"
ur,گوشت,"F1, B1","F1, B1","F1, B1","F1, B1","[F1, B1]"
ur,گوند,O1.2,O1.2,O1.2,O1.2,[O1.2]
ur,گھات-میں-بیٹھنا,"A10, S1.1.1, E5","A10, S1.1.1, E5","A10, E5, S1.1.1","A10, E5, S1.1.1",[VV0]
ur,گھمانا,"M1, M2, W1","M1, M2, W1","M1, W1, M2","M1, M2, W1","[M1, M2, W1]"
ur,ہموار,"O4.5, X3.3","O4.5, X3.3","O4.5, X3.3","O4.5, X3.3","[O4.5, X3.3]"
ur,ہوا,W4,W4,W4,W4,[W4]
ur,ہوا-بند,"A10, A15","A10, A15","A10, A15","A10, A15","[A10, A15]"
ur,ہوائی-اڈا,"M7, H1, M5","M7, H1, M5","M5, H1, M7","M7, M5, H1","[M7, H1, M5]"
ur,گھٹانا,,"N5, A2.1","N5, A2.1","N5, A2.1","[N5, A2.1]"
zh,比较,"A6, A13, A6.1, A13.5","A1.1.1, A6.1, A5.1, A13, A6, Q3","A6, A13.4","A13.4, A13.5, A6","[A13.4, A13.5, A6]"
zh,问题,"Q2.2, X4.1, N2, A12","X4.1, B2, A12","N2, A12, X4.1","B2, A12, Q1.1, A11.1, A15","[A12, B2, X4.1]"
zh,年,"T1.3, W1, P1","T1.3, Z1","T1.3, Z1","T1.3, T3, Z3","[P1, T1.3]"
zh,老师,P1,"P1, O2",P1,P1,"[I3.2, P1, S2]"
zh,很,A13.3,"S1.2.5, A13.3","A13.3, N3.2, S1.2.5",A13.3,[A13.3]
zh,去,"Z84, M1, X8, T1, L1","N3.1, M1, A1.1.1","M1, M7","M1, A1.1.2",[M1]
zh,自己,"S5, Z8",Z8,Z8,Z8,[S5]
zh,他们,Z8,Z8,Z8,Z8,[Z8]
zh,为,"A2.2, Z5, M6","Z5, Q2.2, E1",A2.2,"A2.2, Z5, A3, Z1",[Z5]
zh,工作,"A1.1.1, I3.1","O2, I3.1, A1.1.1, S1.1.1","X9.2, I3.1, A1.1.1",I3.1,"[A1.1.1, I3.1]"
zh,开始,"A1.1.1, T2, N4","T2, A1.1.1, T1.2","A1.1.1, T1.2, T2, N4",T2,[T2]
zh,像,"C1, A8, O4.1, A6.1","A8, A6.1, A13, Z5, O4.1","A6.1, E2, A8","O4.1, A6.1, E2, A8",[C1]
zh,学生,P1,L2,"P1, B1, L2","P1, L2","[P1, S2]"
zh,所以,A2.2,"Z5, A2.2",A2.2,Z5,"[A2.2, Z5]"
zh,一些,"N5, A13.5","N5, Z5",N5,"Z5, A13.5",[A13.5]
zh,觉得,X2.1,"X2.1, X3","X3, X2.1",X2.1,"[X2.1, X3]"
zh,生活,"I3.1, A3, A1.1.1, I1.1","L1, I3.1, S1.1.1, A1.1.1","L1, H4",L1,"[A1.1.1, S1.1.1]"
zh,起来,"M1, N3.2","M1, S7.1, A1.1.1","A1.1.1, M1",M1,"[M1, M6]"
zh,大家,"Z8, N5.1",Z8,"N5.1, Z8",Z8,[N5.1]
zh,看到,"X3.4, X2.5","X3.4, X3","X3.4, X2.3, X2.5","X3.4, X2.3, X2.5","[X2.1, X2.5, X3.4]"
zh,太,"N5.2, T3, Z1","A5.1, A13.3, A11.1, N5.2, A4.2",N5.2,"A4.2, Z0",[N5.2]
zh,喜欢,E2,"E4.1, E4.2, E2","E2, E4.2, E4.1","E4.1, E2",[E2]
zh,美国,Z2,Z2,Z2,"Z2, Z4",[Z2]
zh,东西,"O2, L2","L2, S2, S1.1.1, O1, A7, O2","O1, O2, L2","O1, S1.2.3","[O2, X4.1]"
zh,买,I2.2,S1.1.1,I2.2,I2.2,[I2.2]
zh,"条","O4.4, A4.2, N4, Z5","O4.4, O2, Z5","O4.4, A1.7","G2.1, O4.4, Q4.2, A1.7",[Z5]
zh,地方,"H1, M7","G1.1, M7, H2, W3, H3","M7, N3.6, H3, H2, W3, H1","H2, N3.6, G1.1, M7","[G1, M7]"
zh,非常,"A6.2, A13.3","A13.3, A7, A4.2, A6.2","N6, A13.5, A6.2, N5.2","A12, N5.2, A4.2",[A13.3]
zh,男人,S2.2,"S2.2, L2, S2","S2.2, S2",S2.2,[S2.1]
zh,需要,"X7, A1.5.1, S6, B2","S6, X7","S6, X7, A11.1","A1.1.1, S6",[S6]
zh,国家,"G1.1, W3","G1.1, G1.2, S5, M7","G1.2, M7, G1.1, W3, S5","M7, W3, G1.1","[G1.1, W3]"
zh,所有,"A9, N5.1","A13.2, O2, N5.1","N5.1, A13.2, E1","N5.1, A13.2",[N5.1]
zh,个人,"S5, Z8","S2, Z8","S2, Z8","Z8, N5, S2, S1.2.3",[S5]
zh,当时,T1.1.1,"T1.2, T1.1.1","T1.1.1, T1.2, T1.3","T1.3, T1.2, T1.1.1","[T1.1.1, T1.2, T1.3]"
zh,希望,"X4.1, X2.6, A7","O2, X7, X2.1, X2.6, X4.1, E2","T1.1.3, X2.6, X7, X2.1","E2, X2.6","[A5.1, E4.1, X2.6, X9.2]"
zh,感觉,"X3, X4.1","S1.2.6, X5.2, X4.1, X3","S1.2.6, X3, X4.1","X9.1, A1.1.1, X2.1, X2.5, E2","[E1, X2.1, X3]"
zh,其实,A13.5,Z5,A5.4,"A5.2, A5.4, Z5",[Z5]
zh,后来,"T1.1.3, T4","T1.1.3, T4","T1.1.3, N4, T4","T1.1.3, T4","[N4, T1.1.3, T4]"
zh,其他,A6.1,A6.1,A6.1,Z8,[Z8]
zh,同学,P1,"P1, S5",P1,"P1, S3.1","[P1, S2, S2, S5]"
zh,说,Q2.1,"O2, Q2.2, Q2.1, Z4","Q3, Q2.1, Q2.2","Q2.1, Q2.2, Q1.1, A1.1.1",[X4.1]
zh,发现,A10,"X2.3, X3, S1.1.1","A10, X3.4, A1.1.1, X2.3","X2.3, A10",[A10]
zh,应该,"A7, S6",S6,"S6, A7",Z5,"[A7, S6]"
zh,"进行","X8, T1.1.2, M1","S1.1.1, M1, M3, A1.1.1","T1.1.2, T1.3, A1.1.1","M1, A1.1.1","[A1.1.1, T1.1.2]"
zh,公司,"I3.1, I2.1, S5","S5, I2.1, I3.1","I2.1, S5","I2.1, Z3","[G3, I2.1, K4, S3.1, S5, S5, S5, S5]"
zh,发展,"A2.1, T2, H1","A1.1.1, E1","A2.1, N3.8","A1.1.1, M1","[A2.1, A2.1, A5.1, H1, S1.1.1]"
zh,告诉,Q2.1,"Q2.2, Q2.1","A10, Q2.1, Q2.2","Q2.2, Q2.1","[Q2.1, Q2.2]"
zh,电话,Q1.3,Q1.3,"Q1.3, O3",Q1.3,[Q1.3]
zh,社会,S5,S5,"S5, S1.1.1",S1.1.1,[S5]
zh,有,,"A3, Z5, A8, A9","A7, A9, A3","A9, A3",[A9]
