language,word,NoneExpert1_tags,NoneExpert2_tags,NoneExpert3_tags,NoneExpert4_tags,gold standard tags
ar,معلم,"S2.2, P1, S7.2, S8","P1, Z84, S2.2, S5","S2.2, P1, X2.3, X2.2, X2.4, X2.5, X5.1, X5.2, X8, X6","P1, X2.3, X2.2, S2.2","[P1, S2.2]"
ar,مغرور,"S1.2.3, E1, S3.1","S1.2.3, S2.2, Z3, S8","S1.2.3, E2, A1.1.1, S2.1, S2.2","S1.2.3, A5.1",[S1.2.3]
ar,مقتصد,"S2.2, S1.2.2, I1","S2.2, S1.2.2, I1","S1.2.2, I1, S2.2, A9","S2.2, I1, S1.2.2, I1.3, A1.1.1","[S1.2.2, S2.2, I1]"
ar,مقرف,"A5.1, Z84, L2, H4","A5.1, B2, B1, B4, B5","A5.1, E4.1, E2, E6, E5, E3, E4.2, A1.1.1","X3.1, X3.5, B4, A5.1",[A5.1]
ar,مقياس,"N3.1, N3, N1","N3.1, N3","N3, Z84, N3.1, N3.7, N3.2, N3.4, N3.5, N3.6, N3.8","N3.1, N3.2, N3.3, N3.7, N3.4, N3.5, N6, N1","[N3.1, N3]"
ar,مكيدة,"G1.1, G1.2, A10, G2.2","A10, G1.2, G1.1, E1, S8","G1.2, A10, X2.4, A1.1.1","G1.2, A10, G1.1","[A10, G1.1, G1.2]"
ar,ملائم,"A6.1, Z85, A1.2","A6.1, A1.2, E1, A2.1","A1.2, A6.1, E2, E4.1, A1.1.1",A1.2,"[A1.2, A6.1]"
ar,ممتاز,"A5.1, E1, S5","A5.1, E1, E2, Z1, P1","A5.1, X2.4, X2.5, E2, E4.1, E4.2, P1, A5.2, A13.2, A12","A5.1, A11.1",[A5.1]
ar,منخار,"B1, B2, B4","B1, B4, B2","B1, A1.1.1",B1,[B1]
ar,منشط,"X5.2, E1, S9","X5.2, B2, A1.1.1","X5.2, B3, F3",X5.2,[X5.2]
ar,منهزم,"S1.2, Z84, E5, G3, X5.2","X5.2, E5, E4.1, E4.2, E2, E3, A1.1.1","E5, S1.2, G3, X5.2","G3, E5, S7.3","[X5.2, E5, G3, S1.2]"
ar,مهبط,"M5, H1, M7","M5, M7, H3","H1, M7, M5, H3, O1.1","H1, Z84, Z85, M7, M5, Z2","[M5, M7, H1]"
ar,مهربات,"A10, O2, G2.1, A15","A10, G2.1, O2, A1.1.1","A10, O2, G2.1, E1","G2.1, A10, X5.1","[A10, G2.1, O2]"
ar,مهم,"A11, A11.1, L1, H1, C1, T2","A11.1, A11","A11.1, A11, C1, K6, G1.2, F3","A11.1, Z84, A11","[A11.1, A11]"
ar,موجة,"O4.4, M1, O4.1","O4.4, M1, O1.2, A15, A10","M1, O4.4, O1.3, N6","O4.4, N6, M1","[O4.4, M1]"
ar,موجز,"A12, A11, A4.2, P1, G2.2","A12, A11, A4.2, E5, L1, G3, A5.1, A11.1, S1.2.5, A15","A11, N5, A4.2, A12, P1, Q2.2","A12, A11, A4.2, N5","[A11, A12, A4.2, N5]"
ar,نادر,"A6.2, Z1, C1","A6.2, A1.1.1","A6.2, Z1, C1","A6.2, A3, Z84",[A6.2]
ar,ناعم,"E1, O4.5, S2.1, E2, H5, B5","O2, X3.3, S2.1, A1.1.1","O4.5, E1, S2.1, C1","O4.5, X3.3","[O4.5, E1]"
ar,نبات,"F1, Z84, L3, F4, L2","L3, Z84, F1, L1, L2, F4","F1, L3, F4, L1, W5","L3, F1","[L3, F1]"
ar,نجم,"X9.2, X9.1, S2.2, S9","X9.2, X9.1, S2.2, S9, Z1","X9.2, X9.1, E2, M1, W2","X9.2, Z85, X9.1, Z1, Z2","[X9.2, X9.1]"
ar,نخلة,"L3, F1, Z1, F4","F4, L3, F1, Z1","L3, F1, F4, N3.7, N3.5, N3.2","F1, L3, F4, Z1","[L3, F1]"
ar,نظام,"X7, G2, Y2, H3","G2, A11.1, A1.1.1, A2.1, E1","G2, X7, G2.1, Y2, S3.1, E3","G1.1, X7, G2, G1.2","[X7, G2]"
ar,نظر,"X3.4, O4.2, X2.1, C1","X2.1, X3.4, A1.1.1","X2.1, X3.4, E1, S1.2.1","Z85, X3.4","[X3.4, X2.1]"
ar,نفي,"Z6, E1, E2, S7.4, X2.1","Z6, E2, E4.1, A1.1.1","Z6, S1.2.1","S1.1.3, S5",[Z6]
ar,نهاية,"N5.1, T2, S3.1","N5.1, T2","N5.1, T2, Z1","T2, N5.1","[T2, N5.1]"
ar,"هدوء","A1, S1.2, E3, E6","E3, E4.1, E2, E1, E6","E3, S1.2, A1","E3, S1.2","[E3, S1.2, A1]"
ar,هرول,"K5.1, M1, S2.2","K5.1, M1","M1, K5.1","K5.1, M1","[K5.1, M1]"
ar,هضبة,"W3, F4","W3, H3","W3, F4, Z1, H3",W3,[W3]
ar,هواية,"K5, K5.2, K5.1","K5, Z84, K5.1, K5.2, Q1.2","K5.1, K5.2, K5, E2, E1","K5, Z84, K5.2, Q4.1, K2, K1, K4","[K5, K5.1, K5.2]"
ar,هين,"A12, E1, P1","A12, X2.5, X2.4, X2.3, A1.1.1","A12, P1, E3, S3.1",A12,[A12]
ar,واضح,"A1.6, O4, A12, X3.4","A12, X2.5, X2.3","A12, X3.4, A1.6, O4, H1","A12, A1.6, X3.4, O4","[X3.4, A12, A1.6, O4]"
ar,"وراء","M6, M1","M6, E6, E5","M6, M7, M1",M6,[M6]
ar,ورق,"O1.1, Q1.2, O2","Q1.2, O1.1, X2.3, X2.4, X2.2, I3.1","O1.1, Q1.2, P1, C1, W5","O1.1, Q1.2, P1, C1, W5","[Q1.2, O1.1]"
ar,وشم,"A10, O4.3, C1, S9","A10, O4.3","O4.3, A10, E1",O4.3,"[A10, O4.3]"
ar,وضعية,"O4.1, M6, C1","O4.1, O4.4","O4.1, M8, C1, Z1, A4.2",O4.1,[O4.1]
ar,وقت,"T1.1, T1, T2, T3, T4, T1.2, T1.3","T1, T1.1, T2, T3, T4, T1.2, T1.3, A1.1.1","T1.1, T1, T2, T3, T4, T1.2","T1, T1.1, N6, N3.8","[T1, T1.1]"
ar,وكالة,"I2.1, I3.1, Q4, A4.1, S5, M7, H1","I3.1, A4.1, I2.1, S5","I3.1, M7, A4.1, Q4, I2.1, S5, H1, P1, Z3","I3.1, A4.1, I2.1, Q4","[I2.1, M7, A4.1, Q4, S5, I3.1]"
ar,وميض,"W2, T1.2, A10, O4.3",W2,"T1.2, W2, O3, O4.3",W2,"[W2, T1.2]"
ar,يبارك,"S9, E2, S3.1","S9, E4.1, E2, E4.2, A1.1.1","S9, E4.1",S9,[S9]
ar,يبطئ,"N3.8, M1","N3.8, M1","N3.8, M1, M4",N3.8,[N3.8]
ar,يتحدث,"Q1, Q2, K1",Q1,"Q1, Q2, E1, K1, S5, S6","Q1, Q2, S1.1.1","[Q1, Q2]"
ar,يتحقق,"O4.1, Z84, X4.1, A3, A1.5.2","A3, X4.1, O4.1, X2.3, X6","X4.1, A3, O4.1","Z84, A10, G2.1","[X4.1, A3, O4.1]"
ar,يتوقف,"M8, M1",M8,"M8, M1","M8, T2",[M8]
ar,يحاذي,"A6.1, H3, M6, M1","A6.1, H3, M1","H3, Z84, M6, A6.1","H3, A6.1, M6","[A6.1, M6, H3]"
ar,يحافظ,"A1.1.1, W5, E1, E6",A1.1.1,"W5, Z84, A1.1.1, E1","W5, A1.1.1","[W5, A1.1.1]"
ar,يحبو,"M1, K6, M8","K6, M1","K6, M1, M8","M1, K6","[M1, K6]"
ar,يحتكر,"S1.2.2, Z8",S1.2.2,"S1.2.2, S3.1, X2.6","A5.1, I2.2, I2.1, S1.2.2, I1.3",[S1.2.2]
ar,يحدد,"X6, X7, O4.4, O4.1","X7, X6","X6, X7","X6, A4.2","[X6, X7]"
ar,يحصي,"N5, N1, N3.1, N5.1",N5,"N5, N1, N6","N1, Z84, N5, N6","[N1, N5]"
ar,يختار,"X7, A5.1, A5.2",X7,"X7, S1.1.2",X7,[X7]
ar,يدور,"W1, Z84, M1, M6",M1,"M1, W1, M6","W1, M1","[M1, W1]"
ar,يذكر,"Q1.1, Q1, G1.2, G2.1, A1.7, A1.8","Q1.1, A1.1.1","Q1.1, Q1, E1, S5",X2.2,"[Q1, Q1.1]"
ar,يربط,"S3, A2.2, A4.1, P1, I2.1","A2.2, S3","S3, A2.2, P1, M8","S3, A2.2","[S3, A2.2]"
ar,يستحم,"B4, B1, B2","B4, A1.1.1","B4, B1, E1",B4,[B4]
ar,يسرع,"M1, N3.8, M5","M1, N3.8","M1, N3.8, E5, E6, E3","N3.8, M1, M5","[N3.8, M1]"
ar,يشوه,"O4, A2.1, A1.1.2","A1.1.2, O4, A2.1, E3, E5, E6, E2, E4.1, E4.2, A1.1.1","O4, A2.1, A1.1.2, E1","O4, A1.1.2, A2.1","[A1.1.2, A2.1, O4]"
ar,يعدل,"A2.1, G2.1, H1, A5.4","A2.1, A1.1.1, A2.2","A2.1, M1, S8",A2.1,[A2.1]
ar,يعلم,"X2.2, X2.3, P1, E2","X2.3, Z84, P1, X2.2, A1.1.1","P1, X2.3, X2.2, S5, S9","X2.3, X2.2, P1, A1.1.1","[P1, X2.3, X2.2]"
ar,يعوم,"M4, M1","M4, O1.2","M4, O1.2",M4,[M4]
ar,يغفو,"B1, E1","B2, E6","B1, E3","B1, X1",[B1]
ar,يغمس,"F1, A1.5, F4, W5",F1,"F1, A1.5","F1, A1.1.1","[A1.5, F1]"
ar,يفند,"A5.2, A4.1, A5.1, A6.3, A6.1","A5.2, A1.1.1, X6","A5.2, S7.3, N3.1",A1.9,[A5.2]
ar,يقص,"Q1.2, A1.1.2, A2.2, A11.1","A1.1.2, Q1.2","A1.1.2, Q1.2, A2.2",A1.1.1,"[A2.2, A1.1.2, Q1.2]"
ar,يقطع,"A2.1, A2.2, H1","A2.2, A2.1","A2.1, A2.2, E3",A1.1.1,"[A2.1, A2.2]"
ar,يملك,"A9, Z84, A14",A9,"A9, A1.8","A9, S1.1.4",[A9]
ar,ينادي,"Q1, X5, A1.1.1, X3.2","A1.1.1, X3.2, X5, Q1","X5, Q1, X3.2, A1.1.1","Q1, A1.1.1, X5, X3.2","[X3.2, Q1, X5, A1.1.1]"
ar,ينتقم,"S1.1.2, E3, S7.3, G3","E3, E5, E2, E4.1, E4.2","S7.3, E3, S1.1.2, E4.2","S1.1.1, E3","[S7.3, E3, S1.1.2]"
ar,ينصب,"A3, H1, C1","A3, H1","A3, H1, S9",H1,"[H1, A3]"
ar,ينظم,"X7, S7.1, A1.2, H5, H3, A4.2","X7, A1.2, S7.1, S5","X7, A1.2, S7.1, S5","X7, S7.1, A1.1.1","[S7.1, A1.2, X7]"
ar,يوافق,"A1.2, E4.2, A7, A5.4","A1.2, E4.2, E2, E4.1","A1.2, E4.2, E1, A1.5.1",A1.2,"[A1.2, E4.2]"
ar,يوبخ,"A1.2, S1, Q2, S1.1, S7, A5.4","S7, Z84, S1, Q2, S1.1, E4.1, E2, E3, E4.2","S1.1, S7, Q2, S1, S7.2","S1.1, S7, Q2","[Q2, S7, S1, S1.1]"
en,select,X7,X7,X7,X7,"[X7, A5.1]"
en,good,"A1.5.2, O4.2, A5.1, N3.2, Z85","A5.1, G2.2, O4.2, A1.5.2, N3.2","G2.2, A5.1, O4.2","A5.1, G2.2, A1.5.2, N3.2, O4.2, Z85, Z84","[A5.1, G2.2, O4.2, A1.5.2, N3.2]"
en,country,"W3, G1.1, F4, K2","W3, G1.1, F4, K2","W3, G1.1, F4","M7, M6, W3, G1.1, F4, K2, G1.2","[G1.1, W3, F4, M7, K2]"
en,funny,E4.1,"B2, Z84, A6.2, A12, E4.1",E4.1,"B2, Z84, Z85, E4.1, A6.2, A12","[E4.1, A6.2, A12, B2]"
en,student,"P1, A4.1","P1, Z84",P1,P1,"[P1, S2]"
en,nostril,B1,B1,"B1, L1",B1,[B1]
en,nausea,B2,"B2, B1","B2, Z84",B2,[B2]
en,prehistory,Z84,"T1.1.1, T3",T1.1.1,"T1.1.1, Z84, L2","[T1.1.1, P1, T1.1.1, Q2.1, B2]"
en,galloped,"M1, N3.8","L2, M1, N3.8, Z84, Z85","M1, Z84, L1",M1,"[M1, N3.8, L2, N3.8]"
en,old,"T3, Z4, Z85, Z84","Z4, Z84, Z85, T3, A1.9, C1, F1, F2, W1, Y1","T3, B2","Z85, T3","[T3, Z4]"
en,agency,"I2.2, G1.1","G1.1, I2.2","G1.1, I2.2, G1.2, I2.1, Z3","I2.2, Z85, G1.1, G2.1, I2.1, S7.1, S7.4","[I2.2, S5, G1.1]"
en,labor,"A1.1.1, I3.1",I3.1,"I3.1, A12, A1.1.1",F1,"[A1.1.1, A12, I3.1, S5, B1]"
en,educate,"P1, Z84",P1,"P1, Z84","P1, Z84, Q1.1, S1.1.3, S8, X9.1",[P1]
en,spiralling,"N5, Z84, O4.4",O4.4,O4.4,"O4.4, N5, Z84","[O4.4, N5, A2.1]"
en,call,"Q1.3, S9, Z84, X7","X7, Z84, Z85, Q1.3, S1.1.1, Q2.2","Q1.3, Q2.2, S1.1.1, Z85, X7, S9, Z84","Q2.2, Q1.3, S9, X7","[Q2.2, S1.1.1, Q1.3, X7, S9%]"
en,accountability,"A7, S7.1","A7, Z84, I2.1",S6,"S7.1, G1.1, A7","[S7.1, A7]"
en,bless,S9,"S9, Z84, Z85, A9","S9, E2, S7.4","S9, A9","[S9, A9]"
en,cure,"B3, B2, L1, B4, X8, F1, X6, B1","Z3, Z84, Z85, B3, F1, B2, B1","B3, Z85, Z84, Z3, F1",B3,"[B3, F1]"
en,thoroughly,A1.3,A13.2,"A13.2, N5.1, A7","A1.3, Z84, Z85, A13.2","[A13.2, A1.3]"
en,compilation,"A6.3, Z84, Z85, N5","N5, Z85",N5,"N5, Z84, Z85, A6.3","[N5, A6.3]"
en,seer,S9,S9,S9,"S9, Z84, A15","[S9, S2]"
en,scorching,"O4.6, Z84",O4.6,"O4.6, Z84, B2","O4.6, Z84",[O4.6]
en,saffron,"L3, F1, O4.3","Z84, Z85","O4.3, F1, L3, F2, F4","F1, O4.3, L3, F2, F4","[L3, F1, O4.3]"
en,corkscrew,"O2, F1, F2",O2,"O2, Z84, C1, F2, O4.4, M5","O2, Z84",[O2]
en,worry,"E6, E4.1","E6, A3, L1, S4","E6, Z84, B2",E6,[E6]
en,school,"P1, S5","P1, L2, S5, Z84, Z85",P1,"P1, Z2","[P1, H1, S5, L2%]"
en,lay,K2,"A1.1.1, S3.2","I3.2, S3.2, L2, A1.1.1","M1, Z84, M2, I3.2, S3.2, B5, A1.1.1",[S1.1.1]
en,wave,"O4.4, M2, M1","Q1.1, W3, N5, M1, O4.4, Y1","Q1.1, M1, W3, O4.4, M2, N5, Y1","O4.4, M1, Q1.1, Y1, M2","[W3, M4, O4.4, Q1.1, Y1, N5]"
en,delicately,"A1.3, Z84, Q1.1, T1.1.1, E1, L1, H5","A1.3, O4.2, Q2.2, O4.5","A1.3, A4.2, A13.1","A1.3, F1, F2, E2",[A1.3]
en,possessed,"S9, Z84, Z85, A9","S9, Z84, Z85, O2, I4","A9, S9, Z84, Z85","A9, S9, Z84, Z85","[A9, E1, S9%]"
en,misdemeanors,"G2.1, S1.2.2, S8, S1.2.4",G2.1,"G2.1, S1.2.4",G2.1,"[G2.1, S1.2.4]"
en,food,"Z84, F1","F1, F2","F1, F2, F4",F1,[F1]
en,far,"N3.3, X9.2",N3.3,"N3.3, M6, X9.2","X9.2, Z84, Z85, N3.3, A13.3",[N3.3]
en,screen,"H5, B3, Q4.3","Y2, B3, Q4.3, X2.4, A10, H5","H5, Z84, Z85, B3, Q4.3, X2.4",X2.4,"[Y2, Q4.3, H5, A10]"
en,happy,"E4.1, E4.2, E2","Z84, Z85, E4.1, E1",E4.1,"E4.1, E4.2","[E4.1, E4.2]"
en,creeps,"M1, Z84, Z85, A5.1, P1, T1.1.1, M2","M1, Z84, Z85, A5.1, M3","M1, A5.1","M1, A5.1, Z85, Z84","[G2.2, S2]"
en,mug,O2,"E3, O2, S1.2.6, B1","O2, Z84, F2, C1","O2, B1, E3, C1","[O2, B1, S1.2.6, S2]"
en,sleeping,"B1, B2","B1, X1","H4, S1.1.3, B1",B1,"[B1, S1.1.3]"
en,chair,"H5, S7.1, P1","H5, S7.1, P1, Z85, Z84","H5, P1",S7.1,"[H5, S7.1, P1]"
en,sink,"M2, M4, X3.2, E4.1, M1, N5, A1.1.1, B4, A2.1, H5","M4, Z84, N5, A1.1.1, M1, E4.1, A2.1, M2, B4","M4, A1.1.1, M1, E4.1","Z84, Z85, E4.1, M2, N5, M1, F2, K5.1, B4","[B4, H5]"
en,consenting,S7.4,"S7.4, X6","S7.4, Q2.2","S7.4, Q2.2, S7.2, E1",[S7.4]
en,honey,"F1, S3.1",F1,F1,"F1, E2",[F1]
en,addict,"F3, Z84, Z85, X5.2",F3,F3,F3,"[X5.2, S2, F3, S2]"
en,pixie,S9,Z84,S9,S9,"[S9, S2]"
en,top,"S7.1, Z84, N4, B5, A11.1, N5, K6, A5.1, M6, X9.1","N4, M6, S7.1, A5.1, N5, X9.1, A11.1, K6, B5","X9.1, A11.1, N5.1, A5.1, L1, A1.1.1, M6","A5.1, M6, B5","[M6, N5.1, A11.1, S7.1, N4, X9.1, A5.1]"
en,rue,"E4.2, Z84, E6","E4.2, Z84","E4.2, Z84","E4.2, Z84, F1",[E4.2]
en,wheat,"F1, F4",F1,"F1, L3, O1.1, O4.3",F1,[F1]
en,overburdened,"N5.2, E6, A12, A8, A3","N5.2, E4.1",Z84,N5.2,[N5.2]
en,bank,"X2.6, Z84, Z85, Z2, O2, M6, A9, M1, W3","H1, I2.1, I1, I1.1","I1, I1.1, Z2, M6, W3, I4","M6, I1, I1.1","[I1, H1, I1.1, I2.1, W3, M4, A9, H1, O2, M6]"
en,look,"O4.1, X2.4, X3.4, Z85, A8, Z84, X7, Z4, Z3","A8, X7, O4.1, B2, B5","A8, X2.4, X3.4, O4.1","X3.4, O4.1, X2.4","[A8, X3.4, X2.4, O4.1]"
en,bad,"B2, Z84, Z85, A5.1, G2.2, O4.2","G2.2, A5.1","G2.2, A5.1, W4, B2, O4.2, X6","O4.2, A5.1, B2, G2.2","[A5.1, G2.2, O4.2, B2]"
en,conspires,"G2.1, G3","S8, G2.1, Z84, Z85, P1, O3, W4, Q2.1, T3","A10, G2.1, G2.2, S8",G2.1,"[G2.1, G2.2]"
en,shower,"B4, W4, A9",B4,W4,"B4, S1.1.1","[B4, W4, S5, O4.2, S1.1.1%]"
en,stink,"X3.5, Z84","X3.5, B4",X3.5,Z84,[X3.5]
en,sweet,"F1, X3.1","X3.1, F1","X3.1, O4.2, F1","X3.1, F1, O4.2, E1","[X3.1, O4.2]"
en,metal,O1.1,"O1.1, K2","O1.1, K2, Z84",O1.1,"[O1.1, K2]"
en,transgress,"G2.1, Z84, E3, S1.2.5",G2.1,G2.1,"A7, G2.1",[G2.1]
en,talk,"Q2.1, S1.1.1","Q2.1, Z84","Q2.1, Z84",Q2.1,[Q2.1]
en,plateau,"N5.1, W3",N5.1,"W3, N5.1","N5.1, W3",[N5.1]
en,dearth,N5,N5,"N5, Z84",N5,[N5]
en,sky,B2,W1,W1,B2,[W1]
en,bottoms,"M6, B1","M6, B1",M6,"Z84, B5, M6","[N4, M6, B1, A5.1]"
en,system,"M4, Z84, G1.1, M3, O3, N2, Q1.3, Y2, B1, X4.2","Q1.3, Y2, O3, G1.1, N2, B1, X4.2, M4, M3","N2, X4.2, Q1.3, Y2, G1.1","M3, N2, M4, X4.2, O3, Y2, B1, Q1.3, G1.1, S5","[X4.2, O3, M3, M4, Q1.3, Y2, B1, N2, G1.1]"
en,rain,W4,W4,W4,"W4, A1.1.1",[W4]
en,educating,"P1, S8",Z84,P1,P1,[P1]
en,chilled,"O4.6, Y1",O4.6,O4.6,"O4.6, F1, F2",[O4.6]
en,cool,"E6, O4.6, O4.2, Z85, Z84, S1.2.1, X5.2","O4.2, A5.4, E6, S1.2.1, X5.2, O4.6, S7.1","S1.2.1, W4, E3, O4.6, O4.2, E6, X5.2","X5.2, Z84, Z85, E6, O4.6, S1.2.1, O4.2","[O4.6, S1.2.1, O4.2, E6]"
en,waylay,"S1.1.1, Z84","E5, S1.1.1, Z84, A2.2","A1.2, S1.1.2",A2.2,[S1.1.1]
en,mayhem,"E3, Z85","E3, Z84, Z85, A1.7, Y2, Q3, P1",E3,E3,"[E3, A1.7]"
en,sevens,N1,"N1, Z84, Z85","N1, N2, N3.2, N3.3, N3.7, N3.4, N3.5, N3.6",N1,"[N1, T3, T1.2]"
en,fourth,"N4, N2, N1, T3, H4","N4, Z84","N4, N1, N3.2","N4, Z84",[N4]
en,congregation,"S5, S9",S5,"S1.1.3, Z84, Z85, S5, G3, I4, K1","S5, Z84, S1.1.3","[S5, S9, S1.1.3, S5]"
en,step,"A1.1.1, T1.2","A1.1.1, T1.2","A1.1.1, T1.2","A1.1.1, T1.2","[M1, T1.2, H5, O2, A2.1, A1.1.1, K1@, K5.1@]"
en,easy,"A12, Z84, F1","A12, K1, X8, A7","A12, Z84","A13.1, A12, S3.2, E3",[A12]
en,sad,E4.1,"E4.1, A5.1, Z84, Z85","A5.1, Z84, Z85, E4.1","Z84, E4.1, A5.1, A1.1.2, E4.2","[E4.1, A5.1]"
en,son,"S4, S3.1, S2.2","S4, Z0, S3.1, S2.2",S4,S4,[S4]
en,mucky,W3,"S1.2.4, Z85",S1.2.4,O4.2,"[O4.2, S1.2.4]"
en,wearing,"A1.1.1, S7.4, B5","B5, L1, X8",B5,"B2, B5",[B2]
en,sightly,"X3.4, E2",A13.5,"Z84, K4",A13.5,[A13.5]
en,liquid,O1.2,O1.2,"O1.2, F2","O1.2, F2","[O1.2, A2.1]"
en,name,"Q2.2, S2.1, S2.2, S5","Q2.2, Z84, A1.1.1, K5.1","Q2.2, Z1, Z2",Q2.2,[Q2.2]
en,negative,"Z6, Z84",A5.1,"Z84, Z85, C1, E5","Z6, A5.1","[Z6, S8, A5.1]"
en,jolly,E4.1,"E4.1, E4.2, S2.1, S2.2, Q2.1, S8, S1.2.1, Q1.1, E2, E6","E4.1, E4.2",E4.1,[E4.1]
en,arm,"B1, G3, O2, B5, Z84, S5, Z85","B1, G3, O2, Z84, B5","B1, G3",G3,"[B1, S5, G3, O2, B5]"
en,diocese,"S9, Z84",S9,S9,S9,"[S9, M7]"
en,teacher,Z84,"P1, Z84","P1, Y1, Y2, N2, Z84, C1, Q2.1","P1, Y2, Y1, Z84, N2, C1","[P1, I3.2, S2]"
en,exchanged,"Z84, Z85, A9",A9,"A2.1, A9, A1.1.1, S1.1.2","A9, A2.1","[A9, S1.1.2, A2.1]"
en,briefed,"Q2.1, A1.2",Q2.1,Q2.1,N6,[Q2.1]
en,increasingly,"A13.3, Z84","I2.1, I1.3",A13.3,A13.3,[A13.3]
en,constancies,"T2, A6.1",T2,T2,"T2, Z85, A6.1","[A6.1, T2, G2.2]"
en,plant,"F4, O2, L3, A10, I4","F4, L3, M2, I4",F4,"L3, F4, I4, O2","[L3, I4, H1, O2, A10, S2]"
en,time-tested,"T1, T2","T1, T1.1.2, T1.1.1, A1.2, A5.3, T3, A5.1","T1, O4.1","T1, W4","[T1, X2.4]"
en,gracious,S1.2.4,"S1.2.4, S1.1.1","O4.2, Z84, Z85, Z4, S1.2.4, E1",S1.2.4,"[S1.2.4, O4.2]"
en,positive,"N2, A5.1, A7, Z84","N2, A5.1, A7","A7, N2, A5.1","A5.1, N1, N2, N5.1","[A5.1, A7, N2]"
en,contraband,"G2.1, E3, G2.2, Z84, K2, K4, K1",G2.1,G2.1,G2.1,"[G2.1, O2]"
en,shattered,"B2, A1.1.2","A1.1.2, E4.1, B2","E4.1, Z84, Z85, B2","A1.1.2, E4.1","[E4.1, B2, A1.1.2]"
en,standard,"A6.2, G2.2, A5.1","A5.1, A6.2, G2.2","A5.1, A6.2","Z85, O2, Q1.1, G2.2, A5.1",[A6.2]
en,warped,"O4.4, B2","O4.4, B2, C1, H2, H5, O2, Z6","Z85, B2","O4.4, B2","[O4.4, B2, X1]"
en,dipping,O1.1,"A1.1.1, O2, E1",A1.1.1,"A1.1.1, Z84, K5.1",[A1.1.1]
en,cheap,"I1.3, O4.2","I1.3, O4.2","O4.2, Z84, Z85, I1.3","Z84, I1.3","[I1.3, O4.2]"
en,tall,"N3.7, Z84",N3.7,"N3.7, N3.2, B1","N3.7, Z84",[N3.7]
en,float,"Z84, M1, M3, T2, F2","I1, M3, M1, M4","M3, M1, I2.2, I1, O2, M4","M4, M1, M6","[O2, I1, M3, F2, M4]"
en,tell,"X3, Z84, Z85, A10, Q2.1, Q2.2","Q2.1, Q2.2, Z84, A10","Q2.1, A10, Q2.2","Z84, Z85, A10, E1, P1, E3","[Q2.2, Q2.1, X3, A10]"
en,deregulated,"A1.7, Z84","A1.7, G1.1",A1.7,"A1.7, M1","[A1.7, G1.1]"
en,cutest,O4.2,"O4.2, Z84, A4.2","O4.2, B1","O4.2, O2",[O4.2]
en,conserves,"F1, W5, I1.1","F1, F2","F1, Z84, I1.3, T4, H4","F1, I1.1, I3.1",[F1]
en,untidiness,"O4.2, Z84",O4.2,"O4.2, A4.2","O4.2, E1",[O4.2]
en,snobbish,S1.2.3,S1.2.3,S1.2.3,"Z84, S1.2.3",[S1.2.3]
en,mud,O1.1,"Z84, Z85, E2","E2, O1.1",O1.1,"[O1.1, E2, Q2.2]"
en,poses,"Q2.2, O4.1, E1","O4.1, X1","A3, A9, A11.1, S1.1.4, S7.1, A10","Z84, Z85, S1.2.3, A5.4, Q2.2, A2.2","[O4.1, B1, A5.4]"
en,part,"I3.1, Z84, B4, M7, K4, S1.1.3, S3.1, O2, N5.1, H2","K4, S1.1.3, I3.1, O2","K4, Z85, A10, S3.1, N5.1","M7, I3.1, A10, O2, N5.1, S1.1.3","[N5.1, O2, M7, I3.1, S1.1.3, K4]"
en,inducted,"S9, Z84","A1.8, S9","S9, Z84","Z84, S9","[S9, T2]"
en,repellent,"A1.1.2, O1, Z84, B3","O1, H3","O1, Y1, F4, E1",Z84,[O1]
en,rock-bottom,"N5.1, E4.1","N5.1, E4.1",N5.1,"E4.1, A1.6, X6, B3","[N5.1, E4.1]"
en,air-tight,"A1.7, Z84, O4.1","A1.7, A7","O4.1, A10, A1.7",A1.7,[A1.7]
en,asexual,"S3.2, S3.1, B1",S3.2,S3.2,"S3.2, X4.1, X4.2, X5.2, B1",[S3.2]
en,puzzlement,X2.5,X2.5,"X2.5, X6, X7, X9.2, E6","X2.5, Z84",[X2.5]
en,staged,"K4, A1.1.1, Z84, Z85, A5.4","K4, A1.1.1, A5.4","A1.1.1, K4","A5.4, K4","[K4, A1.1.1, A5.4]"
en,table,"N2, H5","Q2.2, Z84, Z85, Q1.2, N2, H5","H5, N2","H5, N2","[H5, Q1.2, N2]"
en,first,"N4, P1, Z84","N4, N1, N2, P1","N4, P1, N2",P1,[N4]
en,interconnect,A2.2,"A2.2, A1.8, H2, M6, X4.2, S1.1.2, S1.1.1",A2.2,"A2.2, O3, Y2",[A2.2]
en,palm,"L3, B1","B1, Z84, Z85, A10, L3",L3,L3,"[B1, L3]"
en,installed,"A1.1.1, S1.1.1, H1, H5, O3, Y2","Z84, Z85, S1.1.1, A1.1.1","Z84, A1.1.1, H2, H1",H5,"[A1.1.1, S1.1.1]"
en,shop,"I3.1, I2.2","I2.2, I3.1, I4","I2.2, I4","I3.1, I2.2, I4","[I2.2, H1, I4, H1, I2.2, I3.1]"
en,buggery,L2,L2,S3.2,S3.2,"[B2, L2, n, X2.4, A10, Y2, E2, X5.2]"
en,dunk,"M2, K5.1","M2, M1, A1.5.1","M2, Z84",M2,[M2]
