lemma	semantic_tags
تَفْضِيل	 E2++ S7.2+ 
حَضّ	 A2.2/Q2.2 
حَضّ-ُ	 A2.2 A1.1.1 S8+ 
هان-ُ	Z99
بالُون	 M5 K6 O4.4 N3.2+/A2.1 M5% Z1 Z1mf 
حَتَّم	 B3 S6+ X6+ 
أَفاض	 A1.1.1 N5.2+ 
أَكْلَة	 F1 O2 Q4.3 O4.2+% F1/A1.1.1 
أَلَق-ِ	 W2 O4.2+ B4 E4.1+ X9.1+ W4/A5.1+ 
حُسَيْنِيّ	Z99
مُوضَة	 B5 O4.2+ X4.2 A1.1.1 O4.1 A4.1 Q3 Q2.2 
تَشاؤُم	 X2.6/A5.1- 
أَدْلَى	 A9- S6+ T1.1.2 A3+ A2.2 Q2.2 S1.1.3+ Q4.3 O4.1 K4 I1 
نَظَم-ِ	 S7.1+ A1.1.1 O4.1 S5+@ N5.1+ K2 Q3 A1.1.1/O4.2+ E3+ 
مُعاوَدَة	 Q2.1/N6 N6+ 
بَرْلِين	 Z2 Z1mf Z3c 
مُنَفِّذ	 G2.1/S2mf A1.1.1/S2mf 
ٱِسْتَوْجَب	 X7+ S6+ 
ٱِفْتِراضِيّ	 X4.1 A1.6 
تَفادَى	 A1.9 M1 S8- 
تَحَفُّظ	 A1.3+ G2.1/Q2.2 Q2.2 S1.2.1- A7- E6- A9+ G2.1 
قَوْقَعَة	 L2 
بَخّاخ	 O2 
حَدا-ُ	 T2+ 
آ	Z99
عَزْل	 M2 A11.1- X2.1- I3.1- S7.4+/M1 G2.1 A1.8- S5- A10+ A6.1- 
حَساسِيَّة	 X2.5+/E1 O4.1 B2- 
تَنْوِيه	 A10-/Q2.2 A10-/Q2.1 Q2.1 S7.2+/Q2.2 
نَوَّه	 Q2.2 Q1.1 Q2.1 S7.2+/Q2.2 
لِجام	 O2 A1.7+ S7.1+ 
أَجْوَف	 O4.1 X9.2- W3 N5--- S5--- A1.5.2- X5.2- O2/N5--- M1/M4 
غاشِم	 S7.1+ A1.7+ E3- G2.2- S7.1+/S2mf 
تَقَصِّي	 X2.4 B3 P1 
خَواجَة	 M6/S2mf Z2/S2mf I3.1/S2mf 
مُوفاز	Z99
خانِق	 B2- E3- N5+ S8- A1.1.2 G2.1- M3 L1- M3/O2 
تَذْكِير	 X4.1 O2/X2.2+ 
خَلْطَة	 O1.1 A6.3+ A4.1 A2.1+ 
جُناحِيّ	 G2.1-/S2mf T3- G2.1- A5.1- 
عَبّ	 F2/B1 
تَلْخِيص	 N3.8+ Q2.2 Q2.1 O4.4 Q1.2 
نافَس	Z99
كَفالَة	 G2.1/I1 K5.1 O2 N5---/M4 M2/M5 A1.1.1 O1.1 I1.1 M2 
ٱِنْساب	 M4 M1 N5 W3/M4 S5+c P1c N5+ P1 B2- 
باكِي	 E4.1- O1.2/M1@ 
ٱِنْكَمَش	 B3/S2mf N3.2-/A2.1 E2-@ 
رُشْدِي	Z99
حَسَم-ِ	 T2- O4.1 A1.5.1/N5.1+ A1.1.1 X9.2- I1.3- A1.8- 
إِغْماء	 NN1% B2 
عِزَّت	Z99
حُقُوقِيّ	 G2.1/S2mf 
ٱِسْتَفَزّ	 A2.2 E3- 
تَكْساس	 Z2 Z3c 
غَيْرِيّ	 S8+/S2mf 
ٱِحْتِفاء	 H2 S1.1.1 Q4.3 S1.1.3+ T3- E4.1+ S9 
شامِيّ	 Z2/S2mf 
حَسْبَما	Z99
فَتَك-ُ	 A1.1.2 
وَضَح-ِ	 A8 A10+ A3+ G2.1 K4 Q4 
مُظَهِّر	 S8+/Q2.2/S2mf Q1.2/S2mf Q1.2 S8+/Q2.2 
تَفَضَّل	 Z4 E4.2+ E2+ X7+ 
يائِس	 X2.6- E4.1- X9.2- A5.1- 
تَيَّه	 A5.2- X2.5- 
نِظامِيّ	 X4.2 A6.2+ N6+ O4.1 I3.1 T2++ A13.3 N6+/S2mf G3/S2mf O4.2+ G2.2+ S7.1-/S2mf 
سَوِيّ	 O4.4 A5.2+ N4 A7+ A6.2+ S3.2 F2 S3.2/S2mf M3 M6 N3.8+ A5.3+ A5.3+/A2.1 S1.2.6+ S5+ T1.1.2 S1.1.2+ 
ٱِصْطِناعِيّ	 A5.4- O1 
دُوار	 B1 B2- 
ٱِنْكِماش	 N3.2-/A2.1 E2-@ O4.1 A2.1/O1.2 X5.1++ 
تَأْجِيل	 T1.1.3 T4- 
باراك	Z99
ٱِغْتَفَر	 G2.2+ 
يُونِس	 Z1m 
رَفِيقَة	 S7.1+/S2.1f S3.2/S2.1f P1/S2.1f 
كَيْف	 F3 
مَأْخَذ	 T2+ Q1.1 X2.2 W3/M4 A9+ X4.2 
مَبْعَث	 Z5/A2.2 A2.2 X2.1 X4.1 A4.1 N2 I2.1/S2mf@ 
رامسْفِيلد	Z99
هَلاك	 A5.1--- X9.2- A1.1.2/W4 
صِيوان	 H1 
مُغْرَم	 X5.2+/N5.2+ JJ@ E2+ S6+ S8+ A1.7+ 
باثُولُوجِيا	 B2- A6.2- Y1/B2- 
هُلامِيّ	 O1.1/A2.1 F1 
حافَّة	 O2 M7 T1.2 S7.1+@ A1.1.1 M1 W3/M4 
تَعْقِيم	Z99
مِيخائِيل	Z99
ٱِحْتَذَى	 A6.1+ B5 A1.1.1 A1.1.2 B2- S7.4+ 
تَضاءَل	 N5-/A2.1 Q2.2 
أَزاح	 N3.3 M2 T2- A1.1.2 G2.1/T2- 
سَيَّر	 Q1.2 M2 
مَدَّد	 N3.3 T1.3 A1.7- N3.2+/A2.1 N5+/A2.1 T1.3+/A2.1 A9- 
بُرْكان	 W3 
مُناظِر	 A6.1+ S7.3+/S2mf S7.3 
نَبْتَة	 F1 L3 N3.2+/A2.1 
مُتَفَرِّج	 X3.4/S2mf A8 X3.4 X2.1 X2.4 Q4.3 
غابِر	 T1.1.1 T1.3 
تِلاوَة	Z99
ٱِسْتِئْناف	 T2+/N6+ Q2.1 O4.2+ G2.1 Q2.2 E2+ 
فَضْلَة	 N5.2+c O1 N5.2+ O4.2- X9.2- N3.2-/A2.1 
أَذْكَى	 T2+ O4.2+++ X9.1+++ S1.2.6+++ 
مُنازَعَة	 A6.1- G3 E3- X8+ A12- Q2.2/A6.1- 
مَأْمَن	 H1/A10- H4/H1c A10- A15+/M7 H4/H1 
قَحْلاء	 O4.5 O1.2- F2- X3.1 X9.1+ X5.2- N5- Q2.1/N5- 
نَجَّم	Z99
إِحالَة	 M6/A2.1+ A9- I3.1/A2.1+ Y2 M3 M4 M5 C1 I1.1/A9- 
مُجَوْهَر	 O4.2+ C1/H1 S1.1.4+ B5 
زِفاف	 S4 
مَلِيّ	Z99
إِدْماج	 A1.8+ S5+ A2.2 N2% 
مُعَمَّر	 S7.1++ T3++ S7.1++/S2mf T3++/S2mf 
طَلَقَة	 G3 G3/S2mf K5.1 Y1 C1 Q4.3 X8+ B3@ F2@ M1 M2 A1.1.2 Q1.2 S1.2.6-% 
صُرَّة	 O2 N5+ I1.1+ Y2 A1.1.1 M2 
مُهَذَّب	 S1.2.4+ 
سَوْرَة	 E3- S1.2.5+ A5.1- S1.2.1- E4.1- O4.2- 
غَيْظ	 E3- 
تَقَيَّد	Z99
فَرْز	 X7+ A10- Q4.3 X2.4 B3 
غَبِيّ	 X9.1- S1.2.4- S1.2.6- 
نُكْتَة	 E4.1+ S1.2.6- 
شِرْعَة	 G2.1 S6+ Y1 
مَلْهَى	Z99
تَقاسَم	Z99
لَقْوَة	Z99
جَبان	 E5-/S2mf 
مَنام	 B1 H4/N5 H2 X4.1 X7+ A5.2- X2 X2.1 X7++ 
صِهْرِيج	 O2 W3/M4 N5+ 
نافُورَة	 H1 N5 A2.2 
تَعَدِّي	 M1 M6 S8- A1.8+ A6.3+ F4/L2 O4.4 Q1.2 E3- S1.1.1 S9@ G2.1- A1.9 G3 B2- A1.1.2 Q2.2 
رافِد	 Z2 Z3c 
دِيسك	 O2 B1 Y2 K3 O4.4 O4.4/O2 
نَهِم	 S1.2.2+ X7/N5++ 
أَبْكَى	Z99
أَبَرّ	 X9.2+ 
عِيان	 B1 X3.4 
تَوالُد	 A6.1+ A5.4- A1.1.1/N6+ S3.2/B1 T2++ F4 
تِلِفُون	 Q1.3 
جاسُوس	 G3/S2mf X2.4 
بِيل	 O1.1 O2 
وَتَر	 O1.1 N5 N4 S5+c Q1.2 A1.1.1 K2 B1 O2 S6+ B5 
كَوْكَبَة	 A11.1+ W1 O4.4 A5.1+++ A11.1+/S2mf A5.1 Z3c Q1.2 K4/A11.1+ 
خِلافِيّ	 A6.2- A7- 
وَتِيرَة	 X4.2 M1 E1 S1.1.1 A1.1.1 Q2.2 O4.1 O4.2+ A4.1 Q3 
مُطَرَّز	 C1 
حُورِيَّة	 S9 L2 
جِيمس	 Z1m 
أُلْفَة	 X2.2+ X2.5+ S1.2.1+ S3.1 K2 A6.1+ 
مَلاذ	 H1/A10- H4/H1c A10- M7/A15+ S9/H1 
سَداد	 I1.1 A1.2+ 
صَمَد-ُ	 S8- 
نَزْف	 B2- M2/N5.1- M1 O4.5 A10- A1.5.1/N5.1+ Z4 B1 
خَزَفِيّ	 O1.1 O2 
شَلَل	 B2- X5.2- M8 A2.1- 
بُنّ	Z99
آصِرَة	 O2 S3.2 S5+ I1.1 A1.7+ S3.1 
رِيفالْدُو	Z99
رِداء	 B5 
إِرْهاق	 N3.5 S7.1+ E6- 
خَيالِيّ	 A5.2- A5.1+ N5++ A6.2- 
أَنْطُون	 Z1m 
نَزَع-ِ	 N3.3 M2 A9- E3/L1- X7+ 
سَتَر-ُِ	 O2 A10- Q4.1 B5 I1.1 H5 M1 N3.6 S8+ A1.8+ N5 Q2.1 A1.1.1 M7/A10- B1 
تَفاقُم	 E3- A5.1-/A2.1 
فَصْلِيّ	 T1.3 N6 
إِتْلاف	 A1.1.2 
عَراقَة	Z99
ٱِئْتِمان	 E6+ I1.1 S5+c B3/H1c X2.1 A9- X2.6 A5.1+ P1 
كَدَّى	 Q2.2/E6- 
ضِمْنِيّ	 A10- 
نُزُوع	 X7+ S3.2 
أَدْهَش	 X2.6- 
إِرْساء	 M7/M4 M8 
لَهْو	 K1 E4.1+ 
ٱِرْتَعَش	 M1 E5- M2 E4.1- A2.1+ A6.1+ 
صُمُود	 X6+ A2.2 A7+ 
لِحْيَة	 B1 
حالَما	Z99
ٱِمْتَدَح	 S7.2+/Q2.2 S9 Q2.2 
تَبايَن	 A6.1- A6.3+ A2.1+ 
قَتّال	 L1- 
رَجْعَة	 M6 S1.1.2+ M1 A9- N6 I1.1 G1.1/Q1.2 M3 K5.1 Y2% I1/Q1.2 Q1.2 
مَهْل	 N3.8- 
فاحِص	 P1/S2mf X2.4/S2mf G2.1/S2mf G1.1/S2mf 
ٱِشْتَكَى	 Q2.2/E2- 
طائِلَة	 E3-/Q2.2 A15- X2.6+/O4.2- A7+ 
مار	 T1.3 
مُطالِع	 Q4.1/S2mf Q4.2/S2mf P1/S2mf Q4.1 
ٱِدَّخَر	 I2.2/H1c A9+ A9+/H1 N5+ A9+/N5+ Z5 K5.1 I1.1 B3 S8+ A1.9 S9 
وِلاء	 N4 
مُوالاة	 S3.1 
مُتَشائِم	 X2.6/A5.1- 
تَشَكُّل	 A6.1- N2% 
أَرْبَكان	Z99
تَرَدِّي	 A5.1-/A2.2 N5-/A2.1 Q2.2 
تَسَلُّط	 S7.1+ X2.2 A1.7+ 
مُتَرَتِّب	 S7.1+ O4.1 A1.1.1 S5+@ A1.7+/G1.1 
ٱِسْتَلْقَى	Z99
جُرْثُومِيّ	 B2- L3 L2 
مُقَشَّر	 B1 
مُفْعَم	 O4.1 E4.1-% F1 M3/M8 T2- N5++ 
صَفَّى	 A7+/Q2.2 B4 A1.1.1 G2.2+/A2.1 T2- 
تَلاعُب	 X5.2+ K5.1 K5.2 X7+ A1.1.1 L2 F1 
مُتَّسِع	 N5+ N3.6+ A13.3 N5++ S1.2.2- 
تَنامِي	Z99
أَرِيكَة	 H5 H3/L3 L3 S3.2/B1 
شُعُورِيّ	 X2.2+ X5.1+ X7+ B1 
تَخْرِيبِيّ	 A1.1.2 S8- G2.1- 
كُرْنِيش	Z99
تَمَخَّض	 F1 A2.2 A1.1.1 A10+ K4 K3 Q4.3 F4 
عَجُز	Z99
عَلِيل	 B2- O4.2- X5.2- E3- A12- T3- O4.2+ B1 W4 S1.2.3+ 
صَفَّق	 E2+ X3.2+ X3.2 B2-@ M2 
تَطْبِيع	Z99
هائِم	 X2.5- O4.1 
مُحْتَدِم	 O4.6+ E3- E1 X5.2+ S3.2 
تَأْنِيب	 Q1.2/E2- Q2.1/E2- Q2.2/G2.1 
فَخْذ	 B1 O2 N3.3 M1/N3.8+ N5.1- M7/H1 N5- N2 
ثَأْر	 E3- 
مِلَّة	 S9 X2.1 
قَرّاب	Z99
شَغِب	 E3-/S2mf A2.2/S2mf G1.2/S2mf 
تَعَجُّب	 X2.6- 
تَوَسُّل	 Q1.2 Q2.2 Q2.1 
بَغْل	 L2mfn Z8f 
أَشْغَل	 H4 A1.5.1 G3 X5.1+ A1.1.1 T1.3 X5.1- 
مُخابَرَة	 Q1.2 A6.1+ Q2.1 Q1.3 Q4.3 
طِباع	 S1.2 E3-/S1.2 
أَكْرَم	 Q2.2 A9- 
قُدُس	 S9 
مَصّ	 B1 M2 S1.1.3+/S6+ T1.3+ X5.2+ A1.1.1 X2.3+ M2/O1 O4.1 A2.1/O1.2 F2 
مُكالَمَة	 Q2.1 Q2.2 
إِسْطانْبُول	 Z2 
زُهَرِيّ	 B1 
عَجَمِيّ	 Z6 
تَحَجَّب	 A10- M1 M7/A10- B1 O2 
تَأَرْجَح	 M1 A2.1+ A6.2+ K6 K5.1 E3- K2 M2 A2.2 X6- 
هِيرُوغلِيفِيّ	 Q1.2 A12- 
حَدْس	 X2.1/A7- X4.1 
ٱِسْتِحْداث	 A1.1.1 A2.2 
أُنْثَوِيّ	 S2.1 S2.1f 
مَقْطُوعَة	 N5.1- O2 Q4 K2 K4 G3@ X7+ 
تَوْحِيدِيّ	 S5+ A1.8+ 
تَلَقِّي	 A9+ S5+ G2.1- Q1.2/I1 I1.1 
مُشْتَرَى	 I2.2 
رَتَّى	 A5.1+/A2.1 S8+/A1.1.2- B2+/A2.1 Z4 B5 
بُولُونِيا	 Z2 
خَدّاع	 G2.1-/S2mf O2 
لَعْبَة	 X5.2+ K5.1 K5.2 X7+ A1.1.1 L2 F1 O2 A6.1+ A3+/A11.1+ A6.2- S1.1.1/X7+ K5 
طَنْجَرَة	 F1 O2 O1.1 I1.1 F3 F4 K5.2 L1- N5+ 
بَقْدُونِس	 F1 L3 
ٱِنْعَطَف	 N4 M1 O4.4 A2.1+ B2- K4 T1.3/I3.1 M2 A1.1.1 O4.2- X2.5+/E1 S8+ A6.1+ 
رُوحانِيّ	Z99
مِيل	 N3.3 N3.7 N3.3+ N5+ A13.2 
عَسْكَر	 G3c N5+ G3/S5+ G3/S2mf S5+ 
دِعائِيّ	Z99
عَمَّى	 A10- 
غَلَق-ِ	Z99
مُشِطّ	 N5.2+ 
لُزُوجَة	 O4.5 A12- 
مُقْطَع	Z99
مَدْعُوم	 S8+ O4.1 K5.1 I1.1 A10+ 
ٱِفْتَرَق	 A6.1- S3.1- A1.1.2 S1.1.2- 
لَمْحَة	 X3.4 O4.3% 
مُنْقَطِع	 JJ@ T2- Q2.2 X7- 
تَطابُق	 A6.1+ Q1.2 
أَذان	Z99
مُتَّزِن	 A5.3+ A5.1+ E3+/S1.2.6+ O4.1 O4.1/B1 A6.1+ A11.1 I1.1 K2 
ٱِنْفِعالِيّ	 E1 X5.2+ 
مَقْطَعِيّ	 E3- O4.4 S9/O2 A2.1+mfn G2.1/O2% M1 M6 S8- A1.8+ A6.3+ F4/L2 Q1.2 S1.1.1 S9@ 
بُو	Z99
نَخْب	 X7+ A5.1+ S1.2.4- A6.3+ 
تَفْرِيع	 A2.2 
بارِحَة	 T1.1.1 
رَوِيّ	 B1/F2 X7+ 
قَرَّب	 A13.4 A5.3- 
شَعّ-ِ	 M1 N3.6+/A2.1 T2- 
أَجَرّ	 X2.1 L2 
أَصْغَى	 X5.1+ 
مُيَسَّر	 B2+ W3/M4 W3 A5.1+ A13.3 A7+ Z4 A10+ E1+ 
حَرّان	 B1/F2 X7+ X5.2+ S3.2 
دِيمُقراطِيَّة	 G1.2 
نَطّ-ُ	 M1 N5+/A2.1 A2.1+ A1.9 
مَكْسِيك	 Z2 Z3c 
حَيْثِيَّة	 X2.1 X4.1 X3.4/M7 X2.1/A5 X6+ 
تَدَنَّى	Z99
ضائِع	 X9.2- A9- M6/A5.3- L1- A1.7- M1 G2.2- A2.1+ N5.2+ N3.2-/A2.1 
رَبَّة	 S2.1f S7.1+/S2.1f S3.2/S2.1f P1/S2.1f B4/H1 
مَحْرُوق	 O4.6+ E1 A1.5.1 E6- A12- O4/A15- 
حَبْر	Z99
بَطال	 E5+ 
فاقِد	Z99
مُتَعاقِب	 N4 A6.3+ 
أَيِّم	 S4 
تَذَبْذُب	 A2.1+ 
مُقَوِّي	 S1.2.5+/A2.1 O4.1/A2.1 
أَنْبَأ	 X2.2+ X2.4 Q2.1 Q2.2 
مُشَرِّع	 G2.1/S2mf G2.1 S6+ Y1 
مُنْطَلِق	 M1 T2+ 
أَخّاذ	 X5.2+ 
حَبِيس	 A10- E3+ A1.7+ 
تَثْبِيط	Z99
حَياء	 S1.2.3- G2.2- G2.2 
بَوّاب	 I3.2/H2/S2.2m I3.2/H2/S2mf I3.2/H4/S2mf 
أَرْقَط	 O4.1 O4.3 X3.4 L2 
أَماز	 A6.1- X3 A5.1+ E2++ 
أَكْسَب	Z99
عاطِف	 X2.5+/E1 S8+ A6.1+ E2+ 
تَعاقُب	 N4 A2.1+ 
يَئِس-َِ	 E4.1- 
ناضَل	Z99
أَقْعَى	 O4.1/B1 B1 H1 K5.1 M1 H4 
بُرُونْزِيّ	 O4.3 O1.1 
خَلِيق	 A1.2+/I3.2+ A1.7+ A1.2+ I3.2+/P1 X9.2+/K5 S1.2.5-/A2.1 Q2.2 Q3 N5+ A5.1+ A1.1.1 A2.2 W5 A4.1 S1.2 A6.2+ O4.1 A10+ L2 S9 S2@mf 
خار-ِ	 X7+ E2++ 
عَضّ-َ	 B1 F1 X3.1 N5+ A12- 
غَمّ	 E6- B2- E4.1- 
هَوَس	 B2-/X1 X5.2+ S1.2.6- H1 A1.1.1/N5+ 
بُوَيْض	Z99
لاذ-ُ	Z99
تَمْتَم	 Q2.2/B2- Q2.2/X3.2- 
طَوَّل	 N3.7+/A2.1 T1.3+/A2.1 
حَراك	 M1 S5+c K2 A2.1+ Q1.1 
باي	Z99
شَرَّف	Z99
فاصِلَة	 Q3 A6.1- H2 
بارُود	 G3/O1.1 
مُمَتِّع	 E4.2+ E2+ 
مُنْشَغِل	 A1.1.1/N5+ A1.1.1 X5.1+ H4 A1.5.1 G3 T1.3 
بَشِير	 Q2.2/S2mf G1.1/S2mf Q2.2 Q2.1/S2mf S9/S2mf 
مَيْسُور	 A7+ B2+ W3/M4 W3 A5.1+ A13.3 Z4 A10+ E1+ 
ٱِنْسِداد	 A12- B2- S8- 
عاصِي	 S8- E3- 
بُور	 F4 X9.2- 
مُشْتَغِل	 I3.1/S2mf A1.1.1/N5+ A1.1.1 X5.1+ H4 A1.5.1 G3 T1.3 
عَجّ-ِ	 Q2.2/X3.2++ F2@ 
رَغِيف	 F1 A1.9- X5.2- 
مِحْراب	Z99
بَكْرَة	 O2 K2% M1/E3- E4.1- M2 
عَجَّب	Z99
إِشْغال	 H4 A1.5.1 G3 X5.1+ A1.1.1 T1.3 X5.1- 
مُعَلَّب	 O2/F1 
مَطَبّ	 W3 A1.1.2/M3 
تَفَرَّغ	Z99
كَيْلا	Z99
سُوَيْف	Z99
أَنْدَلُسِيّ	Z99
بِرْنارد	 Z1mf 
لَمْس	 E1 X3 X2.1 X3.3 X4.2 N5- M6 Q2.2 E2- 
وَسِن	 B1 A1.1.1/N5- 
بُنْدُقِيّ	 Z2 Z2/S2mf 
إِنْدُونِيسِيا	 Z2 Z3c 
ٱِغْتال	 L1- A12- 
مُصْلِح	Z99
صَرَف-ِ	 M2 X5.1- I1.2 A1.5.1 T1.3 
إِمِيل	Z99
قَوَّى	 S1.2.5+/A2.1 O4.1/A2.1 
مُسْتَعْصِي	 A12- B2- 
عُنْصُرِيَّة	 S5+/Z2 
مُسَلِّي	 K1 S1.1.1 S7.4+ E3+ 
ٱِسْتَتاب	 A2.1+/S2mf S9/S2mf A2.1+ S9 K5.1 
ٱِسْتِشْراف	 X3.4 Q2.1 S7.1+ P1@ 
ٱِنْتَهَك	 A1.1.2 E3- G2.2- G2.1- M3/O2 B2- A1.5.1/N5.1+ 
زُهْد	 A9-/G2.2+ 
طَرِب	 E4.1+ 
تَدَنِّي	 N5-/A2.1 Q2.2 M1 M2 M4 X3.2-/A2.1 A2.1+ E4.1- A1.1.1 F2 K5.1@ 
أَرْشَد	 S8+ Q4.1 S8+/S2mf K1/S2.1f M6 O4.4 N3.8+ S1.2 A10+ S1.1.1 Q2.2 S7.1+ K4 P1 
مُؤْسِف	 E4.1- A1.4- X7- A1.4-/S2mf 
سَهَر	Z99
مُحَصِّل	 I1/S2mf G3 A9+/S2mf G1.1/S2mf 
حاكَى	 A6.1+ 
أَفْلاطُون	 Z1m 
حَمِد-َ	 S7.2+/Q2.2 Q2.2 
مُقْتَبَل	 A11.1+++ A5.1+++ A4.2+ A5.1+++/T1.2 Q2.2 A1.1.1 G3 T2+ 
قُرْنَة	 O4.4 M6 K5.1 A1.7+ S7.1+ M3 
أَمْلَس	 O4.5 X3.3 A12+/A2.1 O4.2+ 
دَوْرِيَّة	 X2.4/S5+c M1/X2.4 G3/S5+c S5+c Q4.2 
ٱِعْتَصَم	 F1 A4.1 L2 S8+ A9+/A2.1- 
أُسْقُف	 S9/S7.1+/S2mf 
طَلَل	 N5.2+/A1.5.1- L1- H1/T1.1.1 A1.1.2 H1/A1.1.2 I1.1--- 
فَطَر-ُ	Z99
صام-ُ	 S1.1.3- A9- N3.8+ F1- 
صِيام	 A9-/G2.2+ 
جَلاء	 A7+/Q2.2 M2 M1 S1.1.3- A2.1+ 
ساتِر	 Y2 Q4.3 H5 A10- X2.4 B3 
مَنْقُوص	 N5-/A2.1 N3.2-/A2.1 A12-/A2.1 A2.2 F1 N5- X9.1- 
بَسْط	 A1.1.1 N3.6+/A2.1 N3.3+/A2.1 N5+/A2.1 N5 T1.3 H1 T1.3+/A2.1 N3.2+/A2.1 Q1.3 B4 
أَطْلَسِيّ	 Z2 Z3 
أَطْلَس	 Q4.1/W3 Q1.2/W3 Q1.2 A6@ B5 
قامُوس	 Q4.1 Q3 
سُخُونَة	 O4.6+ E1 A1.1.1 S7.3 O4.2+ S1.2.1+ 
مَأْرَب	 X7+ S3.2 
قُمامَة	 A5.1- X7-/O2 
تَدَبُّر	 X2/S9 X2.1 X2.1/A1.3+ X2.4 X7+ 
مُتَوارَث	 A9+/S4 A9+/N4 
حَصَى	 O2 
رِينِيه	Z99
يَهُودِيَّة	 S9 
تَكْبِير	 N5+/A2.1 X3.2 A4.2+/A2.1 N3.2+/A2.1 C1/N3.2++ 
ٱِلْتَهَب	Z99
مَصُون	 S8+ A9+/A2.1- F1 L2 S8+/A15+ A10- A9+ T2++ A1.1.1 Q2.2 
ٱِنْتِقاص	 B2- S8- 
نَفَّق	 I2.2 
مُنْبَعَث	 M2 A2.2 T2+ Q1.1 X2.2 W3/M4 A9+ 
مُضْطَرِب	 E6- B2-/X1 X5.1- A2.1+ E3- S8- 
مَشْدُود	 N3.2- A1.7+ N5+ O4.4 S5+ A12- F2+ S1.2.2+ B5 E6- O4.1 Q3 
نَسْخ	 Q1.2 A5.4- A1.9 T2- 
بُوتِين	Z99
رَشِيق	 O4.2+ A13.4 N3.2-/B1 
هَجِين	 N5 N5c N1 A13.4 
أَفْرَط	Z99
تَعَمَّد	Z99
رَشاقَة	Z99
ٱِسْتِشْهادِيّ	 S9 E4.1- 
فَتَن-ِ	 X5.2+ E3- 
رُوتِينِيّ	 A6.2+ X4.2 K4 G1.1 S8- 
حُمُّص	Z99
ظَبِي	 Z2 
قِبَل	Z99
مُشاهَد	 X3.4 A11.2+ X3.4+ A8 M7 G3 
عَبْدالهادِي	Z99
مُمِيت	 A5.1--- L1- A13.3 L1/S2mf 
نِقاب	 B5 A10- 
نَشّ-ِ	 X3.2 O4.2 Q2.2 
تَأَهُّل	 P1 X9.1 S6+ A1.7+ A1.2+ 
حَصِير	 H5 O2 
فَتّاك	 L1- X9.2+ O4.2- A1.1.2 S8- 
ٱِسْتَغْفَر	 Q2.2/S1.2.4+ 
أَلْهَم	 S8+ 
مُناقِض	 A6.1- 
مُفَوَّض	 G1.1/S2mf S7.4+ A9- 
آرِيّ	Z99
سَمَكِيّ	 L2mfnc F1 K5.1/L2 F4/M4 X2.4 
حَصَر-ُِ	 M6 A1.8+ A10- K5.1 G3 S8- 
ٱِثْنَيْنِ	 T1.3 
تَعاسَة	 E4.1- 
مَلْجَأ	 H1/A10- H4/H1c A10- A15+/M7 H4/H1 
مُتَصَوِّف	Z99
نَسْر	 L2mfn L2 S1.2.2+/S2mf 
زَمانِيّ	 T1.1 T1.3- Q3 B1 S9 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@ X7+/T1 N3.1/T1 
أَنْقَص	 N5-/A2.1 
مُهاجَمَة	 G3 G2.1 A9+ E3- B2- A1.1.2 Q2.2 I1.3 O3 M1 G3% 
شَوْكَة	 O2 O4.4 F4 L3 E5+ 
تَكَشَّف	Z99
رُخاء	Z99
لَهْفَة	 E6- A9+ G2.1 X7+ E4.1- 
تَبْسِيط	 A12+/A2.1 
جِماع	 A6.3+ A2.1+ N1 M3fn 
صِبْغِيَّة	 B1 
قَمَرِيّ	 W1 X5.2-/E4.1- Y1 S7.1- Q1.3 
هَدْر	 N5.2+ N3.2-/A2.1 X9.2- 
خَصِيّ	Z99
فَلَّل	 O4.4 O2 N3.1 G2.1/H1 B2- A1.1.2 A9-/G2.1- G2.1 
ٱِنْتَفَى	Z99
طُفَيْلِيّ	 L2 B2 S1.1.3- M1/X7-/S2mf 
مُرْتَكِز	 X5.1+ X3.4 A4.2+ 
عَيّان	 B2- O4.2- X5.2- E3- B1 
طُفُولِيّ	 T3-/S2mf S1.2.6- 
غَرِيزَة	Z99
تَعْرِيفَة	 Q2.2 X2.2+ I1.3 
صِبْغ	 O4.3 
لِدّ	Z99
أَعْرَف	 N5++ A13.3 N6++ 
مُرْتَفَع	 N3.7 N5.1+ S7.1+ A11.1+/A2.1 C1/H1 
وِرْد	Z99
هَشّ	 E4.1+ O4.5 O4.1 F1 
دَكّ	 A1.1.2 E4.1- 
عِوَض	 A2.1+ 
شَيّ	 O4.6 F1 O4.6+ Q2.2 NN1@ 
مُتَّقِن	 E6+ S2mf 
ٱِسْتِنْشاق	 B1 B3 
أَخَوِيّ	 S5+ S4 
كِبْرِيت	 O2 K5.1 A6.1+ 
مُخَفَّف	 N5- 
بُطْرُسْبُورغ	 M3/H3 S9 
غَرَس-ِ	 B3 S8+ A2.2 L3 I4/H1c O2 A10-/S2mf F4 M2 
كِفَّة	Z99
تَمَلَّك	 A9+ E1 S9% 
إِحْلال	 A9+ X9.2+ A2.1+ M2 
كَعْك	 F1 I1.1 O4.1 
أَخْضَع	 S7.1+ N5-/A2.1 O4.3 X9.2+/G3 S7.1- X4.1 C1/S2mf Q3 P1 S7.1-/S2mf A1.1.1 
مَغْرِيّ	 A1.1.1 
مُخَفَّض	 N5-/A2.1 N3.2-/A2.1 A12-/A2.1 A2.2 F1 M2 S7.1-/A2.1 A11.1-/A2.1 X3.2-/A2.1 
